setting,n_tasks,nominal_coverage,empirical_coverage,mean_true_error,mean_upper_bound
context_and_perturbation_unseen,90,0.9,0.9777777777777777,0.05550397376957398,0.10733578997271485
context_unseen_row,477,0.9,0.9853249475890985,0.055765705472367075,0.1030717824694164
perturbation_unseen_column,180,0.9,0.9611111111111111,0.05309764277208843,0.09778853114150535
random_missing_pair,90,0.9,0.9888888888888889,0.050449658652116064,0.09427017992405218
all_test_settings_pooled,837,0.9,0.9796893667861409,0.054592167416065845,0.1014476859427618
