unit_id,batch_id,predictor_name,prediction_all_finite,vector_dimension,quantized_unique_vectors,prediction_unique_fraction,prediction_max_repeat_fraction,prediction_rank_resolution,predictor_max_coordinate_std,G3a_predictor_passed
E153::Replogle_two_cellline,Replogle_cellline_holdout_1_K562,GEARS_context_mean_trainonly_graphs,True,512,128,1,0.0078125,1,0.00038988902344325459,True
E153::Replogle_two_cellline,Replogle_cellline_holdout_1_K562,scGPT_context_mean_finetuned,True,512,128,1,0.0078125,1,0.00048241954948713726,True
E153::Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,GEARS_context_mean_trainonly_graphs,True,512,128,1,0.0078125,1,0.096056634095075963,True
E153::Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,scGPT_context_mean_finetuned,True,512,128,1,0.0078125,1,0.0010672474911851649,True
E153::Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,GEARS_context_mean_trainonly_graphs,True,512,51,1,0.019607843137254902,1,0.025881622490144397,True
E153::Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,scGPT_context_mean_finetuned,True,512,51,1,0.019607843137254902,1,0.0036516266977723137,True
E153::Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS_context_mean_trainonly_graphs,True,512,51,1,0.019607843137254902,1,0.038369542278944957,True
E153::Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,scGPT_context_mean_finetuned,True,512,51,1,0.019607843137254902,1,0.021012143746708518,True
E153::Santinha,Santinha_context_holdout_3_Neurons_L_2_3,GEARS_context_mean_trainonly_graphs,True,512,50,0.98039215686274506,0.039215686274509803,0.99995475113122168,0.036364335974759528,True
E153::Santinha,Santinha_context_holdout_3_Neurons_L_2_3,scGPT_context_mean_finetuned,True,512,51,1,0.019607843137254902,1,0.0065848449897637521,True
E153::Santinha,Santinha_context_holdout_4_Neurons_L_5,GEARS_context_mean_trainonly_graphs,True,512,51,1,0.019607843137254902,1,0.024685370047518924,True
E153::Santinha,Santinha_context_holdout_4_Neurons_L_5,scGPT_context_mean_finetuned,True,512,51,1,0.019607843137254902,1,0.0068686673860373013,True
E153::Santinha,Santinha_context_holdout_5_Neurons_L_6,GEARS_context_mean_trainonly_graphs,True,512,51,1,0.019607843137254902,1,0.020403624827438589,True
E153::Santinha,Santinha_context_holdout_5_Neurons_L_6,scGPT_context_mean_finetuned,True,512,51,1,0.019607843137254902,1,0.034491714150984877,True
E153::Shifrut,Shifrut_context_holdout_1_D1_nostim,GEARS_context_mean_trainonly_graphs,True,512,43,1,0.023255813953488372,1,0.038443975626609971,True
E153::Shifrut,Shifrut_context_holdout_1_D1_nostim,scGPT_context_mean_finetuned,True,512,43,1,0.023255813953488372,1,0.0244291415731493,True
E153::Shifrut,Shifrut_context_holdout_2_D1_stim,GEARS_context_mean_trainonly_graphs,True,512,43,1,0.023255813953488372,1,0.037768304446328296,True
E153::Shifrut,Shifrut_context_holdout_2_D1_stim,scGPT_context_mean_finetuned,True,512,43,1,0.023255813953488372,1,0.12890567133010966,True
E153::Shifrut,Shifrut_context_holdout_3_D2_nostim,GEARS_context_mean_trainonly_graphs,True,512,43,1,0.023255813953488372,1,0.037394237231721646,True
E153::Shifrut,Shifrut_context_holdout_3_D2_nostim,scGPT_context_mean_finetuned,True,512,43,1,0.023255813953488372,1,0.026991519081887232,True
E153::Shifrut,Shifrut_context_holdout_4_D2_stim,GEARS_context_mean_trainonly_graphs,True,512,43,1,0.023255813953488372,1,0.032407764199348259,True
E153::Shifrut,Shifrut_context_holdout_4_D2_stim,scGPT_context_mean_finetuned,True,512,43,1,0.023255813953488372,1,0.021450797456219344,True
E153::Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,GEARS_context_mean_trainonly_graphs,True,512,172,0.93989071038251371,0.02185792349726776,0.99998041872596399,0.043992878183610855,True
E153::Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,scGPT_context_mean_finetuned,True,512,183,1,0.0054644808743169399,1,0.0014435347087329597,True
E153::Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,GEARS_context_mean_trainonly_graphs,True,512,176,0.96174863387978138,0.016393442622950821,0.99999118842668377,0.062672273984385282,True
E153::Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,scGPT_context_mean_finetuned,True,512,183,1,0.0054644808743169399,1,9.683092068322739e-05,True
E153::Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,GEARS_context_mean_trainonly_graphs,True,512,178,0.97267759562841527,0.01092896174863388,0.999995104681491,0.059998559886708998,True
E153::Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,scGPT_context_mean_finetuned,True,512,183,1,0.0054644808743169399,1,0.001446016514221649,True
E153::Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,GEARS_context_mean_trainonly_graphs,True,512,177,0.96721311475409832,0.01092896174863388,0.99999412561778922,0.035499578270347242,True
E153::Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,scGPT_context_mean_finetuned,True,512,183,1,0.0054644808743169399,1,0.0011712818560186751,True
E159::Norman_P3::official,E159::Norman_P3::official,PRESCRIBE,True,10,1,0.041666666666666664,1,0,5.5511151231257827e-17,False
E159::Norman_P3::raw_log_prob,E159::Norman_P3::raw_log_prob,PRESCRIBE,True,10,1,0.041666666666666664,1,0,5.5511151231257827e-17,False
E159::Norman_P4::official,E159::Norman_P4::official,PRESCRIBE,True,10,1,0.041666666666666664,1,0,5.5511151231257827e-17,False
E159::Norman_P4::raw_log_prob,E159::Norman_P4::raw_log_prob,PRESCRIBE,True,10,1,0.041666666666666664,1,0,5.5511151231257827e-17,False
E165::Wessels::PRESCRIBE_seed3407,E165::Wessels::PRESCRIBE_seed3407,PRESCRIBE,True,2023,1,0.020833333333333332,1,0,4.4408920985006262e-15,False
E165::Wessels::PRESCRIBE_seed3408,E165::Wessels::PRESCRIBE_seed3408,PRESCRIBE,True,2023,1,0.020833333333333332,1,0,4.4408920985006262e-15,False
E165::Wessels::PRESCRIBE_seed3409,E165::Wessels::PRESCRIBE_seed3409,PRESCRIBE,True,2023,1,0.020833333333333332,1,0,4.4408920985006262e-15,False
E87::sciPlex3_to_OpenProblems,E87::sciPlex3_to_OpenProblems,CPA,True,1000,553,1,0.0018083182640144665,1,1.5229065205299315,True
E87::sciPlex3_to_OpenProblems,E87::sciPlex3_to_OpenProblems,ridge,True,1000,553,1,0.0018083182640144665,1,4.6216507437665477,True
E89::sciPlex3_to_sciPlex4,E89::sciPlex3_to_sciPlex4,CPA,True,1000,28,1,0.035714285714285712,1,1.1663415091071423,True
E89::sciPlex3_to_sciPlex4,E89::sciPlex3_to_sciPlex4,interpolation,True,1000,28,1,0.035714285714285712,1,1.0677581164037027,True
E96::Norman_P1,E96::Norman_P1,PRESCRIBE,True,2037,24,1,0.041666666666666664,1,0.061134787363561337,True
E96::Norman_P2,E96::Norman_P2,PRESCRIBE,True,2037,24,1,0.041666666666666664,1,0.12836497234455108,True
