unit_id,study_id,batch_id,n_tasks,pretruth_evaluation_status,postgate_interpretation_status,metric_status,endpoint_truth_nondegenerate,predictor_viability_fraction_vs_simple,candidate_aurc_tie_average,candidate_aurc_best_legal_tie_order,candidate_aurc_worst_legal_tie_order,candidate_aurc_mergesort_input_order,candidate_aurc_partial_identification_width,candidate_max_pointwise_risk_width,magnitude_aurc_tie_average,magnitude_aurc_best_legal_tie_order,magnitude_aurc_worst_legal_tie_order,magnitude_aurc_mergesort_input_order,magnitude_aurc_partial_identification_width,magnitude_max_pointwise_risk_width,delta_tie_average_aurc_candidate_minus_magnitude,postgate_historical_diagnostic_only
E153::Santinha,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,51,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.060148872885682908,0.058315213759128522,0.062047717852844984,0.059727104445064724,0.0037325040937164627,0.008498136326029318,0.062049925662304807,0.062049925662304807,0.062049925662304807,0.062049925662304821,0,0,-0.001901052776621899,True
E153::Santinha,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,51,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.044602481316580296,0.044602481316580296,0.044602481316580296,0.044602481316580296,0,0,0.046265074132960222,0.046255185625368955,0.046274962640551483,0.04627496264055149,1.9777015182527447e-05,0.00031643224292034894,-0.0016625928163799264,True
E153::Santinha,Santinha,Santinha_context_holdout_4_Neurons_L_5,51,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.046459724366537912,0.044943583334414804,0.048003245551765918,0.046478290671296121,0.003059662217351114,0.005851558453491966,0.045531861669527794,0.045531861669527794,0.045531861669527794,0.045531861669527794,0,0,0.00092786269701011781,True
E153::Santinha,Santinha,Santinha_context_holdout_5_Neurons_L_6,51,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.057740206860524404,0.055532922907180204,0.060058623524250954,0.058012182094555505,0.0045257006170707492,0.0092298030300629746,0.061276852269209481,0.061276852269209481,0.061276852269209481,0.061276852269209481,0,0,-0.0035366454086850768,True
E153::Shifrut,Shifrut,Shifrut_context_holdout_1_D1_nostim,43,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.066620210032394295,0.066620210032394295,0.066620210032394295,0.066620210032394295,0,0,0.067811920768096751,0.067811920768096751,0.067811920768096751,0.067811920768096751,0,0,-0.0011917107357024559,True
E153::Shifrut,Shifrut,Shifrut_context_holdout_2_D1_stim,43,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.0967010195012451,0.0967010195012451,0.0967010195012451,0.0967010195012451,0,0,0.095632277663400517,0.095631186767533752,0.095633368559267282,0.095633368559267309,2.1817917335298365e-06,3.4908667736477383e-05,0.0010687418378445834,True
E153::Shifrut,Shifrut,Shifrut_context_holdout_3_D2_nostim,43,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.06387981998651808,0.06387981998651808,0.06387981998651808,0.06387981998651808,0,0,0.063910729532551641,0.063910729532551641,0.063910729532551641,0.063910729532551641,0,0,-3.0909546033561219e-05,True
E153::Shifrut,Shifrut,Shifrut_context_holdout_4_D2_stim,43,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.066608066595023288,0.066607876224091145,0.066608256965955431,0.066608256965955417,3.8074186428649348e-07,6.0918698285700179e-06,0.065416413560649603,0.065416413560649603,0.065416413560649603,0.065416413560649603,0,0,0.0011916530343736853,True
E153::Tian_CRISPRi,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,183,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.096788521554821524,0.096788521554821524,0.096788521554821524,0.096788521554821524,0,0,0.095439799833385089,0.095439799833385089,0.095439799833385089,0.095439799833385117,0,0,0.0013487217214364355,True
E153::Tian_CRISPRi,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,183,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.095788017554647331,0.095713469471579743,0.095857680638402082,0.095743446691515258,0.00014421116682233892,0.0023537695132044012,0.096671304779159917,0.096671304779159917,0.096671304779159917,0.096671304779159944,0,0,-0.00088328722451258557,True
E153::Tian_CRISPRi,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,183,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.093705950551237344,0.093705950551237344,0.093705950551237344,0.093705950551237344,0,0,0.097975549449779042,0.097975549449779042,0.097975549449779042,0.097975549449779042,0,0,-0.0042695988985416988,True
E153::Tian_CRISPRi,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,183,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,,0.10163761030400977,0.10163761030400977,0.10163761030400977,0.10163761030400978,0,0,0.099053170409045141,0.099053170409045141,0.099053170409045141,0.099053170409045127,0,0,0.0025844398949646241,True
E165::Wessels::PRESCRIBE_seed3407,Wessels,E165::Wessels::PRESCRIBE_seed3407,48,ABSTAIN_PREDICTOR_COLLAPSE,UPSTREAM_VIABILITY_PASSED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,0.60416666666666663,-0.24127778844428174,-0.24127778844428174,-0.24127778844428174,-0.24127778844428174,0,0,-0.26220943418867726,-0.34428044092360538,-0.18592079282106702,-0.26540365306154751,0.15835964810253836,0.33255544803557491,0.020931645744395516,True
E165::Wessels::PRESCRIBE_seed3408,Wessels,E165::Wessels::PRESCRIBE_seed3408,48,ABSTAIN_PREDICTOR_COLLAPSE,UPSTREAM_VIABILITY_PASSED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,0.60416666666666663,-0.26043603267497706,-0.26043603267497706,-0.26043603267497706,-0.26043603267497706,0,0,-0.26220943418867726,-0.34428044092360538,-0.18592079282106702,-0.26540365306154751,0.15835964810253836,0.33255544803557491,0.0017734015137002013,True
E165::Wessels::PRESCRIBE_seed3409,Wessels,E165::Wessels::PRESCRIBE_seed3409,48,ABSTAIN_PREDICTOR_COLLAPSE,UPSTREAM_VIABILITY_PASSED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,0.60416666666666663,-0.24184105022567376,-0.24184105022567376,-0.24184105022567376,-0.2418410502256737,0,0,-0.26220943418867726,-0.34428044092360538,-0.18592079282106702,-0.26540365306154751,0.15835964810253836,0.33255544803557491,0.0203683839630035,True
E89::sciPlex3_to_sciPlex4,sciPlex4,E89::sciPlex3_to_sciPlex4,28,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,UPSTREAM_VIABILITY_PASSED,TIE_AWARE_HISTORICAL_DIAGNOSTIC,True,0.6785714285714286,0.29520701231161844,0.29520701231161844,0.29520701231161844,0.29520701231161844,0,0,0.29370376225039169,0.29370376225039169,0.29370376225039169,0.29370376225039169,0,0,0.0015032500612267574,True
