unit_id,study_id,lane,role,n_batches,n_G2a_pass,n_G3a_pass,n_exact_selection,n_tie_aware,statuses
E153::Frangieh,Frangieh,STRUCTURAL_RISK,real_noncollapsed_reference,3,3,3,2,1,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED;EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
E153::Lara_exvivo,Lara_exvivo,STRUCTURAL_RISK,real_noncollapsed_reference,5,5,5,5,0,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
E153::Liang,Liang,STRUCTURAL_RISK,real_noncollapsed_reference,9,9,9,2,7,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED;EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
E153::Nadig_two_cellline,Nadig_two_cellline,STRUCTURAL_RISK,real_noncollapsed_reference,2,2,2,1,1,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED;EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
E153::Replogle_two_cellline,Replogle_two_cellline,STRUCTURAL_RISK,real_noncollapsed_reference,2,2,2,0,2,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED
E153::Santinha,Santinha,STRUCTURAL_RISK,real_noncollapsed_reference,5,5,5,1,4,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED;EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
E153::Shifrut,Shifrut,STRUCTURAL_RISK,real_noncollapsed_reference,4,4,4,3,1,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED;EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
E153::Tian_CRISPRi,Tian_CRISPRi,STRUCTURAL_RISK,real_noncollapsed_reference,4,4,4,3,1,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED;EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
E159::Norman_P3::official,Norman_P3,MODEL_UQ,real_collapse_positive,1,0,0,0,0,ABSTAIN_SCORE_SATURATION
E159::Norman_P3::raw_log_prob,Norman_P3,MODEL_UQ,real_collapse_positive,1,1,0,1,0,ABSTAIN_PREDICTOR_COLLAPSE
E159::Norman_P4::official,Norman_P4,MODEL_UQ,real_collapse_positive,1,0,0,0,0,ABSTAIN_SCORE_SATURATION
E159::Norman_P4::raw_log_prob,Norman_P4,MODEL_UQ,real_collapse_positive,1,1,0,1,0,ABSTAIN_PREDICTOR_COLLAPSE
E165::Wessels::PRESCRIBE_seed3407,Wessels,MODEL_UQ,real_collapse_positive,1,1,0,1,0,ABSTAIN_PREDICTOR_COLLAPSE
E165::Wessels::PRESCRIBE_seed3408,Wessels,MODEL_UQ,real_collapse_positive,1,1,0,1,0,ABSTAIN_PREDICTOR_COLLAPSE
E165::Wessels::PRESCRIBE_seed3409,Wessels,MODEL_UQ,real_collapse_positive,1,1,0,1,0,ABSTAIN_PREDICTOR_COLLAPSE
E87::sciPlex3_to_OpenProblems,OpenProblems2023,MODEL_UQ,real_noncollapsed_reference,1,1,1,1,0,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
E89::sciPlex3_to_sciPlex4,sciPlex4,MODEL_UQ,real_noncollapsed_reference,1,1,1,1,0,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
E96::Norman_P1,Norman_P1,MODEL_UQ,real_noncollapsed_reference,1,1,1,1,0,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
E96::Norman_P2,Norman_P2,MODEL_UQ,real_noncollapsed_reference,1,1,1,1,0,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED
