dataset,lambda_safeconf,lambda_disagreement,n_tasks,n_folds,delta_spearman,delta_utility_05,delta_utility_10,delta_utility_20,delta_utility_30
Frangieh,0.5,0.125,837,3,0.028689085108925778,0.0,-0.006070039732194989,0.0028948701662216136,0.00679874669026299
Lara_exvivo,0.5,0.125,345,5,0.031664684828933067,0.012687241285942424,0.007438703196647306,0.005856169959757973,0.009771565177783237
Liang,0.5,0.125,612,9,0.011306825480958063,2.7755575615628914e-17,0.00754489779785376,-0.014032694393187613,0.03540132452593922
Nadig_two_cellline,0.5,0.125,256,2,0.004420666316299782,0.0,0.04017751545974543,0.034783638697454794,0.011682818662144809
Replogle_two_cellline,0.5,0.125,256,2,0.010217174691488987,0.06448380755040828,0.0,-0.02097984943869137,0.06917627367668772
Santinha,0.5,0.125,255,5,0.030758617391479372,0.0,0.009562546360045315,0.00595919254087007,0.038294069281015905
Shifrut,0.5,0.125,172,4,0.03279281004326738,0.0,0.0,0.034623821980857915,0.0316773794141247
Tian_CRISPRi,0.5,0.125,732,4,0.03754735557343289,0.004602405703365607,0.02908465988343837,0.025611608606004605,-0.0036745378741917245
