metric,estimate,ci95_lower,ci95_upper,positive_studies,n_studies
delta_spearman,0.023424652429348165,0.014891083988354242,0.031099828929522656,8,8
delta_utility_05,0.010221681817464542,0.0005753007129207008,0.02634263370506661,4,8
delta_utility_10,0.010967285370691898,0.0019873218147508412,0.021757299644075453,5,8
delta_utility_20,0.009339594764910999,-0.004336462666354684,0.02274946245214392,6,8
delta_utility_30,0.024890954944220854,0.010789974048057116,0.04077091113306349,7,8
