target,formula,lambda_safeconf,lambda_disagreement,delta_spearman,delta_utility_05,delta_utility_10,delta_utility_20,delta_utility_30
K562,homogeneous_seed_rule,0.125,0.0,0.00820627763518944,0.0,0.0,0.0,0.0009020537005809404
K562,mixed_cross_architecture_rule,0.5,0.125,-0.014961767942463622,-0.013869601718689117,0.0016180306549380408,-0.004924955441268697,0.003223473148225242
RPE1,homogeneous_seed_rule,0.125,0.0,0.00384414791563481,0.0,0.0,0.005542915966786799,-1.3322676295501878e-15
RPE1,mixed_cross_architecture_rule,0.5,0.125,-0.03413473098401176,0.0,0.004812075627481316,0.0019595492283337457,0.01534014164207409
hepg2,homogeneous_seed_rule,0.125,0.0,0.0056007789683166775,0.0,0.0,0.008248635126408943,-0.012283749713329128
hepg2,mixed_cross_architecture_rule,0.5,0.125,-0.01337008070007073,0.057108578062329274,-0.013297053874658404,-0.02012752721884281,-0.03156804621633147
jurkat,homogeneous_seed_rule,0.125,0.0,0.01100226936713622,0.0,0.0,0.0,0.011647548626051552
jurkat,mixed_cross_architecture_rule,0.5,0.125,0.019683708517273968,-0.020987315862449285,0.003077802325070489,-0.02662899610744318,0.015516613058228823
