setting,score,spearman
context_and_perturbation_unseen,baseline_predicted_magnitude,-0.11111111111111105
context_and_perturbation_unseen,risk_model_disagreement,-0.11111111111111106
context_and_perturbation_unseen,safeconf_calibrated_pair_risk,-0.22499999999999992
context_and_perturbation_unseen,safeconf_frozen_pair_risk,-0.11111111111111106
context_unseen_row,baseline_predicted_magnitude,0.478021978021978
context_unseen_row,risk_model_disagreement,0.4645909645909646
context_unseen_row,safeconf_calibrated_pair_risk,0.44784351000467004
context_unseen_row,safeconf_frozen_pair_risk,0.459096459096459
perturbation_unseen_column,baseline_predicted_magnitude,-0.011111111111111092
perturbation_unseen_column,risk_model_disagreement,0.04325620179278716
perturbation_unseen_column,safeconf_calibrated_pair_risk,-0.03890712945590993
perturbation_unseen_column,safeconf_frozen_pair_risk,0.04325620179278716
random_missing_pair,baseline_predicted_magnitude,0.3171717171717171
random_missing_pair,risk_model_disagreement,0.2983164983164983
random_missing_pair,safeconf_calibrated_pair_risk,0.2304736972655675
random_missing_pair,safeconf_frozen_pair_risk,0.301010101010101
all_test_settings_pooled,safeconf_calibrated_pair_risk,0.21240226395970885
all_test_settings_pooled,safeconf_frozen_pair_risk,0.20215631136728976
all_test_settings_pooled,risk_model_disagreement,0.07455052105202886
all_test_settings_pooled,baseline_predicted_magnitude,0.07419848752825813
