model,heldout_dataset,fold_id,endpoint,n_tasks,spearman
ridge_alpha10,Liang,Liang_context_holdout_4_DM2_4,direction_error_rank_target,68,-0.004715045255872169
ridge_alpha10,Liang,Liang_context_holdout_5_DM2_5,error_centered_pearson_mean,68,-0.12940413024392103
ridge_alpha10,Liang,Liang_context_holdout_5_DM2_5,error_centered_cosine_mean,68,-0.1228766652670153
ridge_alpha10,Liang,Liang_context_holdout_5_DM2_5,direction_error_rank_target,68,-0.1261703208540675
ridge_alpha10,Liang,Liang_context_holdout_6_DM2_6,error_centered_pearson_mean,68,-0.13463373668740694
ridge_alpha10,Liang,Liang_context_holdout_6_DM2_6,error_centered_cosine_mean,68,-0.13574073367179446
ridge_alpha10,Liang,Liang_context_holdout_6_DM2_6,direction_error_rank_target,68,-0.13281160565528632
ridge_alpha10,Liang,Liang_context_holdout_7_EM2_1,error_centered_pearson_mean,68,0.49001794098560897
ridge_alpha10,Liang,Liang_context_holdout_7_EM2_1,error_centered_cosine_mean,68,0.4850173684009619
ridge_alpha10,Liang,Liang_context_holdout_7_EM2_1,direction_error_rank_target,68,0.49003159079012115
ridge_alpha10,Liang,Liang_context_holdout_8_EM2_2,error_centered_pearson_mean,68,0.3492766347291674
ridge_alpha10,Liang,Liang_context_holdout_8_EM2_2,error_centered_cosine_mean,68,0.3451921975798755
ridge_alpha10,Liang,Liang_context_holdout_8_EM2_2,direction_error_rank_target,68,0.3468318447776376
ridge_alpha10,Liang,Liang_context_holdout_9_EM2_3,error_centered_pearson_mean,68,0.2742298736496545
ridge_alpha10,Liang,Liang_context_holdout_9_EM2_3,error_centered_cosine_mean,68,0.2767492460968813
ridge_alpha10,Liang,Liang_context_holdout_9_EM2_3,direction_error_rank_target,68,0.27371897141411927
ridge_alpha10,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,error_centered_pearson_mean,51,0.6335746606334842
ridge_alpha10,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,error_centered_cosine_mean,51,0.6180995475113122
ridge_alpha10,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,direction_error_rank_target,51,0.6243549756997443
ridge_alpha10,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,error_centered_pearson_mean,51,-0.06760180995475112
ridge_alpha10,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,error_centered_cosine_mean,51,-0.03438914027149321
ridge_alpha10,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,direction_error_rank_target,51,-0.05431093146530005
ridge_alpha10,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,error_centered_pearson_mean,51,0.45149321266968323
ridge_alpha10,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,error_centered_cosine_mean,51,0.45131221719457015
ridge_alpha10,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,direction_error_rank_target,51,0.454481691215896
ridge_alpha10,Santinha,Santinha_context_holdout_4_Neurons_L_5,error_centered_pearson_mean,51,0.5249773755656109
ridge_alpha10,Santinha,Santinha_context_holdout_4_Neurons_L_5,error_centered_cosine_mean,51,0.5470588235294118
ridge_alpha10,Santinha,Santinha_context_holdout_4_Neurons_L_5,direction_error_rank_target,51,0.535647217108354
ridge_alpha10,Santinha,Santinha_context_holdout_5_Neurons_L_6,error_centered_pearson_mean,51,0.030135746606334838
ridge_alpha10,Santinha,Santinha_context_holdout_5_Neurons_L_6,error_centered_cosine_mean,51,0.08904977375565609
ridge_alpha10,Santinha,Santinha_context_holdout_5_Neurons_L_6,direction_error_rank_target,51,0.06028649850730707
ridge_alpha10,Shifrut,Shifrut_context_holdout_1_D1_nostim,error_centered_pearson_mean,43,0.1633947447900936
ridge_alpha10,Shifrut,Shifrut_context_holdout_1_D1_nostim,error_centered_cosine_mean,43,0.22727272727272727
