model,heldout_dataset,endpoint,n_folds,spearman
ridge_positive_alpha10,Liang,direction_error_rank_target,9,0.10132050523789081
ridge_positive_alpha10,Liang,error_centered_cosine_mean,9,0.10179282615057701
ridge_positive_alpha10,Liang,error_centered_pearson_mean,9,0.10074096694702106
ridge_positive_alpha10,Santinha,direction_error_rank_target,5,0.22167534622744417
ridge_positive_alpha10,Santinha,error_centered_cosine_mean,5,0.2277285067873303
ridge_positive_alpha10,Santinha,error_centered_pearson_mean,5,0.2170316742081448
ridge_positive_alpha10,Shifrut,direction_error_rank_target,4,0.147674121883335
ridge_positive_alpha10,Shifrut,error_centered_cosine_mean,4,0.15508909694956208
ridge_positive_alpha10,Shifrut,error_centered_pearson_mean,4,0.14478254303835697
ridge_positive_alpha10,Tian_CRISPRi,direction_error_rank_target,4,0.15479445702397765
ridge_positive_alpha10,Tian_CRISPRi,error_centered_cosine_mean,4,0.10622745183016682
ridge_positive_alpha10,Tian_CRISPRi,error_centered_pearson_mean,4,0.1789001971796871
