study,score,score_cn,outcome,outcome_cn,n_tasks,n_target_clusters,spearman_task,cluster_boot_ci95_low,cluster_boot_ci95_high
E176 四供体,model_disagreement_rmse,模型分歧,scgpt_rmse,scGPT误差,1920,640,-0.21121550292032953,-0.2753615310173934,-0.1441361642612469
E176 四供体,model_disagreement_rmse,模型分歧,gears_rmse,GEARS误差,1920,640,-0.17394751795722596,-0.23957755812977607,-0.10672191694373505
E176 四供体,model_disagreement_rmse,模型分歧,ensemble_rmse,集成误差,1920,640,-0.20872257723594215,-0.27279535352473055,-0.14053868252293847
E176 四供体,model_disagreement_rmse,模型分歧,pair_mean_rmse,两模型平均误差,1920,640,-0.1941924304043051,-0.2585891053811272,-0.1260471163263588
E176 四供体,model_disagreement_rmse,模型分歧,pair_max_rmse,两模型最大误差,1920,640,-0.1740547516695832,-0.23890136103774692,-0.10635117183033868
E176 四供体,predicted_magnitude,预测幅度,scgpt_rmse,scGPT误差,1920,640,-0.13888718875791792,-0.20745019062518993,-0.07034757998471707
E176 四供体,predicted_magnitude,预测幅度,gears_rmse,GEARS误差,1920,640,-0.11113173214565215,-0.1805767117885104,-0.04326264068856277
E176 四供体,predicted_magnitude,预测幅度,ensemble_rmse,集成误差,1920,640,-0.13709336841996753,-0.20674014933677765,-0.06955627191552503
E176 四供体,predicted_magnitude,预测幅度,pair_mean_rmse,两模型平均误差,1920,640,-0.12611325612067492,-0.1958222920707283,-0.05725181882435115
E176 四供体,predicted_magnitude,预测幅度,pair_max_rmse,两模型最大误差,1920,640,-0.11268893268200211,-0.18231706547644586,-0.04462996077285526
E176 四供体,safeconf_risk,冻结风险分数,scgpt_rmse,scGPT误差,1920,640,-0.12362230390687495,-0.19090293582170642,-0.056167128877791066
E176 四供体,safeconf_risk,冻结风险分数,gears_rmse,GEARS误差,1920,640,-0.11198197244790917,-0.17967218910812732,-0.04414131339147618
E176 四供体,safeconf_risk,冻结风险分数,ensemble_rmse,集成误差,1920,640,-0.12260100236029792,-0.19018250179850557,-0.05455631035027788
E176 四供体,safeconf_risk,冻结风险分数,pair_mean_rmse,两模型平均误差,1920,640,-0.11844288287838617,-0.18643281041374377,-0.0505440562984255
E176 四供体,safeconf_risk,冻结风险分数,pair_max_rmse,两模型最大误差,1920,640,-0.10776476752787746,-0.1759454804133821,-0.04042155993539416
E177 独立研究,model_disagreement_rmse,模型分歧,scgpt_rmse,scGPT误差,400,50,0.05857386608666304,-0.11903078725428291,0.22035264244504937
E177 独立研究,model_disagreement_rmse,模型分歧,gears_rmse,GEARS误差,400,50,0.059355745973412324,-0.12302827191248134,0.2182997891592216
E177 独立研究,model_disagreement_rmse,模型分歧,ensemble_rmse,集成误差,400,50,0.05717360733504584,-0.1235839885667523,0.21690894298985042
E177 独立研究,model_disagreement_rmse,模型分歧,pair_mean_rmse,两模型平均误差,400,50,0.05903193144957155,-0.12166187718507931,0.21795852347866684
E177 独立研究,model_disagreement_rmse,模型分歧,pair_max_rmse,两模型最大误差,400,50,0.07450434065212908,-0.10327835066411716,0.2338639180440589
E177 独立研究,predicted_magnitude,预测幅度,scgpt_rmse,scGPT误差,400,50,0.061455946599666245,-0.13861373873206878,0.255456577525218
E177 独立研究,predicted_magnitude,预测幅度,gears_rmse,GEARS误差,400,50,0.05727710798192488,-0.14912958342505447,0.25657013032321263
E177 独立研究,predicted_magnitude,预测幅度,ensemble_rmse,集成误差,400,50,0.06017043856524103,-0.14598998155083812,0.2579231764970397
E177 独立研究,predicted_magnitude,预测幅度,pair_mean_rmse,两模型平均误差,400,50,0.058764554778467364,-0.14574229817254103,0.2567270578180184
E177 独立研究,predicted_magnitude,预测幅度,pair_max_rmse,两模型最大误差,400,50,0.04908068175426095,-0.15255054448290536,0.24579198037814592
E177 独立研究,safeconf_risk,冻结风险分数,scgpt_rmse,scGPT误差,400,50,0.05857386608666304,-0.11903078725428291,0.22035264244504937
E177 独立研究,safeconf_risk,冻结风险分数,gears_rmse,GEARS误差,400,50,0.059355745973412324,-0.12302827191248134,0.2182997891592216
E177 独立研究,safeconf_risk,冻结风险分数,ensemble_rmse,集成误差,400,50,0.05717360733504584,-0.1235839885667523,0.21690894298985042
E177 独立研究,safeconf_risk,冻结风险分数,pair_mean_rmse,两模型平均误差,400,50,0.05903193144957155,-0.12166187718507931,0.21795852347866684
E177 独立研究,safeconf_risk,冻结风险分数,pair_max_rmse,两模型最大误差,400,50,0.07450434065212908,-0.10327835066411716,0.2338639180440589
