population,study,n_clusters,covered_clusters,cluster_coverage,ci95_low,ci95_high,task_coverage,mean_upper,mean_width_above_lower,calibration_scope,confirmatory_status
E176 总体,E176 四供体,640,578,0.903125,0.8775321681273325,0.9249188336421906,0.9505208333333331,0.2025879286379367,0.2025879286379367,供体专属40靶点,预冻结总体通过
E176 双未见靶点,E176 四供体,128,113,0.8828125,0.8140910983080724,0.932905918118122,0.9505208333333331,0.2007108344293634,0.2007108344293634,供体专属40靶点,预冻结分层描述
E176 供体H01,E176 四供体,160,146,0.9125,0.857547882591743,0.9513352719813908,0.95625,0.1471659101899346,0.1471659101899346,供体专属40靶点,预冻结分层描述
E176 供体H02,E176 四供体,160,142,0.8874999999999998,0.8280375288321167,0.931946345536498,0.9375,0.1793661433413124,0.1793661433413124,供体专属40靶点,预冻结分层描述
E176 供体H03,E176 四供体,160,142,0.8874999999999998,0.8280375288321167,0.931946345536498,0.9416666666666667,0.2339373718555725,0.2339373718555725,供体专属40靶点,预冻结分层描述
E176 供体H04,E176 四供体,160,148,0.925,0.8726553063154325,0.960647273293946,0.9666666666666666,0.2498822891649274,0.2498822891649274,供体专属40靶点,预冻结分层描述
E177 独立研究,E177 独立研究,50,44,0.88,0.7568986832944374,0.9546646792263361,0.9825,0.5010886158386357,0.5010886158386357,独立研究内30靶点,预冻结边界结果
两研究描述性合计,E176+E177,690,622,0.9014492753623189,0.8767378129708876,0.9226575276725802,,,,各研究分别校准,仅描述，不形成新的覆盖保证
