protocol,axis,representation,space,better,n_perturbations,n_finite_drf,finite_drf_fraction,bds,bds_successes,bds_wilson_low,bds_wilson_high,drf_mean,drf_median,drf_median_boot_low,drf_median_boot_high,official_drf_mean,official_drf_median,decision
pearson,direction,centroid,full,higher,150,150,1.0,1.0,150,0.9750297556319235,1.0,0.637888836769569,0.6726183050752299,0.6210998799978159,0.7173666843825868,0.637888836769569,0.6726183050752299,PRIMARY_ELIGIBLE
pearson_ctrl,direction,centroid,full,higher,150,150,1.0,1.0,150,0.9750297556319235,1.0,0.7143857883580154,0.7656398931759527,0.729063123021816,0.8095725894351129,0.7143857883580154,0.7656398931759527,PRIMARY_ELIGIBLE
pearson_pert,direction,centroid,full,higher,150,150,1.0,0.94,141,0.8899102291652979,0.9681159557907947,0.6480561774726107,0.7877702658307295,0.688851567190202,0.8314869750528533,0.6480561774726107,0.7877702658307295,PRIMARY_ELIGIBLE
mse,absolute,centroid,full,lower,150,150,1.0,1.0,150,0.9750297556319235,1.0,0.6387122272483942,0.6711220852591308,0.6224346243239247,0.7145987100091232,0.6387122272483942,0.6711220852591308,PRIMARY_ELIGIBLE
wmse_exp2,absolute,centroid,full,lower,150,150,1.0,1.0,150,0.9750297556319235,1.0,0.9861729372126808,0.9964395998513218,0.9948763222758805,0.9971838800862198,0.9861729372126808,0.9964395998513218,PRIMARY_ELIGIBLE
rank,retrieval,centroid,full,lower,150,150,1.0,0.9933333333333333,149,0.9632071602251817,0.9988221986649826,0.9926128899068245,0.9999980522081686,0.9999975370279246,0.9999982470618963,0.9926128899068245,0.9999980522081686,PRIMARY_ELIGIBLE
transpose_rank,retrieval,centroid,full,lower,150,150,1.0,0.9933333333333333,149,0.9632071602251817,0.9988221986649826,0.9606061010328267,0.9999977592768439,0.9999972407483543,0.9999981490003399,0.9606061010328267,0.9999977592768439,PRIMARY_ELIGIBLE
energy_distance_pca_k=50,population,population,pca_50,lower,150,150,1.0,1.0,150,0.9750297556319235,1.0,0.9719058959780011,1.0,1.0,1.0,0.9719058959780011,1.0,PRIMARY_ELIGIBLE
unbiased_mmd_median_pca_k=50,population,population,pca_50,lower,150,150,1.0,1.0,150,0.9750297556319235,1.0,0.9696167236766186,1.0,1.0,1.0,0.9696167236766186,1.0,PRIMARY_ELIGIBLE
de_auprc,de,de,full,higher,150,150,1.0,0.9866666666666667,148,0.9526930912996325,0.9963358708487731,0.4559438650114756,0.4560456449200956,0.3948708744551498,0.5015734474797817,0.4559438650114756,0.4560456449200956,PRIMARY_ELIGIBLE
de_auroc,de,de,full,higher,150,150,1.0,0.98,147,0.9428533167296139,0.9931752486770326,0.607611954565163,0.6686220860209591,0.6264362862568575,0.7010013555265431,0.607611954565163,0.6686220860209591,PRIMARY_ELIGIBLE
de_overlap_k=50,de,de,full,higher,150,150,1.0,0.9733333333333334,146,0.9334461094878556,0.989582059177032,0.5845575150650592,0.6666658920949267,0.5683223826385366,0.7346931278641552,0.5845575150650592,0.6666658920949267,PRIMARY_ELIGIBLE
