protocol,n,drf_equal_1,drf_ge_0_99,positive_beyond_perfect,raw_positive_median,raw_negative_median,raw_margin_median,bds_failures
pearson,150,0,0,0,0.9997073210469186,0.9989457436219265,0.0006048870045473054,0
pearson_ctrl,150,0,0,0,0.8257126138831203,0.1796954192091122,0.5775536812565083,0
pearson_pert,150,0,3,0,0.8270193675823501,0.191061970864906,0.6128542252702702,9
mse,150,0,0,0,0.00010276042212825,0.0003676690513118,0.00021127111909947073,0
wmse_exp2,150,0,120,0,0.00021241708425355,0.0703777288812917,0.06993003209345006,0
rank,150,0,146,0,0.0,0.5201342281879195,0.5201342281879195,1
transpose_rank,150,0,134,0,0.0,0.5,0.46644295302013417,1
energy_distance_pca_k=50,150,92,107,92,-0.00207840261302645,0.1862174742443043,0.1938004587982576,0
unbiased_mmd_median_pca_k=50,150,95,108,96,-0.0001104050580127,0.009665382645961701,0.00999963839751175,0
de_auprc,150,0,0,0,0.533823367981596,0.1579618587498553,0.376491795140866,2
de_auroc,150,0,0,0,0.892280145333735,0.6059210345413774,0.23160843174981632,3
de_overlap_k=50,150,0,0,0,0.69,0.06,0.5900000000000001,4
