dataset,estimand,metric,observed,n_valid_draws,bootstrap_median,ci95_low,ci95_high,p_gt_zero
Frangieh,fold_macro_perturbation_cluster,rho__safeconf_calibrated_pair_risk,0.25300639357974863,3000,0.25384685692444187,0.19489268425300985,0.3089936026781837,1.0
Frangieh,fold_macro_perturbation_cluster,rho__risk_model_disagreement,0.13729477247694932,3000,0.13858545436697772,0.059132993209839724,0.2212597257850525,1.0
Frangieh,fold_macro_perturbation_cluster,rho__baseline_predicted_magnitude,0.14814820954296473,3000,0.14909272181405936,0.0671758779934919,0.23423768877510814,1.0
Frangieh,fold_macro_perturbation_cluster,delta_rho__safe_minus_disagreement,0.11571162110279931,3000,0.11483723495708772,0.037168153354513865,0.1907773820401301,0.9986666666666667
Frangieh,fold_macro_perturbation_cluster,delta_rho__safe_minus_magnitude,0.1048581840367839,3000,0.10474091230486339,0.02646040815221377,0.17881365884339717,0.9953333333333333
Frangieh,fold_macro_perturbation_cluster,delta_z__safe_minus_disagreement,0.1204548911108834,3000,0.12015913995835092,0.038353394165215764,0.19832194815292883,0.9986666666666667
Frangieh,fold_macro_perturbation_cluster,delta_z__safe_minus_magnitude,0.10937565865616694,3000,0.10954773824484806,0.027817957203006515,0.18648561135249234,0.9953333333333333
Frangieh,pooled_context_task_median_sensitivity,rho__safeconf_calibrated_pair_risk,0.26191552366403204,3000,0.26375919795339586,0.18766971209535338,0.33888512867324205,1.0
Frangieh,pooled_context_task_median_sensitivity,rho__risk_model_disagreement,0.13876960230167815,3000,0.13876677274604507,0.046255198603057365,0.2325927763181297,0.998
Frangieh,pooled_context_task_median_sensitivity,rho__baseline_predicted_magnitude,0.1867436789300125,3000,0.18836685733041292,0.09297453559512023,0.2818339820970295,1.0
Frangieh,pooled_context_task_median_sensitivity,delta_rho__safe_minus_disagreement,0.12314592136235389,3000,0.12269825621882352,0.03547923238703646,0.217591330139066,0.9963333333333333
Frangieh,pooled_context_task_median_sensitivity,delta_rho__safe_minus_magnitude,0.07517184473401953,3000,0.07390851734346911,-0.013195998927419609,0.16805020513384025,0.953
Frangieh,pooled_context_task_median_sensitivity,delta_z__safe_minus_disagreement,0.1284931086229093,3000,0.1284269752443264,0.03713484723460058,0.22672894232743293,0.9963333333333333
Frangieh,pooled_context_task_median_sensitivity,delta_z__safe_minus_magnitude,0.07920286232580853,3000,0.07812290520288824,-0.014157589299238252,0.17789703325949086,0.953
Lara_exvivo,fold_macro_perturbation_cluster,rho__safeconf_calibrated_pair_risk,0.38712458896602125,3000,0.3781288740976039,0.20526719058579646,0.559241738770102,1.0
Lara_exvivo,fold_macro_perturbation_cluster,rho__risk_model_disagreement,0.17609791742784073,3000,0.17980125851610457,-0.016995380423200836,0.41107758480724144,0.9586666666666667
Lara_exvivo,fold_macro_perturbation_cluster,rho__baseline_predicted_magnitude,0.147504567044209,3000,0.1459370479823457,-0.056335534045028036,0.38646180926012114,0.9193333333333333
Lara_exvivo,fold_macro_perturbation_cluster,delta_rho__safe_minus_disagreement,0.21102667153818053,3000,0.19769095458953428,0.08764637100806458,0.29272828650826305,1.0
Lara_exvivo,fold_macro_perturbation_cluster,delta_rho__safe_minus_magnitude,0.23962002192181225,3000,0.22908511891604025,0.11607496589896388,0.34209721228751794,1.0
Lara_exvivo,fold_macro_perturbation_cluster,delta_z__safe_minus_disagreement,0.23046043738532518,3000,0.21738424714235993,0.10029800777287866,0.3163697797402409,1.0
Lara_exvivo,fold_macro_perturbation_cluster,delta_z__safe_minus_magnitude,0.2598247509242133,3000,0.24957352827313786,0.13114367347083633,0.3649706777827001,1.0
Lara_exvivo,pooled_context_task_median_sensitivity,rho__safeconf_calibrated_pair_risk,0.31005446166736483,3000,0.30162570418026224,0.08767410994621944,0.48758541774506636,0.9976666666666667
Lara_exvivo,pooled_context_task_median_sensitivity,rho__risk_model_disagreement,0.3336985595050111,3000,0.32317745770236544,0.07171491449955847,0.5528919018390612,0.992
Lara_exvivo,pooled_context_task_median_sensitivity,rho__baseline_predicted_magnitude,0.2846250523669879,3000,0.2749616255045878,0.021034705043391378,0.5062899340656194,0.982
Lara_exvivo,pooled_context_task_median_sensitivity,delta_rho__safe_minus_disagreement,-0.02364409783764626,3000,-0.02345366824140363,-0.21333877516104766,0.16736465473670428,0.4026666666666667
Lara_exvivo,pooled_context_task_median_sensitivity,delta_rho__safe_minus_magnitude,0.02542940930037696,3000,0.019014314742899635,-0.16261065129303948,0.22348526830578824,0.5813333333333334
Lara_exvivo,pooled_context_task_median_sensitivity,delta_z__safe_minus_disagreement,-0.02637886372820064,3000,-0.026548692485777292,-0.24706699153491493,0.18225757800034117,0.4026666666666667
Lara_exvivo,pooled_context_task_median_sensitivity,delta_z__safe_minus_magnitude,0.02789798270845223,3000,0.020754085748726392,-0.18517926809051038,0.24576636829321918,0.5813333333333334
Liang,fold_macro_perturbation_cluster,rho__safeconf_calibrated_pair_risk,0.21240226395970885,3000,0.2159175924903418,0.08577838969584173,0.35888968335482613,1.0
Liang,fold_macro_perturbation_cluster,rho__risk_model_disagreement,0.07455052105202883,3000,0.08113504119886938,-0.06932413996248521,0.25251034871748473,0.8656666666666667
Liang,fold_macro_perturbation_cluster,rho__baseline_predicted_magnitude,0.0741984875282581,3000,0.06975455199049821,-0.09353178754475831,0.2467361007851112,0.814
Liang,fold_macro_perturbation_cluster,delta_rho__safe_minus_disagreement,0.13785174290768,3000,0.13013728460888446,-0.0053420902328289895,0.27963786719988826,0.9703333333333334
Liang,fold_macro_perturbation_cluster,delta_rho__safe_minus_magnitude,0.13820377643145076,3000,0.14368272344343577,0.00271264652261062,0.29573073211578776,0.9776666666666667
Liang,fold_macro_perturbation_cluster,delta_z__safe_minus_disagreement,0.14099667488306608,3000,0.13414963551370773,-0.005555483249769731,0.28884104097039937,0.9703333333333334
Liang,fold_macro_perturbation_cluster,delta_z__safe_minus_magnitude,0.14135066653909723,3000,0.14736848438232208,0.002776101673829116,0.30636060309994534,0.9776666666666667
Liang,pooled_context_task_median_sensitivity,rho__safeconf_calibrated_pair_risk,0.34363687427718786,3000,0.332772144511285,0.08501304045136435,0.5499143765427182,0.9933333333333333
Liang,pooled_context_task_median_sensitivity,rho__risk_model_disagreement,0.09043258096338917,3000,0.08282273829421623,-0.21672202047331404,0.392662445979512,0.681
Liang,pooled_context_task_median_sensitivity,rho__baseline_predicted_magnitude,0.11094457640203172,3000,0.09675560866433423,-0.20572250974468095,0.40493681388064645,0.7186666666666667
Liang,pooled_context_task_median_sensitivity,delta_rho__safe_minus_disagreement,0.2532042933137987,3000,0.24430402195341716,0.02132076629170135,0.4914251020412682,0.9863333333333333
Liang,pooled_context_task_median_sensitivity,delta_rho__safe_minus_magnitude,0.23269229787515616,3000,0.2266711326501999,-0.005535296151991608,0.493754277980568,0.9716666666666667
Liang,pooled_context_task_median_sensitivity,delta_z__safe_minus_disagreement,0.2675302418374345,3000,0.26054345018525205,0.023138758793046443,0.5144416897984311,0.9863333333333333
Liang,pooled_context_task_median_sensitivity,delta_z__safe_minus_magnitude,0.24680739790049172,3000,0.24381675349469262,-0.005936849668424821,0.5174699001945884,0.9716666666666667
Nadig_two_cellline,fold_macro_perturbation_cluster,rho__safeconf_calibrated_pair_risk,0.23096595136423118,3000,0.23326957495815348,0.10126094551962736,0.3547835878148292,1.0
Nadig_two_cellline,fold_macro_perturbation_cluster,rho__risk_model_disagreement,0.2302462918879326,3000,0.2297578452754684,0.08926504951544906,0.3633644264661164,0.9996666666666667
Nadig_two_cellline,fold_macro_perturbation_cluster,rho__baseline_predicted_magnitude,0.4025790835011902,3000,0.39890510876695107,0.287196906400109,0.5079487084840547,1.0
