estimand,analysis,effect,k,pooled_z,se_mkh,ci95_low_z,ci95_high_z,tau2_reml,Q,I2_percent,prediction_low_z,prediction_high_z,pooled_rho_equivalent,ci95_low_rho_equivalent,ci95_high_rho_equivalent,prediction_low_rho_equivalent,prediction_high_rho_equivalent,backtransform_interpretation
fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,8,0.1396535121689883,0.029287116089965644,0.0704004872034423,0.2089065371345343,0.00334827779790388,13.960246869583594,49.85762024558814,-0.019037974222524595,0.29834499856050123,0.13875264708399745,0.07028441035003898,0.20591963899216376,-0.019035674486489948,0.2897973302938307,rho-equivalent Fisher-z difference; not raw delta-rho
fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,8,0.06129933643550105,0.05053328350644693,-0.058192891256457005,0.18079156412745911,0.01530169988178372,29.744871090008946,76.46653105734507,-0.2656662565160712,0.3882649293870733,0.0612226720244904,-0.05812729173392348,0.17884722134634926,-0.25958769163486234,0.36986347519841606,rho-equivalent Fisher-z difference; not raw delta-rho
fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,8,0.14952544778805046,0.054344612086691314,0.02102086010445786,0.27803003547164307,0.018477332756752674,36.098819268386656,80.60878404926055,-0.20868330613807642,0.5077342017141774,0.14842096794001683,0.02101776444316966,0.2710808550753093,-0.2057058638136264,0.4681779200011729,pooled Spearman
fold_macro_perturbation_cluster,score_association,risk_model_disagreement,8,0.053585548460858536,0.04154936240892346,-0.044663081529499445,0.15183417845121652,0.009016428888625439,23.20980149234243,69.84032800836535,-0.2000304424846638,0.3072015394063809,0.053534318589694437,-0.04463340737128887,0.15067806263925676,-0.19740457658537552,0.29788909685281734,pooled Spearman
fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,8,0.1967665931683192,0.03031029807982259,0.12509412725576452,0.2684390590808739,0.003132604792574753,16.630550697589737,57.90879010991195,0.04102072184399261,0.35251246449264584,0.19426590370129543,0.12444567238964514,0.262171780152993,0.04099772880232703,0.33860184102498925,pooled Spearman
pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,8,-0.027066205758630342,0.08563850373775621,-0.22956908856704794,0.17543667704978727,0.051833503639902884,74.46244041430745,90.59928742456982,-0.6222618936594039,0.5681294821421431,-0.027059598312374204,-0.22561941579627712,0.17365869795601116,-0.5527009264129108,0.5139842367662751,rho-equivalent Fisher-z difference; not raw delta-rho
pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_magnitude,8,-0.03794441500865525,0.06429701776489723,-0.1899827025206233,0.1140938725033128,0.02497601787882572,36.491671357656486,80.81754071664,-0.4554289138964275,0.379540083879117,-0.03792621497090338,-0.18772951804730176,0.11360136782700073,-0.4263513375462186,0.3623079898968368,rho-equivalent Fisher-z difference; not raw delta-rho
pooled_context_task_median_sensitivity,score_association,baseline_predicted_magnitude,8,0.232415131971031,0.0573324202720594,0.0968455005932096,0.36798476334885244,0.016301655831257592,22.004105887172262,68.18775534033041,-0.11005343255017155,0.5748836964922336,0.22831884321116427,0.09654385922401934,0.3522277494147934,-0.10961126110149366,0.5189368555262648,pooled Spearman
pooled_context_task_median_sensitivity,score_association,risk_model_disagreement,8,0.20924873717591796,0.05002629975044642,0.09095533556856233,0.3275421387832736,0.008721075260802458,18.5973588994472,62.36024675413415,-0.04998198156914635,0.4684794559209823,0.20624730565813798,0.09070534215281921,0.31631055329979124,-0.04994040148195562,0.43696992536271206,pooled Spearman
pooled_context_task_median_sensitivity,score_association,safeconf_calibrated_pair_risk,8,0.1993482333572968,0.0868820798997155,-0.006095239802392433,0.40479170651698604,0.05137698384698152,108.23458758603513,93.53256647794242,-0.3946291209099413,0.7933255876245349,0.1967488639661157,-0.00609516432016959,0.38404145008156154,-0.37534407706364104,0.6602888502026905,pooled Spearman
