dataset,analysis,effect,endpoint,n_folds,n_independent_perturbation_clusters,fold_macro_spearman,ci95_low,ci95_high,p_gt_zero
Nadig_two_cellline,score_association,directional_risk_frozen,error_centered_pearson_mean,2,96,0.7480961070758743,0.6856750787490681,0.798754939241564,1.0
Nadig_two_cellline,score_association,directional_risk_frozen,error_centered_cosine_mean,2,96,0.7567712450459788,0.6932457484157593,0.8064243543751539,1.0
Nadig_two_cellline,score_association,directional_risk_frozen,direction_error_rank_target,2,96,0.7534561499279908,0.6894300196907714,0.8035566032598035,1.0
Nadig_two_cellline,score_association,baseline_predicted_magnitude,error_centered_pearson_mean,2,96,0.27972784288591834,0.1646987268769475,0.3765459160814369,1.0
Nadig_two_cellline,score_association,baseline_predicted_magnitude,error_centered_cosine_mean,2,96,0.29860316334004755,0.1823457747481434,0.3921886580398734,1.0
Nadig_two_cellline,score_association,baseline_predicted_magnitude,direction_error_rank_target,2,96,0.291283301244672,0.17525466752161042,0.38593723627489085,1.0
Nadig_two_cellline,score_association,risk_model_disagreement,error_centered_pearson_mean,2,96,0.12222749954220838,0.019449900385729905,0.22904717915767644,0.9906666666666667
Nadig_two_cellline,score_association,risk_model_disagreement,error_centered_cosine_mean,2,96,0.12374965665629004,0.018752638883768644,0.23184541548207344,0.99
Nadig_two_cellline,score_association,risk_model_disagreement,direction_error_rank_target,2,96,0.1256786027575871,0.022114889582943165,0.23605354889887234,0.9913333333333333
Nadig_two_cellline,score_association,safeconf_calibrated_pair_risk,error_centered_pearson_mean,2,96,-0.3628950524171936,-0.4650507936295895,-0.24472677485149,0.0
Nadig_two_cellline,score_association,safeconf_calibrated_pair_risk,error_centered_cosine_mean,2,96,-0.3592502793591743,-0.4632295962141889,-0.23930275205121718,0.0
Nadig_two_cellline,score_association,safeconf_calibrated_pair_risk,direction_error_rank_target,2,96,-0.3592678269266292,-0.46282037298651724,-0.24013817415594021,0.0
Nadig_two_cellline,directional_minus_comparator,directional_minus_baseline_predicted_magnitude,error_centered_pearson_mean,2,96,0.4683682641899559,0.37219747342064896,0.5724907455195564,1.0
Nadig_two_cellline,directional_minus_comparator,directional_minus_baseline_predicted_magnitude,error_centered_cosine_mean,2,96,0.45816808170593126,0.36733488870006564,0.5612984256875037,1.0
Nadig_two_cellline,directional_minus_comparator,directional_minus_baseline_predicted_magnitude,direction_error_rank_target,2,96,0.4621728486833188,0.3690863339814008,0.565500661342129,1.0
Nadig_two_cellline,directional_minus_comparator,directional_minus_risk_model_disagreement,error_centered_pearson_mean,2,96,0.6258686075336659,0.5154219628618035,0.7239085370081886,1.0
