dataset,estimand,analysis,effect,n_independent_perturbation_clusters,rho_safeconf,rho_comparator,delta_rho_safe_minus_comparator,yi_fisher_z,sei,sei_source
Frangieh,fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,189,0.25300639357974863,0.25300639357974863,0.0,0.2586222157067062,0.03158350956740367,perturbation_cluster_bootstrap_fisher_z
Frangieh,fold_macro_perturbation_cluster,score_association,risk_model_disagreement,189,0.25300639357974863,0.13729477247694932,0.11571162110279931,0.1381673245958228,0.04295106496918846,perturbation_cluster_bootstrap_fisher_z
Frangieh,fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,189,0.25300639357974863,0.14814820954296473,0.1048581840367839,0.14924655705053924,0.04415230003684976,perturbation_cluster_bootstrap_fisher_z
Frangieh,fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,189,0.25300639357974863,0.13729477247694932,0.11571162110279931,0.1204548911108834,0.040433708326003306,paired_perturbation_cluster_bootstrap_delta_fisher_z
Frangieh,fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,189,0.25300639357974863,0.14814820954296473,0.1048581840367839,0.10937565865616694,0.040405031628772826,paired_perturbation_cluster_bootstrap_delta_fisher_z
Frangieh,pooled_context_task_median_sensitivity,score_association,safeconf_calibrated_pair_risk,189,0.26191552366403204,0.26191552366403204,0.0,0.2681639088857707,0.04275092727960635,perturbation_cluster_bootstrap_fisher_z
Frangieh,pooled_context_task_median_sensitivity,score_association,risk_model_disagreement,189,0.26191552366403204,0.13876960230167815,0.12314592136235389,0.13967080026286138,0.04868287628216351,perturbation_cluster_bootstrap_fisher_z
Frangieh,pooled_context_task_median_sensitivity,score_association,baseline_predicted_magnitude,189,0.26191552366403204,0.1867436789300125,0.07517184473401953,0.18896104655996215,0.05040503378385551,perturbation_cluster_bootstrap_fisher_z
Frangieh,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,189,0.26191552366403204,0.13876960230167815,0.12314592136235389,0.1284931086229093,0.047949554782239376,paired_perturbation_cluster_bootstrap_delta_fisher_z
Frangieh,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_magnitude,189,0.26191552366403204,0.1867436789300125,0.07517184473401953,0.07920286232580853,0.048152017884994736,paired_perturbation_cluster_bootstrap_delta_fisher_z
Lara_exvivo,fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,31,0.38712458896602125,0.38712458896602125,0.0,0.40841328593172355,0.10616590111757566,perturbation_cluster_bootstrap_fisher_z
Lara_exvivo,fold_macro_perturbation_cluster,score_association,risk_model_disagreement,31,0.38712458896602125,0.17609791742784073,0.21102667153818053,0.17795284854639837,0.11404795987612674,perturbation_cluster_bootstrap_fisher_z
