fold_id,context,raw_tasks,evaluated_tasks,perturbation_missing,applicability_coverage
0,ACH-000178,324,324,0,1.0
0,ACH-000396,369,298,16,0.8075880758807588
0,ACH-000681,412,365,15,0.8859223300970874
0,ACH-000927,379,319,14,0.841688654353562
0,ACH-000958,371,299,19,0.8059299191374663
1,ACH-000139,372,265,28,0.7123655913978495
1,ACH-000148,410,378,8,0.9219512195121952
1,ACH-000236,356,337,1,0.9466292134831461
1,ACH-000601,345,342,0,0.991304347826087
1,ACH-000861,380,349,1,0.9184210526315789
2,ACH-000164,371,354,0,0.954177897574124
2,ACH-000552,409,378,6,0.9242053789731052
2,ACH-000954,22,22,0,1.0
2,ACH-000957,381,337,0,0.884514435695538
2,ACH-001021,371,300,13,0.8086253369272237
3,ACH-000222,374,356,1,0.9518716577540107
3,ACH-000348,381,355,0,0.931758530183727
3,ACH-000669,407,397,0,0.9754299754299754
3,ACH-000790,352,349,1,0.9914772727272727
3,ACH-001039,351,318,18,0.905982905982906
4,ACH-000138,384,382,0,0.9947916666666666
4,ACH-000842,351,335,2,0.9544159544159544
4,ACH-000943,402,396,0,0.9850746268656716
4,ACH-000950,349,326,4,0.9340974212034384
4,ACH-000997,377,372,0,0.986737400530504
