panel,panel_label,task_id,n_seeds,native_logvar_mean,seed_disagreement,predicted_magnitude,family_rms_error,centroid_rmse,truth_max_abs_diff_across_seeds,family_squared_identity_residual,gene_order_hash
P1,Norman_P1,S1PR2+ctrl,3,0.130431849839321,0.021024411866873947,0.0677391697730929,0.06165685142688713,0.057961551338186965,0.0,2.168404344971009e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,SNAI1+ctrl,3,0.2026810199022293,0.021569623804114958,0.0807468319019466,0.06813992951121749,0.06463591356778865,0.0,5.421010862427522e-20,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,SPI1+ctrl,3,0.1706907724340756,0.027576250763663993,0.09363621874848622,0.08699960829540218,0.0825135276022843,0.0,8.673617379884035e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,STIL+ctrl,3,0.16538748890161512,0.026212149269785826,0.039162475480607965,0.04469426468570522,0.03620083599109753,0.0,4.336808689942018e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,TSC22D1+ctrl,3,0.18947203954060868,0.01630272657979431,0.03164044512585353,0.03642145028145069,0.03256905197681769,0.0,4.336808689942018e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,ARRDC3+ctrl,3,0.14117563019196186,0.01890262821950382,0.03400189480560013,0.032834410460471294,0.02684751676937598,0.0,1.6263032587282567e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,ATL1+ctrl,3,0.17281967898209885,0.016421961208718888,0.0344395098091986,0.05984607367422845,0.05754886379660777,0.0,1.3010426069826053e-18,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,BPGM+ctrl,3,0.15730847666660944,0.021571442225069952,0.031205308330483267,0.051868383944802685,0.047169928274017274,0.0,3.2526065174565133e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,CBFA2T3+ctrl,3,0.11492817848920817,0.01373469556909448,0.026598912115550637,0.04026063941753951,0.0378454386146261,0.0,3.2526065174565133e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,CDKN1C+ctrl,3,0.18499319503704703,0.01566447748584164,0.0565549357690121,0.04792348850751772,0.04529111276868503,0.0,3.7947076036992655e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,CEBPA+ctrl,3,0.35360852380593616,0.02051090603310693,0.1517955862276428,0.09465519452476519,0.09240621507356632,0.0,1.0842021724855044e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,CEBPB+ctrl,3,0.16909735898176828,0.018315411457767328,0.0804288121059599,0.05987243321394369,0.057002227694107115,0.0,9.75781955236954e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P2,Norman_P2,CELF2+ctrl,3,0.1623752862215042,0.016285381738015758,0.0329868112034519,0.04247280175802303,0.03922658831485892,0.0,4.87890977618477e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
