panel,system,arm,score_a,score_b,spearman_a,spearman_b,paired_spearman_delta_a_minus_b,delta_ci95_lower,delta_ci95_upper,bootstrap_valid,score_score_spearman,utility20_a,utility20_b,paired_utility20_delta_a_minus_b,utility_delta_ci95_lower,utility_delta_ci95_upper,utility_delta_bootstrap_valid,status
P1,GEARS-UQ,same_prediction_family_rms,native_logvar_mean,seed_disagreement,0.4121739130434783,0.3608695652173913,0.051304347826087005,-0.41372339983302914,0.5468405109606476,5000,0.4626086956521739,0.6271250741460179,0.6032678305794922,0.023857243566525743,-0.6966136912124143,0.7415075959427626,5000,estimable
P2,GEARS-UQ,same_prediction_family_rms,native_logvar_mean,seed_disagreement,0.4539130434782608,0.3321739130434782,0.12173913043478257,-0.48532632501095047,0.6954339919887421,5000,-0.1434782608695652,0.8003607868276175,0.011192544612587781,0.7891682422150297,-0.11911540818774048,1.1728486937058504,5000,estimable
P1,GEARS-UQ,same_prediction_family_rms,native_logvar_mean,predicted_magnitude,0.4121739130434783,0.6869565217391305,-0.2747826086956522,-0.725375318446785,0.14406004190230948,5000,0.35478260869565215,0.6271250741460179,0.7518055649785143,-0.12468049083249633,-0.9084471591963288,0.3065013416725883,5000,estimable
P2,GEARS-UQ,same_prediction_family_rms,native_logvar_mean,predicted_magnitude,0.4539130434782608,0.6799999999999999,-0.22608695652173916,-0.6666812227074237,0.18374992573331758,5000,0.39826086956521733,0.8003607868276175,0.3047396222802379,0.4956211645473796,-0.35584740418726485,0.9672488195075911,5000,estimable
P1,GEARS-UQ,same_prediction_family_rms,seed_disagreement,predicted_magnitude,0.3608695652173913,0.6869565217391305,-0.3260869565217392,-0.7686273175294577,0.06409130816505704,5000,0.48173913043478256,0.6032678305794922,0.7518055649785143,-0.14853773439902207,-0.8575029005510488,0.21934159872989148,5000,estimable
P2,GEARS-UQ,same_prediction_family_rms,seed_disagreement,predicted_magnitude,0.3321739130434782,0.6799999999999999,-0.34782608695652173,-0.6999190687921003,0.028011521614564352,5000,0.3478260869565217,0.011192544612587781,0.3047396222802379,-0.2935470776676501,-0.9042433311408057,0.2535196983938727,5000,estimable
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,predicted_magnitude,0.049565217391304345,0.046956521739130425,0.00260869565217392,-0.03409090909090909,0.05000000000000002,5000,0.9965217391304346,-0.05509845025769578,-5.3818705795691374e-05,-0.05504463155190009,-0.095723230331552,0.0,5000,estimable
P2,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,predicted_magnitude,0.5843478260869565,0.5739130434782608,0.01043478260869568,-0.05629924205795541,0.0926573426573426,5000,0.9939130434782607,0.39005396051589314,0.39005396051589314,0.0,0.0,0.0,5000,estimable
P1,PRESCRIBE,rmse_sensitivity,risk_combined,predicted_magnitude,-0.02695652173913043,0.033913043478260865,-0.0608695652173913,-0.8607127963779339,0.726347662992198,5000,-0.9965217391304346,-0.1888475865997952,0.2017819938266216,-0.3906295804264168,-1.048813124682872,0.5697643087500056,5000,estimable
P2,PRESCRIBE,rmse_sensitivity,risk_combined,predicted_magnitude,-0.08521739130434783,0.08434782608695651,-0.16956521739130434,-1.049007360254625,0.8021061869240895,5000,-0.9939130434782607,0.14235037844279302,0.4067010957821758,-0.26435071733938276,-1.1369493420474746,0.9023650263060279,5000,estimable
