level,panel,seed,score_name,n,n_nan,n_unique_finite,min,max,range,estimable
single_seed,P1,11,native_logvar,24,0,24,-0.00476043112576,0.2300613224506378,0.23482175357639778,True
single_seed,P1,11,predicted_magnitude,24,0,24,0.0274564576510189,0.114664416524611,0.0872079588735921,True
single_seed,P1,22,native_logvar,24,0,24,0.1058399528264999,0.3774788975715637,0.27163894474506384,True
single_seed,P1,22,predicted_magnitude,24,0,24,0.0314779722290766,0.1133416954308704,0.0818637232017938,True
single_seed,P1,33,native_logvar,24,0,24,-0.0077129881829023,0.4200700223445892,0.42778301052749146,True
single_seed,P1,33,predicted_magnitude,24,0,24,0.0240028565877638,0.1316846525746992,0.10768179598693539,True
single_seed,P2,11,native_logvar,24,0,24,0.0671007931232452,0.3031747937202453,0.23607400059700012,True
single_seed,P2,11,predicted_magnitude,24,0,24,0.0251313423791043,0.1625888649160957,0.1374575225369914,True
single_seed,P2,22,native_logvar,24,0,24,-0.0596242435276508,0.3614278733730316,0.4210521169006824,True
single_seed,P2,22,predicted_magnitude,24,0,24,0.022974005667922,0.1337409803825085,0.1107669747145865,True
single_seed,P2,33,native_logvar,24,0,24,0.043795146048069,0.4636686742305755,0.4198735281825065,True
single_seed,P2,33,predicted_magnitude,24,0,24,0.0225157275879476,0.1590569133843242,0.1365411857963766,True
family,P1,,native_logvar_mean,24,0,24,0.08045476240416363,0.2883670727411906,0.20791231033702698,True
family,P1,,seed_disagreement,24,0,24,0.01234394106028455,0.028764345371920862,0.016420404311636314,True
family,P1,,predicted_magnitude,24,0,24,0.029341603289005435,0.09915634084374127,0.06981473755473583,True
family,P2,,native_logvar_mean,24,0,24,0.055972206095854404,0.35360852380593616,0.29763631771008175,True
family,P2,,seed_disagreement,24,0,24,0.010631665081187923,0.02900813979646222,0.0183764747152743,True
family,P2,,predicted_magnitude,24,0,24,0.026598912115550637,0.1517955862276428,0.12519667411209218,True
