panel,task_id,check,value,threshold,pass
P2,SAMD1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,SAMD1+ctrl,hilbert_family_identity,2.439454888092385e-19,1e-10,True
P2,SGK1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,SGK1+ctrl,hilbert_family_identity,4.336808689942018e-19,1e-10,True
P2,SLC38A2+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,SLC38A2+ctrl,hilbert_family_identity,2.710505431213761e-20,1e-10,True
P2,SLC4A1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,SLC4A1+ctrl,hilbert_family_identity,4.87890977618477e-19,1e-10,True
P2,SLC6A9+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,SLC6A9+ctrl,hilbert_family_identity,2.710505431213761e-19,1e-10,True
P2,TBX3+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,TBX3+ctrl,hilbert_family_identity,4.336808689942018e-19,1e-10,True
P2,TP73+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,TP73+ctrl,hilbert_family_identity,4.607859233063394e-19,1e-10,True
P2,ZC3HAV1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,ZC3HAV1+ctrl,hilbert_family_identity,3.2526065174565133e-19,1e-10,True
