panel,system,arm,score_name,outcome_name,normalized_aurc,coverage,n_retained,selective_error,normalized_selective_error
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.9515141802888037,0.7,17,0.10002295419539368,0.9265329343252632
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.9515141802888037,0.75,19,0.102234923461063,0.9470228547724666
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.9515141802888037,0.8,20,0.1052244480813953,0.9747154283521586
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.9515141802888037,0.85,21,0.10602230681049547,0.9821061557646494
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.9515141802888037,0.9,22,0.10637069837439114,0.9853333775617565
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.9515141802888037,0.95,23,0.10819458513174497,1.0022284109344646
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.9515141802888037,1.0,25,0.10795401921490706,1.0
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,0.5,12,0.09336975943335431,0.8649030403164567
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,0.55,14,0.09175764253212906,0.8499696741208363
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,0.6,15,0.09301899214892248,0.8616538117376342
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,0.65,16,0.09341716882385531,0.8653422031271217
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,0.7,17,0.09394680613584235,0.8702483410906622
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,0.75,19,0.10150484363362279,0.9402599770885258
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,0.8,20,0.1025285755215666,0.9497430134348229
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,0.85,21,0.10399832672076044,0.9633576172252382
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,0.9,22,0.10366140688620597,0.9602366603863477
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,0.95,23,0.1061989724940974,0.9837426458637373
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.9177005464233156,1.0,25,0.10795401921490705,0.9999999999999999
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,0.5,12,0.10310087267774985,0.955044318197214
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,0.55,14,0.09942653525230369,0.9210081845528375
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,0.6,15,0.10093006499498337,0.9349356858502794
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,0.65,16,0.09973166958464892,0.9238347058307326
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,0.7,17,0.10151668307962526,0.9403696482808406
P1,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.950661891597066,0.75,19,0.10253423722651038,0.9497954589573235
