culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,1.1611995808540845,True
Rest,seen_160,160,True,160,1.019408194616042,True
Stim8hr,all_200,200,True,200,1.1678907797291673,True
Stim8hr,seen_160,160,True,160,1.0309834929889292,True
Stim48hr,all_200,200,True,200,1.1636356575694875,True
Stim48hr,seen_160,160,True,160,1.024825242479676,True
