target,history_mode,fraction,k_sources,method,utility,capture,remaining_relative_error,n_tasks
K562,fraction,0.25,1,disagreement,0.46874366260095063,0.25545740543170825,0.9323254613399407,566.0
K562,fraction,0.25,1,history_risk,0.0004722635684743075,0.2014678773685863,0.9999318172773898,566.0
K562,fraction,0.25,1,m_plus_d,0.9176881784190826,0.30721863318473336,0.8675094106580552,566.0
K562,fraction,0.25,1,m_plus_history,0.9251136784861372,0.3080747590234698,0.8664373592759206,566.0
K562,fraction,0.25,1,magnitude,0.9337696931035814,0.309072757502704,0.8651876532156407,566.0
K562,fraction,0.25,2,disagreement,0.46874366260095063,0.25545740543170825,0.9323254613399407,566.0
K562,fraction,0.25,2,history_risk,0.5055329065508881,0.25969903522750626,0.9270140399584768,566.0
K562,fraction,0.25,2,m_plus_d,0.9176881784190826,0.30721863318473336,0.8675094106580552,566.0
K562,fraction,0.25,2,m_plus_history,0.9411559310191197,0.30992435659683143,0.8641212702791888,566.0
K562,fraction,0.25,2,magnitude,0.9337696931035814,0.309072757502704,0.8651876532156407,566.0
K562,fraction,0.25,3,disagreement,0.46874366260095063,0.25545740543170825,0.9323254613399407,566.0
K562,fraction,0.25,3,history_risk,0.42562338317936615,0.2504858365066545,0.9385509215425522,566.0
K562,fraction,0.25,3,m_plus_d,0.9176881784190826,0.30721863318473336,0.8675094106580552,566.0
K562,fraction,0.25,3,m_plus_history,0.9384509046855788,0.30961247956259885,0.8645118065654183,566.0
K562,fraction,0.25,3,magnitude,0.9337696931035814,0.309072757502704,0.8651876532156407,566.0
K562,fraction,0.5,1,disagreement,0.46874366260095063,0.25545740543170825,0.9323254613399407,566.0
K562,fraction,0.5,1,history_risk,-0.03192192380564294,0.19773297728301512,1.0046087054376402,566.0
K562,fraction,0.5,1,m_plus_d,0.9176881784190826,0.30721863318473336,0.8675094106580552,566.0
K562,fraction,0.5,1,m_plus_history,0.9257441062939057,0.30814744443600967,0.8663463417018109,566.0
K562,fraction,0.5,1,magnitude,0.9337696931035814,0.309072757502704,0.8651876532156407,566.0
K562,fraction,0.5,2,disagreement,0.46874366260095063,0.25545740543170825,0.9323254613399407,566.0
K562,fraction,0.5,2,history_risk,0.5037215160500923,0.2594901902746049,0.9272755581959592,566.0
K562,fraction,0.5,2,m_plus_d,0.9176881784190826,0.30721863318473336,0.8675094106580552,566.0
K562,fraction,0.5,2,m_plus_history,0.9443262437861465,0.3102898790063955,0.8636635585893365,566.0
K562,fraction,0.5,2,magnitude,0.9337696931035814,0.309072757502704,0.8651876532156407,566.0
K562,fraction,0.5,3,disagreement,0.46874366260095063,0.25545740543170825,0.9323254613399407,566.0
K562,fraction,0.5,3,history_risk,0.44061681925566726,0.25221451038995507,0.9363862546886845,566.0
K562,fraction,0.5,3,m_plus_d,0.9176881784190826,0.30721863318473336,0.8675094106580552,566.0
K562,fraction,0.5,3,m_plus_history,0.9382704576466815,0.3095916748529997,0.8645378584805358,566.0
K562,fraction,0.5,3,magnitude,0.9337696931035814,0.309072757502704,0.8651876532156407,566.0
K562,fraction,1.0,1,disagreement,0.46874366260095063,0.25545740543170825,0.9323254613399407,566.0
K562,fraction,1.0,1,history_risk,-0.07053560021328326,0.19328099885696134,1.0101835279799998,566.0
K562,fraction,1.0,1,m_plus_d,0.9176881784190826,0.30721863318473336,0.8675094106580552,566.0
K562,fraction,1.0,1,m_plus_history,0.9227757780842171,0.3078052099123794,0.8667748920123746,566.0
K562,fraction,1.0,1,magnitude,0.9337696931035814,0.309072757502704,0.8651876532156407,566.0
K562,fraction,1.0,2,disagreement,0.46874366260095063,0.25545740543170825,0.9323254613399407,566.0
K562,fraction,1.0,2,history_risk,0.5146069123370489,0.26074522615663215,0.9257039867153679,566.0
K562,fraction,1.0,2,m_plus_d,0.9176881784190826,0.30721863318473336,0.8675094106580552,566.0
K562,fraction,1.0,2,m_plus_history,0.9419623949724413,0.31001733816335403,0.8640048376096056,566.0
K562,fraction,1.0,2,magnitude,0.9337696931035814,0.309072757502704,0.8651876532156407,566.0
K562,fraction,1.0,3,disagreement,0.46874366260095063,0.25545740543170825,0.9323254613399407,566.0
K562,fraction,1.0,3,history_risk,0.4239209143729615,0.2502895497217048,0.9387967142865378,566.0
K562,fraction,1.0,3,m_plus_d,0.9176881784190826,0.30721863318473336,0.8675094106580552,566.0
K562,fraction,1.0,3,m_plus_history,0.9384555464311944,0.30961301473441527,0.8645111364166395,566.0
K562,fraction,1.0,3,magnitude,0.9337696931035814,0.309072757502704,0.8651876532156407,566.0
K562,matched30,1.0,1,disagreement,0.40471823132532064,0.24293690653141128,0.9482800603756033,243.0
K562,matched30,1.0,1,history_risk,0.5819563466469608,0.2610193793257184,0.925630365071394,243.0
K562,matched30,1.0,1,m_plus_d,0.8714901077553026,0.29055865956898885,0.8886301326017305,243.0
K562,matched30,1.0,1,m_plus_history,0.9138250705549343,0.2948778254080248,0.8832200434322163,243.0
K562,matched30,1.0,1,magnitude,0.9018854073706725,0.2936596978381688,0.8847458423985822,243.0
K562,matched30,1.0,2,disagreement,0.40471823132532064,0.24293690653141128,0.9482800603756033,243.0
K562,matched30,1.0,2,history_risk,0.759473614406352,0.2791303322601576,0.9029449961895963,243.0
K562,matched30,1.0,2,m_plus_d,0.8714901077553026,0.29055865956898885,0.8886301326017305,243.0
K562,matched30,1.0,2,m_plus_history,0.9298616447611033,0.296513934640346,0.8811706901154429,243.0
