contrast,delta,ci95_lower,ci95_upper,positive_targets,delta_K562,delta_RPE1,delta_hepg2,delta_jurkat
cell_quantity_full_minus_quarter,0.005069750381805266,0.0002541125059184468,0.010893659697629315,4,4.641745615652226e-06,0.0005035832662212414,0.005413758007285496,0.014357018508098673
diversity_3_minus_1_total30,0.016114655064530192,-0.015181914692257936,0.05282317768219896,3,0.006047908281961334,0.015357496125337766,0.06841493414894484,-0.02536171829812317
full_history_minus_magnitude,0.011994593881360704,0.003454300086681683,0.020534887676039726,4,0.004685853327613065,0.016119626929240738,0.024950148422838714,0.002222746845750301
