target,disagreement,history_risk,m_plus_d,m_plus_history,magnitude
K562,0.46874366260095063,0.4239209143729615,0.9176881784190826,0.9384555464311944,0.9337696931035814
RPE1,0.14494868419233337,0.3010733635699192,0.5970325181845761,0.6245692275187454,0.6084496005895047
hepg2,0.19836782797055016,0.4424817452341497,0.7711496653549382,0.8212304892117209,0.7962803407888822
jurkat,0.3246387017603692,0.29304506720150447,0.7187254761202976,0.7389684461062777,0.7367456992605274
