target,history_mode,fraction,seed,k_sources,scope,method,budget,spearman,n_tasks,coverage,utility,capture,remaining_relative_error
K562,fraction,0.25,11,1,primary,magnitude,0.1,0.8992579621117099,566,0.8286219081272085,0.9485480829802301,0.17442893552854094,0.9180220481156106
K562,fraction,0.25,11,1,primary,magnitude,0.2,0.8992579621117099,566,0.8286219081272085,0.9337696931035814,0.309072757502704,0.8651876532156406
K562,fraction,0.25,11,1,primary,magnitude,0.3,0.8992579621117099,566,0.8286219081272085,0.9284130420476459,0.4280297491015706,0.8175130353750278
K562,fraction,0.25,11,1,primary,disagreement,0.1,0.5338684397879495,566,0.8286219081272085,0.4711404345877028,0.13732427720882315,0.9592818449897959
K562,fraction,0.25,11,1,primary,disagreement,0.2,0.5338684397879495,566,0.8286219081272085,0.46874366260095063,0.25545740543170825,0.9323254613399407
K562,fraction,0.25,11,1,primary,disagreement,0.3,0.5338684397879495,566,0.8286219081272085,0.5270583998901305,0.3728350131521123,0.8964024812017787
K562,fraction,0.25,11,1,primary,history_risk,0.1,0.32721351032117474,566,0.8286219081272085,0.3188695218762657,0.12548961094988628,0.9724418078631912
K562,fraction,0.25,11,1,primary,history_risk,0.2,0.32721351032117474,566,0.8286219081272085,0.17730358822261447,0.22185571182650843,0.9744019183765402
K562,fraction,0.25,11,1,primary,history_risk,0.3,0.32721351032117474,566,0.8286219081272085,0.33121060862990437,0.34590180747948324,0.9348979216328598
K562,fraction,0.25,11,1,primary,m_plus_d,0.1,0.9082345831777897,566,0.8286219081272085,0.8945595607747561,0.17023288698100375,0.9226879881507895
K562,fraction,0.25,11,1,primary,m_plus_d,0.2,0.9082345831777897,566,0.8286219081272085,0.9176881784190825,0.30721863318473336,0.8675094106580552
K562,fraction,0.25,11,1,primary,m_plus_d,0.3,0.9082345831777897,566,0.8286219081272085,0.9288693703822125,0.4280925038807287,0.8174233404128978
K562,fraction,0.25,11,1,primary,m_plus_history,0.1,0.8977336778126533,566,0.8286219081272085,0.9252431562289285,0.17261765046181718,0.9200361686416727
K562,fraction,0.25,11,1,primary,m_plus_history,0.2,0.8977336778126533,566,0.8286219081272085,0.9168919998226797,0.30712683747232694,0.8676243583864226
K562,fraction,0.25,11,1,primary,m_plus_history,0.3,0.8977336778126533,566,0.8286219081272085,0.9285245687804926,0.428045086381682,0.8174911139090102
K562,fraction,0.25,11,1,all,magnitude,0.1,0.900131032822169,580,0.8275862068965517,0.9609857583039885,0.17872579205105382,0.9125268977210513
K562,fraction,0.25,11,1,all,magnitude,0.2,0.900131032822169,580,0.8275862068965517,0.9330814158108366,0.311050208148966,0.8611872398137925
K562,fraction,0.25,11,1,all,magnitude,0.3,0.900131032822169,580,0.8275862068965517,0.9314668231235753,0.4314812090480798,0.8121697013598861
