heldout_dataset,term,coefficient
Frangieh,safeconf_rank,0.19306558774956326
Frangieh,disagreement_rank,0.0
Frangieh,magnitude_rank,0.006475301578771709
Frangieh,context_novelty_rank,0.0
Frangieh,perturbation_novelty_rank,0.0017368897781316988
Frangieh,low_support_rank,0.0017368897781316988
Frangieh,intercept,0.40567173937030554
Lara_exvivo,safeconf_rank,0.15498231940774615
Lara_exvivo,disagreement_rank,0.0
Lara_exvivo,magnitude_rank,0.0326594261007874
Lara_exvivo,context_novelty_rank,0.02759494731025007
Lara_exvivo,perturbation_novelty_rank,0.0
Lara_exvivo,low_support_rank,0.0
Lara_exvivo,intercept,0.3983805578252397
Liang,safeconf_rank,0.19896136973267087
Liang,disagreement_rank,0.0
Liang,magnitude_rank,0.02742786406186955
Liang,context_novelty_rank,0.0
Liang,perturbation_novelty_rank,0.0
Liang,low_support_rank,0.0
Liang,intercept,0.39269842501327734
Santinha,safeconf_rank,0.22592300938144022
Santinha,disagreement_rank,0.0
Santinha,magnitude_rank,0.03557869045302986
Santinha,context_novelty_rank,0.0
Santinha,perturbation_novelty_rank,0.007516791055987062
Santinha,low_support_rank,0.007516791055987062
Santinha,intercept,0.36680010994359713
Shifrut,safeconf_rank,0.22205294334223777
Shifrut,disagreement_rank,0.0
Shifrut,magnitude_rank,0.0
Shifrut,context_novelty_rank,0.0
Shifrut,perturbation_novelty_rank,0.0020786532590373365
Shifrut,low_support_rank,0.0020786532590373365
Shifrut,intercept,0.391962299225219
