source_fraction,repeat_seed,source_n_tasks_used,n_target_tasks,spearman_vs_error,top20_error_enrichment,top20_k,mean_error_combined_rmse,mean_source_support,shared_perturbation_tasks,pair_group,source_dataset,target_dataset,directional_pair,n_common_genes,source_n_tasks_full,target_n_tasks_full
0.75,6,28,24,-0.03217391304347826,0.8267480396610726,5,0.017807961047617293,3.0416666666666665,24,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.75,7,28,24,0.08782608695652173,1.277592079160317,5,0.018399571470059092,2.9166666666666665,24,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
1.0,0,38,24,0.38956521739130434,1.2134488316973517,5,0.01256446335835854,4.125,24,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.25,0,6,30,0.42397373576664477,1.2414879284533138,6,0.041791675459261206,0.6,15,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.25,1,6,30,0.7052790776170969,1.4411622197800018,6,0.041627168895743936,0.6,15,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.25,2,6,30,0.7866115520392031,1.5020334259080521,6,0.042135059306003544,0.6,18,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.25,3,6,30,0.6642894378174427,1.4666817241050087,6,0.0444509143805077,0.6,18,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.25,4,6,30,0.3343860472792396,1.1525290348601698,6,0.04380073579704973,0.6,15,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.25,5,6,30,0.6694440022221348,1.3788785816704374,6,0.042920049838566565,0.6,15,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.25,6,6,30,0.49877945565362797,1.2912558296388978,6,0.04137817680903757,0.6,15,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.25,7,6,30,0.5035804666486695,1.2561710857707764,6,0.042570302669153424,0.6,12,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.5,0,12,30,0.66495938212441,1.2959144277253687,6,0.03848188619128443,1.2,21,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.5,1,12,30,0.5972382256199474,1.1102294142043974,6,0.039370173030374926,1.2,21,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.5,2,12,30,0.7603036419399033,1.6377102407457458,6,0.04119090581121428,1.2,21,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.5,3,12,30,0.5592522844142248,1.0698496711782615,6,0.041803703974291846,1.2,24,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.5,4,12,30,0.6433737979472838,1.3948931626934087,6,0.040013622226284684,1.2,24,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.5,5,12,30,0.8362625139043381,1.664288629068447,6,0.03973587243482767,1.2,27,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.5,6,12,30,0.7664404566345366,1.4801577995848414,6,0.03901805911879034,1.2,24,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.5,7,12,30,0.5299626030398563,1.0634967138940161,6,0.0400305767213571,1.2,21,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
0.75,0,18,30,0.7935483870967741,1.600681699206751,6,0.03545515824712235,1.8,30,same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1000,24,30
