pair_group,source_dataset,target_dataset,status,n_common_genes,source_n_tasks,target_n_tasks,source_path,target_path,source_context_col,target_context_col
same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,ok,1000,38,24,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,cell_type,cell_type
same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,ok,1000,24,30,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,cell_type,donor_id
immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,ok,1000,8,8,extra_official/cellular_context_generalization/kangCrossCell.h5ad,extra_official/cellular_context_generalization/kangCrossPatient.h5ad,cell_type,cell_type_x
hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,ok,1000,24,42,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,extra_official/cellular_context_generalization/McFarland.h5ad,cell_type,condition1
hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,ok,566,27,24,extra_official/cellular_context_generalization/sciplex3.h5ad,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,condition1,cell_type
hard_chemical_boundary,sciplex3_cellline,crossPatient_patient,ok,453,27,10,extra_official/cellular_context_generalization/sciplex3.h5ad,extra_official/cellular_context_generalization/crossPatient.h5ad,condition1,condition1
