pair_group,source_dataset,target_dataset,directional_pair,source_fraction,repeats,source_n_tasks_used_mean,n_target_tasks,spearman_mean,spearman_sd,top20_enrichment_mean,top20_enrichment_sd,mean_source_support,shared_perturbation_tasks
hard_chemical_boundary,sciplex3_cellline,crossPatient_patient,sciplex3_cellline -> crossPatient_patient,0.25,8,7.0,10,-0.7048076581119013,0.040224358021569775,0.696575486609662,0.045838771019234184,0.0,0.0
hard_chemical_boundary,sciplex3_cellline,crossPatient_patient,sciplex3_cellline -> crossPatient_patient,0.5,8,14.0,10,-0.7086423026065253,0.026030430005647965,0.6750218027748974,0.030141999295605577,0.0,0.0
hard_chemical_boundary,sciplex3_cellline,crossPatient_patient,sciplex3_cellline -> crossPatient_patient,0.75,8,20.0,10,-0.717845449393623,0.0,0.6845592530819044,0.02132319010765537,0.0,0.0
hard_chemical_boundary,sciplex3_cellline,crossPatient_patient,sciplex3_cellline -> crossPatient_patient,1.0,1,27.0,10,-0.717845449393623,,0.6801137625549276,,0.0,0.0
hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,0.25,8,7.0,24,0.1708045531297323,0.14619722918316472,1.1916251770381392,0.2052641108426463,0.0,0.0
hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,0.5,8,14.0,24,0.12227273733082242,0.09625746500035516,1.1952468481192478,0.23431527424386212,0.0,0.0
hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,0.75,8,20.0,24,0.1264456732004578,0.08870159433131367,1.1923784920142382,0.22908972473979244,0.0,0.0
hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,1.0,1,27.0,24,0.15365550161068287,,1.2801813877637738,,0.0,0.0
hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,0.25,8,6.0,42,0.41362613061353376,0.23624483264313245,1.2139447942174706,0.17937286407814776,0.0,0.0
hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,0.5,8,12.0,42,0.37435762935365524,0.24725022132205077,1.1780273687600984,0.15375354035326672,0.0,0.0
hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,0.75,8,18.0,42,0.4448659884177331,0.22508463621135455,1.2475556568146198,0.16821211047534865,0.0,0.0
hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1.0,1,24.0,42,0.6053034848141661,,1.3647372450295845,,0.0,0.0
immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,0.25,8,3.0,8,0.6517857142857143,0.3398148994038062,1.264542702359348,0.306955141080777,3.0,8.0
immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,0.5,8,4.0,8,0.7083333333333335,0.26536062583358594,1.4053413990807384,0.460055856633872,4.0,8.0
immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,0.75,8,6.0,8,0.6964285714285715,0.12388145477193412,1.3744440641976723,0.32192089804967433,6.0,8.0
immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1.0,1,8.0,8,0.9761904761904763,,1.3319420087786193,,8.0,8.0
same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,0.25,8,10.0,24,0.34290586410037804,0.08293500763718983,1.2264695009596047,0.1954874339498837,1.0833333333333333,15.625
same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,0.5,8,19.0,24,0.15675922325612673,0.16437775862701964,1.1401488670554416,0.14325845523662623,2.046875,21.75
same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,0.75,8,28.0,24,0.1896927343928852,0.1291184904676774,1.338963506450671,0.34092944417123683,3.03125,23.0
same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1.0,1,38.0,24,0.38956521739130434,,1.2134488316973517,,4.125,24.0
same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,0.25,8,6.0,30,0.5732929718805074,0.15594659185551596,1.3412749787733322,0.12437770620526468,0.6,15.375
same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,0.5,8,12.0,30,0.6697241132030626,0.1088920116282803,1.3395675073868107,0.24513081092510172,1.2,22.875
same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,0.75,8,18.0,30,0.8089543937708564,0.031642035375531695,1.6093406299752429,0.0457609622909798,1.8,29.625
same_system_patient_context,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,1.0,1,24.0,30,0.8331479421579533,,1.5927397324754264,,2.4,30.0
