score,n_tasks,spearman_vs_mean_model_error,spearman_pvalue,top20_error_enrichment
predicted_magnitude,16,0.6264705882352941,0.009413977306783627,0.6702093805095395
model_disagreement,16,0.34411764705882353,0.19185563142554296,0.3960895793353665
embedding_novelty,16,0.21764705882352942,0.41808684161130316,-0.09455795507039677
safeconf_structural_proxy,16,0.3902491253826204,0.1350778794762777,0.3960895793353669
e218_transfer_router,16,0.6892496429276536,0.0031411684179140785,0.6702093805095395
