perturbation,split,predicted_magnitude,model_disagreement,embedding_novelty,magnitude_percentile,disagreement_percentile,novelty_percentile,safeconf_structural_proxy,e218_transfer_router,test_truth_used_for_features,error_knn_rmse,error_ridge_rmse,error_two_predictor_mean_rmse,error_no_change_rmse
CHERP,test,0.017622016,0.013603092,0.7469473481178284,0.25,0.8125,0.6875,0.75,0.5703125,False,0.05435904552487498,0.05292640402079227,0.05364272477283362,0.055456795365585516
DDOST,test,0.022536607,0.00925577,0.6278017163276672,0.5625,0.3125,0.1875,0.25,0.5625,False,0.027547743699246462,0.02802576608963518,0.02778675489444082,0.03571297316060657
DDRGK1,test,0.022512536,0.008324375,0.800575464963913,0.5,0.125,0.9375,0.53125,0.515625,False,0.025371694486762807,0.025420348231170432,0.025396021358966618,0.0215010022407795
EIF2B3,test,0.027147638,0.013922038,0.7379067540168762,0.8125,0.875,0.625,0.75,0.8203125,False,0.07081955227707559,0.07792721561725158,0.07437338394716358,0.09298647642786925
EIF2S1,test,0.029381016,0.010534115,0.7027044892311096,0.9375,0.375,0.4375,0.40625,0.9375,False,0.10313467629936565,0.1049313335911249,0.10403300494524528,0.12665562986683837
FECH,test,0.02796648,0.017093811,0.8080051243305206,0.875,1.0,1.0,1.0,0.953125,False,0.0361763106401087,0.03659302710026134,0.036384668870185016,0.035990165782221244
GMPPB,test,0.012770372,0.008983764,0.6280251145362854,0.0625,0.1875,0.25,0.21875,0.15625,False,0.0179490186419934,0.018752436723963713,0.018350727682978556,0.017050071909096864
HSPA9,test,0.029579688,0.016442306,0.7277897596359253,1.0,0.9375,0.5,0.71875,1.0,False,0.09541573151398615,0.08905716299631071,0.09223644725514843,0.11267355451881333
IARS2,test,0.023827203,0.007913068,0.7954865843057632,0.625,0.0625,0.875,0.46875,0.625,False,0.07974836038211744,0.07845821079212945,0.07910328558712344,0.0948444546707579
OST4,test,0.022361578,0.013091281,0.5212510824203491,0.4375,0.75,0.0625,0.40625,0.4765625,False,0.028706430027031677,0.025224734705343012,0.026965582366187346,0.02378010304909887
P4HB,test,0.019509396,0.010891701,0.5716193914413452,0.3125,0.5,0.125,0.3125,0.3359375,False,0.02559769654679181,0.022594908093387007,0.024096302320089406,0.02103258888097502
PSMD12,test,0.024540272,0.011825495,0.7514759302139282,0.6875,0.6875,0.75,0.71875,0.703125,False,0.041834763544085385,0.043367990575835944,0.042601377059960664,0.0443681478342099
SEC61A1,test,0.014532787,0.011301917,0.6565180122852325,0.125,0.5625,0.3125,0.4375,0.3359375,False,0.06917384234569135,0.06357017161328056,0.06637200697948595,0.07596401701155113
STT3A,test,0.015671106,0.010757029,0.7284978330135345,0.1875,0.4375,0.5625,0.5,0.375,False,0.015597273267327296,0.01926651493455782,0.017431894100942556,0.01709999404480683
TMED10,test,0.02066553,0.009027839,0.6666459441184998,0.375,0.25,0.375,0.3125,0.375,False,0.021566977908268836,0.02037153159158678,0.020969254749927807,0.023374002166113406
UFL1,test,0.025319405,0.011648648,0.76164311170578,0.75,0.625,0.8125,0.71875,0.75,False,0.026324732265544253,0.02479445616585267,0.025559594215698464,0.023968311985905925
