dataset_name,dataset_family,score_name,variant_kind,variant_description,n,aligned_rho,normalized_rmse_rho,magnitude_only_rho,partial_rho_control_magnitude,risk_coverage80_improve_pct,mean_rmse,aligned_rho_ci_low,aligned_rho_ci_high,partial_rho_ci_low,partial_rho_ci_high,n_bootstrap,interpretation_note
CuiHacohen2023,gene_main,protocol_full_confidence,full,full frozen v0.2 formula,2506,0.44537588172141973,0.10910776228099044,0.7358455041044434,0.3284789922988475,21.581017548363633,0.21104441417229275,0.4076663211778431,0.470028873276566,0.29860915005962796,0.35793680640450604,200,
CuiHacohen2023,gene_main,loo_no_context_confidence,leave_one_out,remove context_similarity,2506,0.27245918831611804,0.04497296885400592,0.7358455041044434,0.1883086587534924,8.21955267278761,0.21104441417229275,0.23204913637471536,0.30377848002707813,0.15050032455010628,0.22793360906296384,200,
CuiHacohen2023,gene_main,loo_no_disagreement_confidence,leave_one_out,remove model_disagreement,2506,0.3390316979498787,0.092002261813586,0.7358455041044434,0.23899711117571404,21.22480917758959,0.21104441417229275,0.3066035051463258,0.3723482282681183,0.20677520393286605,0.27282736664018165,200,
CuiHacohen2023,gene_main,loo_no_support_confidence,leave_one_out,remove support_count,2506,0.49629885518164246,0.09528888326633936,0.7358455041044434,0.3616838650262457,22.22284178482913,0.21104441417229275,0.46916558688575083,0.5238423145845954,0.32758414228543103,0.3917924587477406,200,
CuiHacohen2023,gene_main,single_context_similarity_confidence,single_feature,context_similarity only,2506,0.43495383712267005,0.058051536554424646,0.7358455041044434,0.2785548355368935,21.83549978182484,0.21104441417229275,0.4014685464351287,0.46910762791566113,0.24118918744701395,0.3179492061534456,200,
CuiHacohen2023,gene_main,single_negative_disagreement_confidence,single_feature,negative model_disagreement only,2506,0.3547471003747907,0.017804288390168902,0.7358455041044434,0.2238998401035499,13.769284023744918,0.21104441417229275,0.32095824335878914,0.38950015805571436,0.18313838622095005,0.26352653138501225,200,
CuiHacohen2023,gene_main,single_support_count_confidence,single_feature,support_count only,2506,0.037646074668584016,0.05950769082381585,0.7358455041044434,0.0674953414148573,0.14963814960809532,0.21104441417229275,-0.0014657831417622363,0.07629018929840506,0.028792681147011858,0.10278384270358833,200,
Frangieh,gene_main,protocol_full_confidence,full,full frozen v0.2 formula,1266,0.582722177199959,0.3175579575788219,0.7973336548301498,0.47381962305649994,5.0190818385919025,0.05611442497642327,0.5448957150782389,0.6210998398009056,0.43264066453848726,0.5119063792186503,200,
Frangieh,gene_main,loo_no_context_confidence,leave_one_out,remove context_similarity,1266,0.5631160888662675,0.5739507382156849,0.7973336548301498,0.654192273023368,8.078406500204673,0.05611442497642327,0.5179659697984033,0.600995804865094,0.6304716791499269,0.6773630539733696,200,
Frangieh,gene_main,loo_no_disagreement_confidence,leave_one_out,remove model_disagreement,1266,0.41825805147828726,0.22568095298928573,0.7973336548301498,0.30956505425994646,2.9824556849285715,0.05611442497642327,0.36638988148235485,0.4553203517316447,0.2803537930635385,0.35125322246245727,200,
