dataset_name,dataset_family,predictor_name,score_name,variant_kind,n,aligned_rho,normalized_rmse_rho,magnitude_only_rho,partial_rho_control_magnitude,risk_coverage80_improve_pct,mean_rmse
CuiHacohen2023,gene_main,ContextSimBaseline,loo_no_context_confidence,leave_one_out,1253,0.20536556921504778,-0.03225390511783445,0.7301720897895864,0.08809187160978245,6.783812696846484,0.20944653360776738
CuiHacohen2023,gene_main,ContextSimBaseline,loo_no_disagreement_confidence,leave_one_out,1253,0.36897835952885033,0.1386768293542919,0.7301720897895864,0.2842192094767226,22.495042679479898,0.20944653360776738
CuiHacohen2023,gene_main,ContextSimBaseline,loo_no_support_confidence,leave_one_out,1253,0.4642031602256607,0.06741508442474049,0.7301720897895864,0.3112528686176655,22.248620199869865,0.20944653360776738
CuiHacohen2023,gene_main,ContextSimBaseline,protocol_full_confidence,full,1253,0.4202213386986143,0.08677514762832651,0.7301720897895864,0.2894908381737697,21.58323581534211,0.20944653360776738
CuiHacohen2023,gene_main,ContextSimBaseline,single_context_similarity_confidence,single_feature,1253,0.5030962576262444,0.1500838624025854,0.7301720897895864,0.38568613656595324,23.72015789362978,0.20944653360776738
CuiHacohen2023,gene_main,ContextSimBaseline,single_negative_disagreement_confidence,single_feature,1253,0.27138208715183354,-0.07624806080156085,0.7301720897895864,0.09708897723207255,12.024362371808415,0.20944653360776738
CuiHacohen2023,gene_main,ContextSimBaseline,single_support_count_confidence,single_feature,1253,0.024644037878350202,0.04371792299722768,0.7301720897895864,0.047770026169411665,0.2263738914058504,0.20944653360776738
CuiHacohen2023,gene_main,V0StrongBaseline,loo_no_context_confidence,leave_one_out,1253,0.33906835832411186,0.12350572332319855,0.7423327386789552,0.28980018694029297,9.679118707366714,0.2126422947368181
CuiHacohen2023,gene_main,V0StrongBaseline,loo_no_disagreement_confidence,leave_one_out,1253,0.30886991985329076,0.04441612091723824,0.7423327386789552,0.19259830827867058,19.917306736302884,0.2126422947368181
CuiHacohen2023,gene_main,V0StrongBaseline,loo_no_support_confidence,leave_one_out,1253,0.5282839902609694,0.12445604508547846,0.7423327386789552,0.41300018387598736,22.174731462235165,0.2126422947368181
CuiHacohen2023,gene_main,V0StrongBaseline,protocol_full_confidence,full,1253,0.47023642943561256,0.1319215831650156,0.7423327386789552,0.3678580210269278,21.60491787090617,0.2126422947368181
CuiHacohen2023,gene_main,V0StrongBaseline,single_context_similarity_confidence,single_feature,1253,0.3669773075087446,-0.034589825604316234,0.7423327386789552,0.16953439304264858,20.137734055207194,0.2126422947368181
CuiHacohen2023,gene_main,V0StrongBaseline,single_negative_disagreement_confidence,single_feature,1253,0.4375616013961436,0.11421231446350914,0.7423327386789552,0.3523329450639616,15.396004382676212,0.2126422947368181
CuiHacohen2023,gene_main,V0StrongBaseline,single_support_count_confidence,single_feature,1253,0.05061231836038412,0.07502661165237229,0.7423327386789552,0.08767122835057525,1.3450898649146652,0.2126422947368181
Frangieh,gene_main,ContextSimBaseline,loo_no_context_confidence,leave_one_out,633,0.6127256714739394,0.6283466371490324,0.7926979925303024,0.732909187188852,8.210820208931638,0.058357485009213034
