fold_id,n_inner_rows,n_risk_fit,n_conformal_calibration,pooled_q,pooled_k,ridge_intercept,ridge_coefficients,outer_test_truth_used_for_fit_or_quantile
frangieh_context_holdout_1_Co-culture,228,114,114,0.009431496803866568,104,0.04788441291460359,"{""disagreement_z_nested"": 0.0025415724665732867, ""magnitude_z_nested"": 0.001087596040392704, ""context_novelty_scaled"": 0.01179071778279556, ""perturbation_novelty"": 0.0032588843967029835, ""support_scarcity"": 0.004517773062690942}",False
frangieh_context_holdout_2_Control,232,116,116,0.011352065465288101,106,0.04885761138108507,"{""disagreement_z_nested"": 0.007184550486980952, ""magnitude_z_nested"": 0.002731760380424882, ""context_novelty_scaled"": 0.005591088191769626, ""perturbation_novelty"": 0.004309178975972865, ""support_scarcity"": 0.005973790515447569}",False
frangieh_context_holdout_3_IFNγ,226,113,113,0.014514437699595789,103,0.049129783936020584,"{""disagreement_z_nested"": 2.168404344971009e-19, ""magnitude_z_nested"": 0.003774189849246565, ""context_novelty_scaled"": 0.007007400421611129, ""perturbation_novelty"": 0.0, ""support_scarcity"": 0.0}",False
