input_batch,pair_group,directional_pair,source_dataset,target_dataset,n_tasks,risk_column,error_column,spearman_risk_vs_error,bootstrap_rho_ci95_low,bootstrap_rho_ci95_high,permutation_p_two_sided,top20_k,top20_error_enrichment,bootstrap_top20_enrichment_ci95_low,bootstrap_top20_enrichment_ci95_high,reporting_label
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> McFarland_cellline,KaggleCrossCell_celltype,McFarland_cellline,42,risk_cross_dataset,error_combined_rmse,0.6024710710399187,0.342066593595553,0.7794040190966284,0.0004997501249375312,9,1.3722015657417654,1.2174964669387776,1.4618959360854689,稳定正信号：可作为主汇报证据
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> crossPatient_patient,KaggleCrossCell_celltype,crossPatient_patient,10,risk_cross_dataset,error_combined_rmse,-0.1533857797849622,-0.7938780786903512,0.7072359449069027,0.6681659170414792,2,0.8541222059547124,0.6382860881344897,1.1774338717950001,探索性：样本量较小，需独立复现
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline,27,risk_cross_dataset,error_combined_rmse,0.29701403707121016,-0.15306568762319753,0.6545436695565142,0.12593703148425786,6,0.96771513487836,0.7720272859479747,1.4090286245474655,探索性：样本量较小，需独立复现
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> McFarland_cellline,KaggleCrossPatient_celltype,McFarland_cellline,42,risk_cross_dataset,error_combined_rmse,0.0023325760493802163,-0.32956123436702933,0.328791026878718,0.9890054972513743,9,1.0583819539355181,0.884692973897887,1.2235111500024012,不稳定或无明显排序信号
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> crossPatient_patient,KaggleCrossPatient_celltype,crossPatient_patient,10,risk_cross_dataset,error_combined_rmse,-0.22701095408174404,-0.8403853169938276,0.5416723147992691,0.5477261369315343,2,0.864677424922807,0.6275073943464393,1.1987464657815303,探索性：样本量较小，需独立复现
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> sciplex3_cellline,KaggleCrossPatient_celltype,sciplex3_cellline,27,risk_cross_dataset,error_combined_rmse,0.30283784171966527,-0.041267262637681955,0.5803146992964026,0.13693153423288357,6,1.0666327239960194,0.866548473817314,1.5082245687591507,探索性：样本量较小，需独立复现
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype,24,risk_cross_dataset,error_combined_rmse,-0.017835013579811404,-0.41746018988084976,0.3796037055979649,0.9375312343828086,5,0.6394452798312752,0.5273442038759223,0.9534213176083276,探索性：样本量较小，需独立复现
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossPatient_celltype,McFarland_cellline,KaggleCrossPatient_celltype,38,risk_cross_dataset,error_combined_rmse,-0.2094745746691245,-0.5109893503952052,0.12013064396261287,0.20789605197401298,8,0.7074859606673278,0.6027097535248441,0.907829037982923,不稳定或无明显排序信号
E55,hard_chemical_cross_dataset,McFarland_cellline -> crossPatient_patient,McFarland_cellline,crossPatient_patient,10,risk_cross_dataset,error_combined_rmse,0.4540219081634881,-0.31854905428648383,0.8727191515664504,0.1714142928535732,2,1.2027476747983403,0.8664161663394759,1.466709066738973,探索性：样本量较小，需独立复现
E55,hard_chemical_cross_dataset,McFarland_cellline -> sciplex3_cellline,McFarland_cellline,sciplex3_cellline,27,risk_cross_dataset,error_combined_rmse,-0.05823804648455101,-0.3920624891438051,0.29715932254564176,0.7656171914042978,6,0.9467206209321347,0.820435615804229,1.156917518723263,探索性：样本量较小，需独立复现
