perturbation,n_seeds,all_three_seeds_present,in_frozen_test_manifest,n_cells_test,error_gears_ensemble_rmse,error_seed_mean_rmse,error_seed_std_rmse,risk_ensemble_disagreement,risk_predicted_magnitude,risk_gears_native_logvar,true_l2_diagnostic,true_max_abs_diff_across_seeds,training_support_for_heldout_gene
ARRDC3+ctrl,3,True,True,495,0.025177767627244774,0.025470809812148623,0.0009499677449993638,0.003967947792261839,1.9162760972976685,,1.6787981986999512,0.0,0
ATL1+ctrl,3,True,True,379,0.057219742351012834,0.05730660082177114,0.0015345663892359564,0.0035074884071946144,1.7102298736572266,,4.804206371307373,0.0,0
BPGM+ctrl,3,True,True,464,0.04600767496850122,0.0461176446260678,0.0009279308574100567,0.0033154261764138937,1.4393227100372314,,3.340928554534912,0.0,0
CBFA2T3+ctrl,3,True,True,658,0.03744052056196467,0.03765949207135636,0.000304903313320373,0.004066660068929195,1.4303089380264282,,2.6674294471740723,0.0,0
CDKN1C+ctrl,3,True,True,230,0.0434962396845381,0.04426690267342057,0.0020937087440983195,0.008486426435410976,3.3663313388824463,,4.062132835388184,0.0,0
CEBPA+ctrl,3,True,True,460,0.08340066006627521,0.08396697875907205,0.0007398390690739162,0.009763749316334724,9.460103988647461,,10.873130798339844,0.0,0
CEBPB+ctrl,3,True,True,488,0.054648826688071965,0.05501051503598609,0.0011494860542295786,0.006401859689503908,5.650291442871094,,5.898114204406738,0.0,0
CELF2+ctrl,3,True,True,475,0.03820762616406145,0.03840473313850593,0.001612331855078489,0.004207189194858074,2.394507646560669,,2.481374502182007,0.0,0
COL1A1+ctrl,3,True,True,328,0.06539903395803572,0.06564779585777214,0.0004689826183876281,0.0057288226671516895,2.0432398319244385,,5.088325500488281,0.0,0
COL2A1+ctrl,3,True,True,598,0.06658188164008785,0.06674463551309119,0.00043200562582425934,0.004678251221776009,3.360206127166748,,4.7423272132873535,0.0,0
CSRNP1+ctrl,3,True,True,478,0.05443739397745057,0.05476672291056048,0.0016689040198972303,0.006224895361810923,2.9058027267456055,,1.6401572227478027,0.0,0
DLX2+ctrl,3,True,True,732,0.07338056956885192,0.07368732156299702,0.0028400135434823327,0.007292395457625389,5.730739116668701,,3.204072952270508,0.0,0
HK2+ctrl,3,True,True,303,0.029098628919377794,0.02959502473728619,0.0004678517926404291,0.005417949054390192,1.854712963104248,,2.0512168407440186,0.0,0
HOXA13+ctrl,3,True,True,274,0.07884032592779262,0.07891187744991313,0.001354045962128385,0.00362226995639503,1.8622751235961914,,6.412664890289307,0.0,0
NCL+ctrl,3,True,True,237,0.033581727511214014,0.0338433150141168,0.0010885550689297852,0.004338490776717663,1.9765092134475708,,1.8213461637496948,0.0,0
RREB1+ctrl,3,True,True,331,0.03769559095282655,0.037848713907563725,0.000858253983739591,0.0035077298525720835,1.5945823192596436,,2.9247512817382812,0.0,0
SAMD1+ctrl,3,True,True,498,0.03988695739790446,0.04047451438139655,0.004451501502262726,0.008187356404960155,3.990015745162964,,3.623664379119873,0.0,0
SGK1+ctrl,3,True,True,483,0.04023652974766388,0.040790871904525065,0.0004457167037382757,0.006716813892126083,2.5865635871887207,,3.514108896255493,0.0,0
SLC38A2+ctrl,3,True,True,332,0.03854140809162409,0.03873907994876508,0.001531134586933743,0.004197684582322836,2.067965030670166,,1.5288352966308594,0.0,0
SLC4A1+ctrl,3,True,True,1000,0.052887737939382944,0.0530830009491984,0.000296001429408671,0.004558485001325607,1.5029451847076416,,3.726271629333496,0.0,0
SLC6A9+ctrl,3,True,True,558,0.033932467952739534,0.034319773743622085,0.00045382790441820056,0.005161438137292862,1.7557199001312256,,2.5718576908111572,0.0,0
TBX3+ctrl,3,True,True,691,0.05264199857869629,0.053778853310844,0.0007839440281924748,0.011027222499251366,3.6762123107910156,,4.176046848297119,0.0,0
TP73+ctrl,3,True,True,248,0.1122896443627867,0.11237546605116762,0.0022785356227539018,0.004947006702423096,1.7715764045715332,,8.651402473449707,0.0,0
ZC3HAV1+ctrl,3,True,True,516,0.035975080841397056,0.0365333660480164,0.0003949641707094381,0.006374666932970285,1.8211398124694824,,1.8606661558151245,0.0,0
