score_name,top_fraction,n_records,aligned_rho,precision,random_expected_precision,enrichment,score_label,magnitude_aligned_rho,magnitude_enrichment,magnitude_precision,delta_enrichment_vs_magnitude,delta_precision_vs_magnitude,chemical_boundary_call
safeconf_full,0.05,16114,0.3989332569577674,0.4739454094292804,0.0500186173513714,9.47538005898688,SafeConf full,0.4853755873789558,14.485921346723396,0.7245657568238213,-5.010541287736515,-0.2506203473945409,below_magnitude_boundary
safeconf_full,0.1,16114,0.3989332569577674,0.4882133995037221,0.1000372347027429,4.880316823575049,SafeConf full,0.4853755873789558,6.486418548233164,0.6488833746898263,-1.6061017246581155,-0.16066997518610415,below_magnitude_boundary
safeconf_full,0.2,16114,0.3989332569577674,0.4846416382252559,0.2000124115675809,2.4230578213967653,SafeConf full,0.4853755873789558,2.925663925194814,0.5851690971144896,-0.5026061037980489,-0.1005274588892337,below_magnitude_boundary
predicted_magnitude,0.05,16114,0.4853755873789558,0.7245657568238213,0.0500186173513714,14.485921346723396,Magnitude-only,0.4853755873789558,14.485921346723396,0.7245657568238213,0.0,0.0,dominant chemical baseline
predicted_magnitude,0.1,16114,0.4853755873789558,0.6488833746898263,0.1000372347027429,6.486418548233164,Magnitude-only,0.4853755873789558,6.486418548233164,0.6488833746898263,0.0,0.0,dominant chemical baseline
predicted_magnitude,0.2,16114,0.4853755873789558,0.5851690971144896,0.2000124115675809,2.925663925194814,Magnitude-only,0.4853755873789558,2.925663925194814,0.5851690971144896,0.0,0.0,dominant chemical baseline
combined_equal,0.05,16114,0.489050544502504,0.5744416873449132,0.0500186173513714,11.484557506049542,Combined equal,0.4853755873789558,14.485921346723396,0.7245657568238213,-3.0013638406738536,-0.1501240694789081,below_magnitude_boundary
combined_equal,0.1,16114,0.489050544502504,0.5732009925558312,0.1000372347027429,5.729876423104631,Combined equal,0.4853755873789558,6.486418548233164,0.6488833746898263,-0.7565421251285329,-0.07568238213399503,below_magnitude_boundary
combined_equal,0.2,16114,0.489050544502504,0.5609680421967111,0.2000124115675809,2.804666159465654,Combined equal,0.4853755873789558,2.925663925194814,0.5851690971144896,-0.1209977657291601,-0.024201054917778464,below_magnitude_boundary
combined_magnitude75,0.05,16114,0.503299428530534,0.6464019851116626,0.0500186173513714,12.92322777678577,Combined 75% magnitude,0.4853755873789558,14.485921346723396,0.7245657568238213,-1.5626935699376254,-0.07816377171215871,below_magnitude_boundary
combined_magnitude75,0.1,16114,0.503299428530534,0.6265508684863523,0.1000372347027429,6.263176609670646,Combined 75% magnitude,0.4853755873789558,6.486418548233164,0.6488833746898263,-0.22324193856251817,-0.022332506203473934,below_magnitude_boundary
combined_magnitude75,0.2,16114,0.503299428530534,0.5842382873099596,0.2000124115675809,2.921010164974461,Combined 75% magnitude,0.4853755873789558,2.925663925194814,0.5851690971144896,-0.004653760220353131,-0.0009308098045299751,below_magnitude_boundary
combined_safeconf75,0.05,16114,0.4527984131068084,0.5421836228287841,0.0500186173513714,10.839636350202268,Combined 75% SafeConf,0.4853755873789558,14.485921346723396,0.7245657568238213,-3.6462849965211284,-0.18238213399503722,below_magnitude_boundary
combined_safeconf75,0.1,16114,0.4527984131068084,0.5241935483870968,0.1000372347027429,5.239984391259105,Combined 75% SafeConf,0.4853755873789558,6.486418548233164,0.6488833746898263,-1.2464341569740593,-0.12468982630272951,below_magnitude_boundary
combined_safeconf75,0.2,16114,0.4527984131068084,0.5187713310580204,0.2000124115675809,2.593695696143016,Combined 75% SafeConf,0.4853755873789558,2.925663925194814,0.5851690971144896,-0.33196822905179824,-0.06639776605646919,below_magnitude_boundary
