dataset_name,score_name,n,aligned_rho,partial_rho_control_magnitude,aurc,oracle_aurc,random_aurc,excess_aurc,aurc_reduction_vs_random_pct,avoidable_gap_captured_pct,excess_aurc_ci_low,excess_aurc_ci_high,reduction_ci_low,reduction_ci_high,n_task_clusters,score_label,rank_aligned_rho,rank_aurc_reduction,rank_partial_after_magnitude
CuiHacohen2023,protocol_v0_2_family_confidence,2506,0.4453758817214197,0.4452499608711773,0.1539464813488937,0.1114448448126939,0.2110444141722927,0.0425016365361997,27.05493677590792,57.32748965735993,0.0392500057922146,0.0455919927624277,24.040979388812303,29.58169157378619,1439,Frozen v0.2,1.0,1.0,1.0
CuiHacohen2023,predicted_magnitude,2506,0.3915690388071376,0.1291620440598516,0.1649615273733476,0.1114448448126939,0.2110444141722927,0.0535166825606537,21.835634446749147,46.2681586830615,0.047183559193692,0.0600519953789764,17.8501502056409,25.352365152517905,1253,Magnitude-only,2.0,2.0,4.0
CuiHacohen2023,safeconf_lodo_risk,2506,0.3747184220135757,0.2392035639461534,0.1692042472792204,0.1114448448126939,0.2110444141722927,0.0577594024665265,19.825289883727866,42.008381323427855,0.0504476569149015,0.066457963259284,15.351008570409611,23.75462893603248,1253,SafeConf LODO,3.0,4.0,2.0
CuiHacohen2023,safeconf_lodo_linear_risk,2506,0.3667499038210165,0.2028644526681335,0.1658106376883724,0.1114448448126939,0.2110444141722927,0.0543657928756785,21.433297185962136,45.4156346003929,0.0479922910849658,0.0616808923621037,17.174376167407335,25.1459439244489,1253,SafeConf LODO linear,4.0,3.0,3.0
Frangieh,predicted_magnitude,1266,0.8593654059623044,0.9001781561498481,0.046443595276597,0.0451040193254311,0.0561144249764232,0.0013395759511659,17.234124209398015,87.83354588715618,0.001202975990482,0.0014768360382986,15.574379166682858,18.872951311410077,633,Magnitude-only,1.0,1.0,1.0
Frangieh,protocol_v0_2_family_confidence,1266,0.582722177199959,0.4738196230565,0.0493439773808159,0.0451040193254311,0.0561144249764232,0.0042399580553848,12.06543165763876,61.49135472585628,0.0034814812455188,0.0051265104919293,10.285771131967667,13.800479845139046,633,Frozen v0.2,2.0,4.0,2.0
Frangieh,safeconf_lodo_risk,1266,0.5407186872605064,0.2061878635127806,0.0484201159887837,0.0451040193254311,0.0561144249764232,0.0033160966633526,13.711820072775144,69.88215722048535,0.0029836584003461,0.0036674836213125,11.965247509133004,15.426040458972937,633,SafeConf LODO,3.0,2.0,3.0
Frangieh,safeconf_lodo_linear_risk,1266,0.4223899342414244,-0.1778311068609272,0.0492977600869862,0.0451040193254311,0.0561144249764232,0.0041937407615551,12.147794247737693,61.91111486271864,0.0038663047440082,0.0045511559633481,10.196690343746798,13.959666876500672,633,SafeConf LODO linear,4.0,3.0,4.0
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,646,0.5631508494546714,0.5648929477813909,0.5340876669792122,0.3714294079460947,1.2617233380740374,0.1626582590331174,57.66998589449312,81.72982500175621,0.1449236449155956,0.1814775163894339,53.56799189979159,61.209971255404255,369,Frozen v0.2,1.0,1.0,1.0
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,646,0.4573124540196879,0.521608734960635,1.0833325499063629,0.3714294079460947,1.2617233380740374,0.7119031419602682,14.138661209198194,20.03729129570032,0.4762362878826272,0.9479830121255596,3.985726398337048,24.37075608752916,323,Magnitude-only,2.0,3.0,2.0
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,646,0.4519349173237357,0.4878451603550968,0.825600212942588,0.3714294079460947,1.2617233380740374,0.4541708049964933,34.56566998254714,48.98642014427469,0.3269019256629417,0.5938219271427825,28.80549124675613,39.80942953364434,323,SafeConf LODO,3.0,2.0,3.0
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_linear_risk,646,0.3225744011667691,0.421668549373767,1.120511511913006,0.3714294079460947,1.2617233380740374,0.7490821039669113,11.191980198811628,15.86125900473544,0.5235115932614053,0.9906837724007376,2.114925964930937,20.10641079440088,323,SafeConf LODO linear,4.0,4.0,4.0
LaraAstiasoHuntly2023_invivo,predicted_magnitude,750,0.6208705499039938,0.5739310151105212,3.302890234992349,1.4947340360522945,5.023519915923288,1.8081561989400543,34.25147525496969,48.75982106893497,1.307136676327804,2.3998798381882653,26.0163842761681,42.02987935364603,375,Magnitude-only,1.0,1.0,1.0
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,750,0.4210436345089804,0.4067195370977943,3.78388697967746,1.4947340360522945,5.023519915923288,2.2891529436251656,24.67658050516541,35.12916278987001,1.665511400814159,3.094710254824596,12.157861413924836,34.36256476205579,375,SafeConf LODO,2.0,3.0,2.0
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,750,0.3941619423269889,0.3942757904842306,3.5140105578727745,1.4947340360522945,5.023519915923288,2.01927652182048,30.048837932656543,42.777017632639655,1.6255559399448702,2.483988370835413,22.96460195270628,36.695549756336426,532,Frozen v0.2,3.0,2.0,4.0
LaraAstiasoHuntly2023_invivo,safeconf_lodo_linear_risk,750,0.3545680024969715,0.4046072460565718,4.437571049948823,1.4947340360522945,5.023519915923288,2.9428370138965287,11.664109544328769,16.604829137320344,2.172208526112013,3.840361673878847,-0.5805856233885386,23.180814999219557,375,SafeConf LODO linear,4.0,4.0,3.0
McFarlandTsherniak2020,safeconf_lodo_linear_risk,2326,0.2629271964583539,0.1211716117406617,1.3244251802694045,0.8074088133760674,1.540975579788716,0.5170163668933371,14.052811891347622,29.520203127290657,0.4606362257877998,0.5757346324992101,10.037025487790885,18.12824878327851,1163,SafeConf LODO linear,1.0,2.0,2.0
McFarlandTsherniak2020,safeconf_lodo_risk,2326,0.2480945436934317,0.1622242115982345,1.3125042400731066,0.8074088133760674,1.540975579788716,0.5050954266970392,14.82640884853836,31.145268594009472,0.450645390728894,0.5625144918359907,10.71366923365146,18.73864224086333,1163,SafeConf LODO,2.0,1.0,1.0
McFarlandTsherniak2020,predicted_magnitude,2326,0.1373778862616323,-0.1224623161501657,1.3721879877417915,0.8074088133760674,1.540975579788716,0.5647791743657243,10.953294410419335,23.009165596792776,0.5180322381703435,0.6177718781977578,7.634700115138607,14.134102138371144,1163,Magnitude-only,3.0,3.0,4.0
McFarlandTsherniak2020,protocol_v0_2_family_confidence,2326,-0.0859337995677072,-0.0807584692391873,1.7342855843573284,0.8074088133760674,1.540975579788716,0.926876770981261,-12.544650746192689,-26.35206683557292,0.8489245838531972,1.0126477387009007,-16.81208939814059,-8.255909172442717,1304,Frozen v0.2,4.0,4.0,3.0
SantinhaPlatt2023,predicted_magnitude,546,0.3522916243141659,0.4686825398022501,0.3346996386301653,0.2124874679993856,0.3793205071501403,0.1222121706307796,11.76336835970575,26.745822498416764,0.0938807075516521,0.1507134118802074,6.188227233730492,17.605288858647338,273,Magnitude-only,1.0,1.0,1.0
