setting,gene,diversity_lower_bound,diameter_half_lower_bound,predicted_magnitude,source_effect_magnitude,family_member_mean_systema_pearson_error_inspired_transport_all,family_centroid_systema_pearson_error_inspired_transport_all,family_member_mean_systema_pearson_error_inspired_transport_abs_effect_top20_proxy,family_centroid_systema_pearson_error_inspired_transport_abs_effect_top20_proxy,family_member_mean_systema_pearson_error_inspired_transport_source_top20,family_centroid_systema_pearson_error_inspired_transport_source_top20,family_member_mean_systema_pearson_error_source_train_reference_all,family_centroid_systema_pearson_error_source_train_reference_all,family_centroid_systema_context_stratified_centroid_error,family_member_mean_effect_mse,family_centroid_effect_mse,n_batch_tasks
E190_K562,C7orf26,0.06832030250000001,0.07198754797672971,0.06085132893253225,0.1350654781427659,0.7723137448157694,0.771645807158339,0.551691632434106,0.5750635668202126,0.9058959126976491,1.0492205401927364,0.14964762512499652,0.14147598716061005,0.37104072398190047,0.07118643215245092,0.06651876078938418,2
E190_K562,COPB1,0.040352782000000004,0.0388001845834672,0.035332918208011904,0.078457227724969,1.0370321622998817,1.055604186954424,1.170239990176717,1.223060495797527,0.9099470950138865,0.9429894633020653,0.13554127408441416,0.13275401018624666,0.4653679653679654,0.06298304335379566,0.06135469384511488,2
E190_K562,COPZ1,0.05610235755555556,0.060890261093195334,0.053078427161348835,0.1069479024416385,0.8534005359362635,0.7776037809637644,0.9361593945468246,0.8051023879769299,0.9770745292514733,0.8728390218776151,0.08581413756269912,0.08015445258273751,0.14697274403156754,0.0407868792068409,0.03763940005354542,18
E190_K562,DAD1,0.048801325,0.0501345679609838,0.0416452246998194,0.0860519946173278,0.7767014239426233,0.7116963436649739,0.6699387707107092,0.4591401724869846,0.5251111041814948,0.2992302810553832,0.11890197337933678,0.11431804791560196,0.375,0.05198367894523495,0.049602109366012184,1
E190_K562,DARS,0.050633255,0.0530947175338521,0.0447665080717262,0.0926495576293483,0.7491820533347311,0.6062722808769321,0.5753504020173439,0.4144301016575209,0.7600421185656162,0.5898109445271468,0.1264652414786497,0.12166903382784011,0.4375,0.05815848491440708,0.05559475841537327,1
E190_K562,DERL2,0.03608302785714285,0.03717616584316164,0.029738457908264588,0.0643485893060276,0.8695365091794284,0.8357884394185803,0.8834012453517719,0.8820408861382381,0.6421273291703361,0.5123729036311783,0.13423506557990847,0.13204158172750297,0.45137917637917635,0.061809821051117604,0.06050782450838429,7
E190_K562,DHDDS,0.0806827,0.08054694691082813,0.07759759913034307,0.1495233524650111,0.7721887904438146,0.5023486855978421,0.8316622466859261,0.2198175488645574,0.9181797877758103,0.3415773544826117,0.16913740435973512,0.1562606506379224,0.6143790849673203,0.08819066400379318,0.08168096469172395,3
E190_K562,DNAJC19,0.06499508123913043,0.06580389189280811,0.061323582311700583,0.1339556573037852,0.8579320097718252,0.6692009004668403,0.8340918186382463,0.5036605369512009,0.8742631710243364,0.4576077096318975,0.1591623620251097,0.15064153694996268,0.5603732726494876,0.0738130470802821,0.0695886823639327,46
E190_K562,EIF2B2,0.0653119911081081,0.06554444596035508,0.06232852072366648,0.1309118603413765,0.7866574521794074,0.5342072396066715,0.8213433650404891,0.46773340624349535,0.9117804968212603,0.2500872698017867,0.14006973309284015,0.13150289615659191,0.5344085608791491,0.06844697128779541,0.06418131012271387,37
E190_K562,EIF2B3,0.07385317649999999,0.0764633078655943,0.07182868939754612,0.1547902959132424,0.7975355973548928,0.5255622779512519,0.8227774986891843,0.4422657732576828,0.8967491889575919,0.22949239241277686,0.15582880415093825,0.14511559362819573,0.6103648190045249,0.08472840201513855,0.07927411040588428,4
E190_K562,EIF2B4,0.05385860828205128,0.05475496598703533,0.04959032953042838,0.100648631476356,0.8357759107667356,0.6586640559978529,0.8639205479923248,0.5450783906938649,0.890201623497114,0.40826417670460785,0.14248061890341998,0.13679078016572113,0.5434456192374745,0.06889720689307136,0.06599645201126725,39
E190_K562,EIF2S1,0.11487290686363637,0.12235318496488788,0.11516154862666865,0.2292381468725294,0.689786805429803,0.3207303197765502,0.6625091754029129,0.15394289289786822,0.8804289056940252,0.12866579305036618,0.20637999365558546,0.18027461835321415,0.7865178159630031,0.10108583203384906,0.08789003821011619,22
E190_K562,FARSB,0.061833856500000006,0.061964979926699054,0.05834912903752455,0.1175675369913585,0.7520147996943986,0.5011235185838292,0.8913812583254245,0.3262872220177788,0.8952903922831807,0.2325799294181361,0.12922442972751075,0.12135472567791278,0.5547619047619048,0.06964640705507993,0.06582298072057381,2
E190_K562,GBF1,0.03573805123076923,0.036290578673431446,0.030631055124643015,0.0536211200246663,0.9145973420014368,0.887554459001991,0.9457536234031747,0.863268961102867,0.8265850121576347,0.5892728510579492,0.16549119971324944,0.16323259533177434,0.5409628581574283,0.08702186247333149,0.08574464113696928,13
E190_K562,GMPPB,0.042523686,0.04313916969613513,0.035544035570455504,0.073397068033725,0.8643629070749628,0.8473790816921409,1.0975467953217082,1.0973780035996634,0.837193394214905,0.8337421093873518,0.0814229881176295,0.07817435250199795,0.07607466063348414,0.03654473725966871,0.03473646524499,10
E190_K562,GNPNAT1,0.047105788999999995,0.048624350032818876,0.04024868346375617,0.0958995480761743,0.8686976260350444,0.8661370835457488,0.8778667541336995,0.8835231188618015,0.7899641723228379,0.7632039125614443,0.11504043292752938,0.11148568004539366,0.34195804195804197,0.06018162506594944,0.05796265253852126,4
E190_K562,HARS,0.11012432636111111,0.11860173145247013,0.10866610463103073,0.1953003833727651,0.695221245805386,0.3874619507686722,0.662501019612947,0.24034649134054348,0.8477398931934076,0.2622438910035781,0.14891758367692443,0.12571874410529865,0.6385051722061525,0.07668854345711665,0.06456117435235768,36
E190_K562,HSD17B12,0.043712028800000004,0.04646477361080615,0.040436036571694214,0.089996504663091,0.8793258007715968,0.8423655440992442,0.8380439916934439,0.752783938421177,0.7312617159245683,0.6540516744597984,0.09505844874292593,0.09136913959956292,0.17674459527400704,0.04124755951254093,0.0393368150215137,10
E190_K562,HSPA5,0.09126137533333332,0.09700575401313603,0.0889928709810647,0.1786286748666993,0.7128357020943222,0.3861038326200707,0.7659195797159442,0.12938499203950768,0.8017579279837654,0.08851068127769832,0.1707787848251425,0.15340642625915454,0.5324414238629925,0.08645080607904787,0.0781221643038464,45
E190_K562,HSPA9,0.12891139021739131,0.14877565667492954,0.1260589378860874,0.247201675228482,0.6962755409390939,0.3199546223360841,0.6501467073705411,0.28770559155064396,0.756265581605004,0.2156707978237242,0.2236019503942808,0.1909354586311174,0.8613690142622368,0.11081599695375068,0.09419784552847012,46
E190_K562,IARS2,0.09090105560869564,0.09473665431183262,0.08988140593413449,0.193401602810531,0.7840196534067878,0.5759911413776725,0.7866716156911923,0.373701348113834,0.8542528649555077,0.5239357569647977,0.11405899946467093,0.09717460796961552,0.23529868469126783,0.05167638314466174,0.04341337683625988,23
E190_K562,MANF,0.041193886857142856,0.04155109607389367,0.034982226460338425,0.0769392764691424,0.8294731438348327,0.8077418018702675,0.873278395796309,0.8722461144202966,0.7181120301416302,0.6750759989819921,0.08493514055841116,0.08189581119784148,0.1388605442176871,0.03941078350241155,0.03771383478430451,7
E190_K562,MARS,0.0833944875,0.08763499481398812,0.08138375438688192,0.1495977020496098,0.8215311491126235,0.7196395957898756,0.7106678615059434,0.5758007359385937,0.7852933236589346,0.569116200356889,0.12178937450832908,0.10820147445627551,0.42987861811391226,0.0595008173099903,0.05254617375777728,4
E190_K562,MRGBP,0.0559712145,0.0565331771872604,0.05112840708479935,0.0995022752320481,0.7424994747919139,0.6694020580510337,0.5330920389882137,0.3853370734876767,0.403289661359992,0.3040181300913015,0.12855904717753086,0.12241238880922645,0.27205882352941174,0.05530447790910293,0.052171701195152194,2
E190_K562,MRPL39,0.045939446090909095,0.04736671549810912,0.037647489552074954,0.0845268190800937,0.9043745887742443,0.8918479524482961,0.938182555244344,0.9476288335136608,0.6089641509773623,0.44481250242635634,0.09842111050778204,0.09530894109361433,0.23238477209065447,0.04885450914485223,0.046744066490198535,11
