setting,predictor,predictor_family,n_tasks,mean_effect_rmse,mean_effect_pearson,mean_systema_inspired_transport_pearson_delta_all,mean_systema_inspired_transport_pearson_delta_abs_effect_top20_proxy,mean_systema_inspired_transport_pearson_delta_source_top20,mean_systema_source_train_reference_pearson_delta_all,mean_systema_context_stratified_centroid_accuracy,mean_systema_context_stratified_nearest_hit,mean_scperteval_mse,mean_scperteval_pearson,mean_scperteval_pearson_ctrl,mean_scperteval_pearson_pert,mean_scperteval_rank,mean_scperteval_transpose_rank,n_gene_centroids_effect,mean_systema_gene_centroid_accuracy_effect,mean_systema_gene_nearest_hit_effect,n_gene_centroids_post,mean_systema_gene_centroid_accuracy_post,mean_systema_gene_nearest_hit_post
E190_K562,GEARS_seed3407,model_member,692,0.23807500540317075,0.3328400449704442,0.33140715202345056,0.44558956080137946,0.5019022167489502,0.8800659457438398,0.7493764793567157,0.2630057803468208,0.026772119326570188,0.31157080507921414,0.31157080507921414,0.4220844687145261,0.13691026827012026,0.27567067530064754,47,0.7243293246993524,0.23404255319148937,47,0.7479185938945421,0.2765957446808511
E190_K562,GEARS_seed3408,model_member,692,0.23839129973549886,0.3257836710758876,0.3228940180793612,0.43865863143385464,0.504784503359959,0.8791015383985633,0.7056181738092653,0.23410404624277456,0.02675659122671779,0.31658960724414187,0.31658960724414187,0.4116435839884124,0.11840888066604995,0.28862164662349676,47,0.7113783533765031,0.2127659574468085,47,0.72895467160037,0.2553191489361702
E190_K562,GEARS_seed3409,model_member,692,0.2389362719473198,0.3292190830345972,0.32787651700932763,0.45211416115141867,0.5027068287744219,0.8785149908275722,0.7286808650896122,0.2398843930635838,0.02710465569634819,0.31474399374055917,0.31474399374055917,0.422490351177517,0.13459759481961148,0.27890841813135986,47,0.7210915818686401,0.2127659574468085,47,0.7474560592044404,0.2765957446808511
E190_K562,family_centroid,ensemble,692,0.23674473077894237,0.33269507439998197,0.37753647219211006,0.45906536211401633,0.5533158258293022,0.8771318478467497,0.5833120747456858,0.13583815028901733,0.025013732140504823,0.317729983340999,0.317729983340999,0.3163403434451389,0.14153561517113783,0.39361702127659576,47,0.6063829787234043,0.1276595744680851,47,0.6211840888066605,0.0851063829787234
E190_K562,matching_source_all_folds_mean,simple_baseline,692,0.23705777613775944,0.3355170955775518,0.3341223071024775,0.4510257785573368,0.5125875360866716,0.8804431233847073,0.7403012379210951,0.25289017341040465,0.0264650243129757,0.33750824482427155,0.33750824482427155,0.43821299043040435,0.10869565217391304,0.2682701202590195,47,0.7317298797409806,0.2765957446808511,47,0.7553191489361702,0.2978723404255319
E190_K562,matching_source_train_mean,simple_baseline,692,0.2371444311756498,0.3410492570203442,0.3390189860283836,0.4636885187295007,0.5193593080943897,0.8802754457631116,0.7349334205973105,0.25289017341040465,0.026435293159525544,0.34572194647573423,0.34572194647573423,0.43619873450444985,0.1091581868640148,0.27150786308973174,47,0.7284921369102683,0.2553191489361702,47,0.7497687326549491,0.2978723404255319
E190_K562,scGPT_seed3407,model_member,692,0.2562821925734185,-0.005218675107606315,0.09101303539287439,-0.014631345582519613,-0.08121505692732503,0.8506391402069722,0.5,0.06936416184971098,0.030818308945908167,-0.03205943038393782,-0.03205943038393782,0.08673830307260101,0.5397779833487512,0.5,47,0.5,0.02127659574468085,47,0.5226641998149861,0.0425531914893617
E190_K562,scGPT_seed3408,model_member,692,0.2618645199628657,0.007752237680841458,0.09549889379642579,-0.11279033956855106,-0.12057158811389994,0.8521808294012745,0.49995363358165124,0.06936416184971098,0.032985955815470404,0.03463190735522901,0.03463190735522901,0.09006879705109046,0.48936170212765956,0.5,47,0.5,0.02127659574468085,47,0.5245143385753931,0.02127659574468085
E190_K562,scGPT_seed3409,model_member,692,0.25656330341055067,-0.0032065613134618256,0.0857675249089596,0.00558183920939101,-0.07093882832226463,0.8497962858481867,0.5,0.06936416184971098,0.031030311991019383,-0.029618953636711194,-0.029618953636711194,0.08480067240767158,0.53422756706753,0.5,47,0.5,0.02127659574468085,47,0.5226641998149861,0.0425531914893617
E190_K562,source_absolute_noncontrol_mean,simple_baseline,692,0.5378019217389317,0.11561616385751025,0.14856048811388523,0.2505399275833257,0.0400392713097467,,0.5,0.06936416184971098,0.25482476802810633,0.10956190363957288,0.10956190363957288,-0.003928338133375578,0.4976873265494912,0.5009250693802035,47,0.49907493061979646,0.02127659574468085,47,0.5,0.02127659574468085
