repeat,outcome,model_spec,n_train_targets,n_calibration_targets,n_evaluation_targets,target_simultaneous_coverage,mean_upper,median_upper,mean_interval_width,calibration_quantile,mean_absolute_base_error
0,ensemble_rmse,state_stratum_constant,600,200,200,0.88,0.24355046063528638,0.2428787227121231,0.24355046063528638,0.12087187856019889,0.040790842211529808
0,ensemble_rmse,magnitude,600,200,200,0.88500000000000001,0.24686156648093141,0.24588203807455944,0.24686156648093141,0.1243283833003829,0.04046016911374007
0,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.88500000000000001,0.24673869028103737,0.24565866443730872,0.24673869028103737,0.12425316582483223,0.040559755177362843
0,pair_mean_rmse,state_stratum_constant,600,200,200,0.88,0.24369961607578569,0.24324740020150379,0.22804576475326652,0.11980786841202551,0.040567675296855461
0,pair_mean_rmse,magnitude,600,200,200,0.88500000000000001,0.24807163202104032,0.24680881669307508,0.23241778069852112,0.12434620302399371,0.040150788644232896
0,pair_mean_rmse,magnitude_plus_pair_lower,600,200,200,0.88500000000000001,0.24734520796394927,0.24609167075852278,0.23169135664143004,0.12367423715522648,0.040263568264615572
1,ensemble_rmse,state_stratum_constant,600,200,200,0.91500000000000004,0.25232291029288356,0.25342451112020592,0.25232291029288356,0.12973327476399207,0.039445412859739355
1,ensemble_rmse,magnitude,600,200,200,0.91000000000000003,0.24950850584539219,0.24829913839287096,0.24950850584539219,0.12767152950605798,0.03939337765670653
1,ensemble_rmse,magnitude_plus_pair_lower,600,200,200,0.91000000000000003,0.24948521598240869,0.2482478710792031,0.24948521598240869,0.12763730930649653,0.039393096264793662
1,pair_mean_rmse,state_stratum_constant,600,200,200,0.91500000000000004,0.25265472347569268,0.25380054525390722,0.23709692770802035,0.12881108925346263,0.039213825840505361
1,pair_mean_rmse,magnitude,600,200,200,0.91000000000000003,0.25026817825000897,0.24885647926370572,0.23471038248233669,0.12730412035217381,0.039122416391050158
