dataset_name,perturbation_effect_stability,historical_residual_risk,ood_nearest_distance
KaggleCrossPatient,0.26,0.0,0.0
TCDD,0.0,0.0,0.0
crossPatient,0.13333333333333333,0.0,0.0
kangCrossCell,0.0,0.0,0.0
kangCrossPatient,0.0,0.0,0.0
sciplex3,0.5716981132075472,0.0,0.0
