dataset_name,fold_id,predictor_name,status,n_train_pool,n_test,feature_cols
KaggleCrossPatient,0,ContextSimBaseline,ok,32,8,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
KaggleCrossPatient,0,V0StrongBaseline,ok,32,8,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
KaggleCrossPatient,1,ContextSimBaseline,ok,32,8,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
KaggleCrossPatient,1,V0StrongBaseline,ok,32,8,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
KaggleCrossPatient,2,ContextSimBaseline,ok,32,8,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
KaggleCrossPatient,2,V0StrongBaseline,ok,32,8,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
KaggleCrossPatient,3,ContextSimBaseline,ok,32,8,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
KaggleCrossPatient,3,V0StrongBaseline,ok,32,8,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
KaggleCrossPatient,4,ContextSimBaseline,ok,32,8,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
KaggleCrossPatient,4,V0StrongBaseline,ok,32,8,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
TCDD,0,ContextSimBaseline,skipped_too_few_rows,6,0,
TCDD,0,V0StrongBaseline,skipped_too_few_rows,6,0,
crossPatient,0,ContextSimBaseline,skipped_too_few_rows,7,3,
crossPatient,0,V0StrongBaseline,skipped_too_few_rows,7,3,
crossPatient,1,ContextSimBaseline,ok,8,2,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
crossPatient,1,V0StrongBaseline,ok,8,2,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
crossPatient,2,ContextSimBaseline,skipped_too_few_rows,7,3,
crossPatient,2,V0StrongBaseline,skipped_too_few_rows,7,3,
kangCrossCell,0,ContextSimBaseline,skipped_too_few_rows,8,0,
kangCrossCell,0,V0StrongBaseline,skipped_too_few_rows,8,0,
kangCrossPatient,0,ContextSimBaseline,skipped_too_few_rows,8,0,
kangCrossPatient,0,V0StrongBaseline,skipped_too_few_rows,8,0,
sciplex3,0,ContextSimBaseline,ok,85,21,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3,0,V0StrongBaseline,ok,85,21,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3,1,ContextSimBaseline,ok,85,21,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3,1,V0StrongBaseline,ok,85,21,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3,2,ContextSimBaseline,ok,85,21,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3,2,V0StrongBaseline,ok,85,21,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3,3,ContextSimBaseline,ok,85,21,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3,3,V0StrongBaseline,ok,85,21,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3,4,ContextSimBaseline,ok,84,22,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3,4,V0StrongBaseline,ok,84,22,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
