cohort,scope,score,comparator,n_gene_clusters,macro_spearman,delta,delta_ci95_low,delta_ci95_high
E139_original_96,all_predeclared_test_tasks,directional_risk_frozen,magnitude,96,0.7534561499279908,0.4621728486833188,0.3689941219166323,0.5586775470313677
E139_original_96,all_predeclared_test_tasks,directional_risk_frozen,source_plus_magnitude_plus_novelty,96,0.7534561499279908,0.08142739001876098,0.04274343353629193,0.11783453527395601
E139_original_96,all_predeclared_test_tasks,magnitude,magnitude,96,0.291283301244672,0.0,0.0,0.0
E139_original_96,all_predeclared_test_tasks,magnitude,source_plus_magnitude_plus_novelty,96,0.291283301244672,-0.38074545866455783,-0.4755469078928147,-0.29375241535838786
E139_original_96,all_predeclared_test_tasks,novelty,magnitude,96,0.37564277290605586,0.08435947166138386,-0.02436011539473248,0.2053608833616769
E139_original_96,all_predeclared_test_tasks,novelty,source_plus_magnitude_plus_novelty,96,0.37564277290605586,-0.296385987003174,-0.3550081295645513,-0.2338007015614935
E139_original_96,all_predeclared_test_tasks,disagreement,magnitude,96,0.1256786027575871,-0.1656046984870849,-0.28171258054578013,-0.03350082718680195
E139_original_96,all_predeclared_test_tasks,disagreement,source_plus_magnitude_plus_novelty,96,0.1256786027575871,-0.5463501571516427,-0.662563251242073,-0.4185359242614644
E139_original_96,all_predeclared_test_tasks,magnitude_plus_novelty,magnitude,96,0.4143181959730689,0.1230348947283969,0.0648050942650266,0.18309123403065664
E139_original_96,all_predeclared_test_tasks,magnitude_plus_novelty,source_plus_magnitude_plus_novelty,96,0.4143181959730689,-0.25771056393616093,-0.3301357072502976,-0.19944723309461224
E139_original_96,all_predeclared_test_tasks,source_seen,magnitude,96,0.7500652756350636,0.45878197439039164,0.3352126951520072,0.5811315932955327
E139_original_96,all_predeclared_test_tasks,source_seen,source_plus_magnitude_plus_novelty,96,0.7500652756350636,0.07803651572583381,0.020891529255561987,0.13418884017311217
E139_original_96,all_predeclared_test_tasks,source_plus_magnitude_plus_novelty,magnitude,96,0.6720287599092298,0.38074545866455783,0.2937524153583878,0.4755469078928146
E139_original_96,all_predeclared_test_tasks,source_plus_magnitude_plus_novelty,source_plus_magnitude_plus_novelty,96,0.6720287599092298,0.0,0.0,0.0
E139_original_96,heldout_cell_line_only,directional_risk_frozen,magnitude,96,0.44608452215983785,-0.011353239005363114,-0.0906554467414131,0.06130450315363731
E139_original_96,heldout_cell_line_only,directional_risk_frozen,source_plus_magnitude_plus_novelty,96,0.44608452215983785,0.10131204925119486,0.018632350655952215,0.1775603308540968
E139_original_96,heldout_cell_line_only,magnitude,magnitude,96,0.45743776116520096,0.0,0.0,0.0
E139_original_96,heldout_cell_line_only,magnitude,source_plus_magnitude_plus_novelty,96,0.45743776116520096,0.11266528825655797,0.016722680492715955,0.20516114457098802
E139_original_96,heldout_cell_line_only,novelty,magnitude,96,0.030555458247038814,-0.42688230291816215,-0.5942263133724474,-0.24323523068375813
E139_original_96,heldout_cell_line_only,novelty,source_plus_magnitude_plus_novelty,96,0.030555458247038814,-0.3142170146616042,-0.415508033360875,-0.2093550238882604
E139_original_96,heldout_cell_line_only,disagreement,magnitude,96,0.29111954555194175,-0.1663182156132592,-0.31292959837555767,-0.022256408351713566
E139_original_96,heldout_cell_line_only,disagreement,source_plus_magnitude_plus_novelty,96,0.29111954555194175,-0.05365292735670124,-0.24708027681349617,0.12697947324325826
E139_original_96,heldout_cell_line_only,magnitude_plus_novelty,magnitude,96,0.344772472908643,-0.11266528825655797,-0.20516114457098814,-0.016722680492715983
E139_original_96,heldout_cell_line_only,magnitude_plus_novelty,source_plus_magnitude_plus_novelty,96,0.344772472908643,0.0,0.0,0.0
E139_original_96,heldout_cell_line_only,source_seen,magnitude,96,,,,
E139_original_96,heldout_cell_line_only,source_seen,source_plus_magnitude_plus_novelty,96,,,,
E139_original_96,heldout_cell_line_only,source_plus_magnitude_plus_novelty,magnitude,96,0.344772472908643,-0.11266528825655797,-0.20516114457098814,-0.016722680492715983
E139_original_96,heldout_cell_line_only,source_plus_magnitude_plus_novelty,source_plus_magnitude_plus_novelty,96,0.344772472908643,0.0,0.0,0.0
E237_disjoint_128,all_predeclared_test_tasks,directional_risk_frozen,magnitude,128,0.7917241302170352,0.4062410778791039,0.3207562390971933,0.4799857882750603
E237_disjoint_128,all_predeclared_test_tasks,directional_risk_frozen,source_plus_magnitude_plus_novelty,128,0.7917241302170352,0.05724696240590521,0.03587621670328156,0.08066500785627685
E237_disjoint_128,all_predeclared_test_tasks,magnitude,magnitude,128,0.38548305233793134,0.0,0.0,0.0
E237_disjoint_128,all_predeclared_test_tasks,magnitude,source_plus_magnitude_plus_novelty,128,0.38548305233793134,-0.3489941154731987,-0.42071775082310453,-0.26577321150694827
E237_disjoint_128,all_predeclared_test_tasks,novelty,magnitude,128,0.42399643856717484,0.038513386229243496,-0.06900543360571425,0.1273018495710859
E237_disjoint_128,all_predeclared_test_tasks,novelty,source_plus_magnitude_plus_novelty,128,0.42399643856717484,-0.3104807292439552,-0.36345258559908494,-0.25921134734596246
E237_disjoint_128,all_predeclared_test_tasks,disagreement,magnitude,128,0.31544635199083276,-0.07003670034709858,-0.12689308274721628,-0.0220158488803976
E237_disjoint_128,all_predeclared_test_tasks,disagreement,source_plus_magnitude_plus_novelty,128,0.31544635199083276,-0.4190308158202973,-0.5043160730691355,-0.32889244960199837
E237_disjoint_128,all_predeclared_test_tasks,magnitude_plus_novelty,magnitude,128,0.5309893411236907,0.14550628878575933,0.09147297567605994,0.20042785038690608
E237_disjoint_128,all_predeclared_test_tasks,magnitude_plus_novelty,source_plus_magnitude_plus_novelty,128,0.5309893411236907,-0.20348782668743937,-0.2503297704461399,-0.15312294477504215
E237_disjoint_128,all_predeclared_test_tasks,source_seen,magnitude,128,0.7276530901773379,0.3421700378394066,0.2280479917710224,0.44216513042978767
E237_disjoint_128,all_predeclared_test_tasks,source_seen,source_plus_magnitude_plus_novelty,128,0.7276530901773379,-0.006824077633792114,-0.05839424188561576,0.04401182656651969
