cohort,scope,endpoint,score,n_tasks,fold_macro_spearman
E139_original_96,all_predeclared_test_tasks,true_error_cosine,directional_risk_frozen,256,-0.08335160689424095
E139_original_96,all_predeclared_test_tasks,true_error_cosine,magnitude,256,-0.3279876625160227
E139_original_96,all_predeclared_test_tasks,error_two_predictor_mean_rmse,directional_risk_frozen,256,0.25229895424204923
E139_original_96,all_predeclared_test_tasks,error_two_predictor_mean_rmse,magnitude,256,0.4025790835011902
E139_original_96,heldout_cell_line_only,true_error_cosine,directional_risk_frozen,192,-0.2832063159165218
E139_original_96,heldout_cell_line_only,true_error_cosine,magnitude,192,-0.414514378730331
E139_original_96,heldout_cell_line_only,error_two_predictor_mean_rmse,directional_risk_frozen,192,0.4457663600436313
E139_original_96,heldout_cell_line_only,error_two_predictor_mean_rmse,magnitude,192,0.4626695604991861
E237_disjoint_128,all_predeclared_test_tasks,true_error_cosine,directional_risk_frozen,332,-0.24009574865550093
E237_disjoint_128,all_predeclared_test_tasks,true_error_cosine,magnitude,332,-0.5235120121203377
E237_disjoint_128,all_predeclared_test_tasks,error_two_predictor_mean_rmse,directional_risk_frozen,332,0.33378480108600883
E237_disjoint_128,all_predeclared_test_tasks,error_two_predictor_mean_rmse,magnitude,332,0.4938630952771347
E237_disjoint_128,heldout_cell_line_only,true_error_cosine,directional_risk_frozen,256,-0.41851573478038456
E237_disjoint_128,heldout_cell_line_only,true_error_cosine,magnitude,256,-0.583120650979674
E237_disjoint_128,heldout_cell_line_only,error_two_predictor_mean_rmse,directional_risk_frozen,256,0.5589522761536407
E237_disjoint_128,heldout_cell_line_only,error_two_predictor_mean_rmse,magnitude,256,0.5721279298663249
