cohort,scope,fold_id,score,n_tasks,spearman
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_1_HepG2,directional_risk_frozen,128,0.7372371288271392
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_2_Jurkat,directional_risk_frozen,128,0.7696751710288425
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_1_HepG2,magnitude,128,0.24894808800050952
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_2_Jurkat,magnitude,128,0.3336185144888345
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_1_HepG2,novelty,128,0.3099878367982497
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_2_Jurkat,novelty,128,0.441297709013862
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_1_HepG2,disagreement,128,-0.05022282956432472
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_2_Jurkat,disagreement,128,0.30158003507949893
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_1_HepG2,magnitude_plus_novelty,128,0.3533315117712429
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_2_Jurkat,magnitude_plus_novelty,128,0.4753048801748949
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_1_HepG2,source_seen,128,0.7500690317082339
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_2_Jurkat,source_seen,128,0.7500615195618934
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_1_HepG2,source_plus_magnitude_plus_novelty,128,0.6394844263794489
E139_original_96,all_predeclared_test_tasks,Nadig_cellline_holdout_2_Jurkat,source_plus_magnitude_plus_novelty,128,0.7045730934390108
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_1_HepG2,directional_risk_frozen,96,0.4034432613210714
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_2_Jurkat,directional_risk_frozen,96,0.48872578299860436
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_1_HepG2,magnitude,96,0.443249077106974
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_2_Jurkat,magnitude,96,0.47162644522342795
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_1_HepG2,novelty,96,-0.08450655780856858
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_2_Jurkat,novelty,96,0.1456174743026462
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_1_HepG2,disagreement,96,0.21449527220861325
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_2_Jurkat,disagreement,96,0.3677438188952703
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_1_HepG2,magnitude_plus_novelty,96,0.277060419003276
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_2_Jurkat,magnitude_plus_novelty,96,0.41248452681401004
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_1_HepG2,source_seen,96,
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_2_Jurkat,source_seen,96,
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_1_HepG2,source_plus_magnitude_plus_novelty,96,0.277060419003276
E139_original_96,heldout_cell_line_only,Nadig_cellline_holdout_2_Jurkat,source_plus_magnitude_plus_novelty,96,0.41248452681401004
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_1_HepG2,directional_risk_frozen,166,0.7981327046686242
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_2_Jurkat,directional_risk_frozen,166,0.7853155557654462
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_1_HepG2,magnitude,166,0.4059501206244481
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_2_Jurkat,magnitude,166,0.36501598405141455
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_1_HepG2,novelty,166,0.4270803024158988
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_2_Jurkat,novelty,166,0.42091257471845095
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_1_HepG2,disagreement,166,0.29757948423076735
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_2_Jurkat,disagreement,166,0.33331321975089817
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_1_HepG2,magnitude_plus_novelty,166,0.5486103505441817
E237_disjoint_128,all_predeclared_test_tasks,E237_cellline_holdout_2_Jurkat,magnitude_plus_novelty,166,0.5133683317031996
