dataset_name,n_positive_configs
CuiHacohen2023,6
Frangieh,5
LaraAstiasoHuntly2023_exvivo,6
LaraAstiasoHuntly2023_invivo,6
McFarlandTsherniak2020,6
SantinhaPlatt2023,6
SrivatsanTrapnell2020_sciplex3,6
