raw_gene,scgpt_token
AATF,AATF
ACTR6,ACTR6
ANKS6,ANKS6
ARCN1,ARCN1
ARPC2,ARPC2
ARPC4,ARPC4
ATP6V1G1,ATP6V1G1
BOP1,BOP1
C12orf45,C12orf45
C9orf16,C9orf16
CCDC115,CCDC115
CCNH,CCNH
CENPJ,CENPJ
CLASRP,CLASRP
CNN2,CNN2
COPS4,COPS4
COX10,COX10
CPSF4,CPSF4
DDX55,DDX55
DDX56,DDX56
DNAJA1,DNAJA1
DNAJC8,DNAJC8
DSTYK,DSTYK
EEFSEC,EEFSEC
EIF2B3,EIF2B3
EIF2B4,EIF2B4
EIF2S2,EIF2S2
EIF3A,EIF3A
EIF4B,EIF4B
ESYT1,ESYT1
FAU,FAU
FNBP4,FNBP4
GAR1,GAR1
GLB1,GLB1
GNL3,GNL3
GNL3L,GNL3L
GPN1,GPN1
GRB2,GRB2
GRWD1,GRWD1
GTF3C6,GTF3C6
HAUS8,HAUS8
HMGCS1,HMGCS1
HNRNPA1,HNRNPA1
HNRNPH1,HNRNPH1
HSP90B1,HSP90B1
HSPA8,HSPA8
HSPE1,HSPE1
HUWE1,HUWE1
IARS2,IARS2
INTS13,INTS13
IPO11,IPO11
KIAA1143,KIAA1143
LAS1L,LAS1L
LIN54,LIN54
LSM7,LSM7
MAD2L2,MAD2L2
MCM7,MCM7
MIOS,MIOS
MIS18BP1,MIS18BP1
MRPL49,MRPL49
MYC,MYC
NARS2,NARS2
NCAPH2,NCAPH2
NCL,NCL
NKAPD1,NKAPD1
NOL6,NOL6
NOLC1,NOLC1
NOM1,NOM1
NOP58,NOP58
NRBP1,NRBP1
NSMCE2,NSMCE2
PABPC1,PABPC1
PABPC4,PABPC4
PCID2,PCID2
PDCD11,PDCD11
POLR1C,POLR1C
PPP1R2,PPP1R2
PPP2CA,PPP2CA
PSAT1,PSAT1
PSMG3,PSMG3
PYROXD1,PYROXD1
RAN,RAN
RBM33,RBM33
RBMX2,RBMX2
RCC1,RCC1
RNASEH2C,RNASEH2C
RNF14,RNF14
RPAP3,RPAP3
RPL24,RPL24
RPL36A,RPL36A
RPL41,RPL41
RPL5,RPL5
RPL8,RPL8
RPP30,RPP30
RPS19BP1,RPS19BP1
RPS24,RPS24
RPS7,RPS7
RPS9,RPS9
RRP7A,RRP7A
SASS6,SASS6
SCAP,SCAP
SETDB1,SETDB1
SF3B3,SF3B3
SLC7A5,SLC7A5
SMC1A,SMC1A
SMG5,SMG5
SPG7,SPG7
SRSF11,SRSF11
SURF6,SURF6
TARS2,TARS2
TBCA,TBCA
TIMM13,TIMM13
TIMM23B,TIMM23B
TMEM242,TMEM242
TMX2,TMX2
TNRC6A,TNRC6A
TOMM22,TOMM22
TSR1,TSR1
TUBB2A,TUBB2A
UBE2M,UBE2M
VPS54,VPS54
WDR12,WDR12
WDR4,WDR4
WDR46,WDR46
ZNF207,ZNF207
ZNF236,ZNF236
ZNF574,ZNF574
ZNHIT3,ZNHIT3
MT-CO3,MT-CO3
MT-ATP6,MT-ATP6
MT-CO2,MT-CO2
MT-ND4,MT-ND4
MT-CO1,MT-CO1
MT-CYB,MT-CYB
EEF1A1,EEF1A1
RPS2,RPS2
RPL13,RPL13
MALAT1,MALAT1
RPL10,RPL10
GAPDH,GAPDH
RPS18,RPS18
MT-ND1,MT-ND1
RPLP1,RPLP1
RPL11,RPL11
RPS3,RPS3
RPS12,RPS12
RPS3A,RPS3A
PTMA,PTMA
RPS6,RPS6
RPL19,RPL19
RPS14,RPS14
RPL7A,RPL7A
RPS19,RPS19
RPL18A,RPL18A
RPS27A,RPS27A
RPL15,RPL15
RPS23,RPS23
ACTB,ACTB
TPT1,TPT1
MT-ND3,MT-ND3
RPL3,RPL3
RPL6,RPL6
RPS4X,RPS4X
RPS8,RPS8
RPL29,RPL29
