fold_id,source_contexts,n_go_edges,n_coexpression_edges,n_source_control_cells,scgpt_pretrained_tensors,test_truth_used_for_training_calibration_or_score
E239_cellline_holdout_1_HepG2,Jurkat,1376,676,12013,129,False
E239_cellline_holdout_2_Jurkat,HepG2,1376,801,4976,129,False
