dataset_name,setting,heldout,task_id,context,perturbation,raw_perturbation,n_cells,support_count,context_similarity,predicted_l2,disagreement_rmse,error_v0_rmse,error_contextsim_rmse,error_mean_rmse,risk_disagreement,risk_predicted_magnitude,risk_inverse_support,risk_inverse_context_similarity,risk_safeconf_smoke,n_genes_setting
sciplex3_cell_line_gene1000,leave_context,A549,0,A549,Alvespimycin_10.0,Alvespimycin_10.0,114,2,0.42345880820644194,0.9581671298025357,0.00410196132111998,0.07242635741163668,0.07228169657169854,0.07232498829242585,-0.7816466303469493,-1.1170452085814018,-0.2657253920100922,-0.2071833484895233,-2.3716005794279664,1000
sciplex3_cell_line_gene1000,leave_context,A549,1,A549,Alvespimycin_100.0,Alvespimycin_100.0,91,2,0.42345880820644194,2.0381635105496985,0.007818487762717938,0.1431669726502191,0.14200927777532282,0.14253570201541232,0.04713873323737784,-0.35344691462660804,-0.2657253920100922,-0.2071833484895233,-0.7792169218888458,1000
sciplex3_cell_line_gene1000,leave_context,A549,2,A549,Alvespimycin_1000.0,Alvespimycin_1000.0,66,2,0.42345880820644194,2.3252471767656804,0.00868456188998968,0.15483052412061976,0.1534243447293077,0.15406785835729633,0.24027325595404336,-0.1504679031662614,-0.2657253920100922,-0.2071833484895233,-0.38310338771183355,1000
sciplex3_cell_line_gene1000,leave_context,A549,3,A549,Alvespimycin_10000.0,Alvespimycin_10000.0,61,1,0.3739634365932915,3.8000506256702034,0.0,0.17636691164840987,0.17636691164840987,0.17636691164840987,-1.6963839686535098,0.8922739222489698,1.7655074728373719,0.49942306873729647,1.4608204951701285,1000
sciplex3_cell_line_gene1000,leave_context,A549,4,A549,Belinostat_10.0,Belinostat_10.0,103,2,0.42345880820644194,0.9249835580359033,0.0036127690752685016,0.06667383463392207,0.06634186670219135,0.06648352215349819,-0.8907364968423777,-1.1405072490474977,-0.2657253920100922,-0.2071833484895233,-2.5041524863894904,1000
sciplex3_cell_line_gene1000,leave_context,A549,5,A549,Belinostat_100.0,Belinostat_100.0,109,2,0.42345880820644194,1.2317676456089963,0.004189080512380413,0.08588103777899637,0.08575502035865368,0.08579248789887027,-0.7622190514668953,-0.9235992944845144,-0.2657253920100922,-0.2071833484895233,-2.158727086451025,1000
sciplex3_cell_line_gene1000,leave_context,A549,6,A549,Belinostat_1000.0,Belinostat_1000.0,128,2,0.42345880820644194,2.168459887521747,0.007088520226033889,0.13802485193325134,0.13676833128021848,0.13735230733591763,-0.11564402098280348,-0.26132244741726884,-0.2657253920100922,-0.2071833484895233,-0.8498752088996879,1000
sciplex3_cell_line_gene1000,leave_context,A549,7,A549,Belinostat_10000.0,Belinostat_10000.0,73,2,0.42345880820644194,4.628082372655817,0.013795863224387939,0.24024996508327032,0.23947132323975504,0.2397617543822142,1.380093408288795,1.4777236891279995,-0.2657253920100922,-0.2071833484895233,2.384908356917179,1000
sciplex3_cell_line_gene1000,leave_context,A549,8,A549,Dacinostat_10.0,Dacinostat_10.0,149,2,0.42345880820644194,2.4143709386497916,0.008081780484742765,0.13052393971691734,0.12838779833251215,0.12939719462079577,0.10585300791871996,-0.08745403225082467,-0.2657253920100922,-0.2071833484895233,-0.45450976483172023,1000
sciplex3_cell_line_gene1000,leave_context,A549,9,A549,Dacinostat_100.0,Dacinostat_100.0,115,2,0.42345880820644194,3.1548694762121747,0.010360337516513156,0.16982549097105948,0.16847802949171042,0.16907376451826314,0.6139712058378223,0.43610644446806085,-0.2657253920100922,-0.2071833484895233,0.5771689098062676,1000
sciplex3_cell_line_gene1000,leave_context,A549,10,A549,Dacinostat_1000.0,Dacinostat_1000.0,87,2,0.42345880820644194,4.514694400867155,0.014223935350709172,0.22110838872384198,0.21996815741697612,0.2204243064350055,1.4755534886699044,1.3975541039735409,-0.2657253920100922,-0.2071833484895233,2.40019885214383,1000
sciplex3_cell_line_gene1000,leave_context,A549,11,A549,Dacinostat_10000.0,Dacinostat_10000.0,71,2,0.42345880820644194,5.152700895611337,0.0155494571510251,0.2493208273044745,0.24841560476579086,0.24874715567869307,1.7711448384092177,1.848648829477801,-0.2657253920100922,-0.2071833484895233,3.1468849273874033,1000
