dataset_name,setting,risk_score_name,target_error,n_tasks,spearman,top20_k,top20_mean_error,top20_enrichment,n_genes_setting
sciplex3_cell_line_gene1000,leave_context,risk_predicted_magnitude,error_v0_rmse,104,0.9358419707909257,21,0.22125761763087398,1.7066804995662115,1000
sciplex3_cell_line_gene1000,leave_context,risk_predicted_magnitude,error_mean_rmse,104,0.9354578868045552,21,0.22076512923605401,1.7079944437484933,1000
sciplex3_cell_line_gene1000,leave_context,risk_predicted_magnitude,error_contextsim_rmse,104,0.9352445068121272,21,0.22042545108378467,1.7094444811011091,1000
sciplex3_cell_line_gene1000,leave_context,risk_safeconf_smoke,error_contextsim_rmse,104,0.8960572712027165,21,0.212584961172514,1.6486398773584312,1000
sciplex3_cell_line_gene1000,leave_context,risk_safeconf_smoke,error_mean_rmse,104,0.8956411802174816,21,0.2128939533286569,1.6470974861441685,1000
sciplex3_cell_line_gene1000,leave_context,risk_safeconf_smoke,error_v0_rmse,104,0.8953424482280825,21,0.21333719248654923,1.6455859470403655,1000
sciplex3_cell_line_gene1000,leave_context,risk_disagreement,error_v0_rmse,104,0.8358419153511145,21,0.2229666696782422,1.7198633487409376,1000
sciplex3_cell_line_gene1000,leave_context,risk_disagreement,error_mean_rmse,104,0.8357565622158512,21,0.22247312770081687,1.7212087221893,1000
sciplex3_cell_line_gene1000,leave_context,risk_disagreement,error_contextsim_rmse,104,0.8354258188167054,21,0.22213252583572726,1.7226831951388366,1000
sciplex3_cell_line_gene1000,leave_context,risk_inverse_context_similarity,error_contextsim_rmse,104,-0.03773221805918599,21,0.12036069578861001,0.9334218264982589,1000
sciplex3_cell_line_gene1000,leave_context,risk_inverse_context_similarity,error_mean_rmse,104,-0.0447670383753054,21,0.12032108666818482,0.9308886245132517,1000
sciplex3_cell_line_gene1000,leave_context,risk_inverse_context_similarity,error_v0_rmse,104,-0.04921008278548609,21,0.1202830314438395,0.9278085265131463,1000
sciplex3_cell_line_gene1000,leave_context,risk_inverse_support,error_contextsim_rmse,104,-0.12474183775855778,21,0.12036069578861001,0.9334218264982589,1000
sciplex3_cell_line_gene1000,leave_context,risk_inverse_support,error_v0_rmse,104,-0.12548234516025455,21,0.1202830314438395,0.9278085265131463,1000
sciplex3_cell_line_gene1000,leave_context,risk_inverse_support,error_mean_rmse,104,-0.12659310626279974,21,0.12032108666818482,0.9308886245132517,1000
sciplex3_cell_line_gene3000,leave_context,risk_predicted_magnitude,error_v0_rmse,104,0.945705460940912,21,0.20795753834010183,1.709760986714558,3000
sciplex3_cell_line_gene3000,leave_context,risk_predicted_magnitude,error_contextsim_rmse,104,0.945705460940912,21,0.20805245861256097,1.708726032068528,3000
sciplex3_cell_line_gene3000,leave_context,risk_predicted_magnitude,error_mean_rmse,104,0.9454814119488626,21,0.20798382389622913,1.7092531830017827,3000
sciplex3_cell_line_gene3000,leave_context,risk_safeconf_smoke,error_contextsim_rmse,104,0.9157309065045823,21,0.20165759442743672,1.656205283323073,3000
sciplex3_cell_line_gene3000,leave_context,risk_safeconf_smoke,error_v0_rmse,104,0.9154748505136686,21,0.20156974984324888,1.6572426137309269,3000
sciplex3_cell_line_gene3000,leave_context,risk_safeconf_smoke,error_mean_rmse,104,0.9154535125144259,21,0.2015914164260709,1.6567190839034611,3000
sciplex3_cell_line_gene3000,leave_context,risk_disagreement,error_mean_rmse,104,0.8489969673235933,21,0.2097677933641218,1.723914205355593,3000
sciplex3_cell_line_gene3000,leave_context,risk_disagreement,error_v0_rmse,104,0.8489969673235933,21,0.20974955552351623,1.7244943841772322,3000
sciplex3_cell_line_gene3000,leave_context,risk_disagreement,error_contextsim_rmse,104,0.8488262610530665,21,0.20983225624305438,1.7233434346376624,3000
sciplex3_cell_line_gene3000,leave_context,risk_inverse_context_similarity,error_contextsim_rmse,104,-0.06638822034943478,21,0.12283376729026209,1.0088285290431391,3000
sciplex3_cell_line_gene3000,leave_context,risk_inverse_context_similarity,error_mean_rmse,104,-0.0683360881489776,21,0.12272692787804482,1.0085947463887435,3000
sciplex3_cell_line_gene3000,leave_context,risk_inverse_context_similarity,error_v0_rmse,104,-0.07028395594852044,21,0.12263001464016393,1.0082251237706428,3000
sciplex3_cell_line_gene3000,leave_context,risk_inverse_support,error_contextsim_rmse,104,-0.07966064472798708,21,0.11620717909496202,0.9544046408150594,3000
sciplex3_cell_line_gene3000,leave_context,risk_inverse_support,error_mean_rmse,104,-0.08114165953138062,21,0.11607584418576676,0.9539347937132431,3000
sciplex3_cell_line_gene3000,leave_context,risk_inverse_support,error_v0_rmse,104,-0.08299292803562258,21,0.11598831451347955,0.9536191698210893,3000
sciplex3_cell_line_gene5000,leave_context,risk_predicted_magnitude,error_contextsim_rmse,104,0.9458494924358011,21,0.1757991876810319,1.739671050077721,5000
sciplex3_cell_line_gene5000,leave_context,risk_predicted_magnitude,error_mean_rmse,104,0.9456254434437515,21,0.1760097155181572,1.7391553584976736,5000
sciplex3_cell_line_gene5000,leave_context,risk_predicted_magnitude,error_v0_rmse,104,0.9454120634513236,21,0.17630337111313915,1.7387188989181266,5000
sciplex3_cell_line_gene5000,leave_context,risk_safeconf_smoke,error_contextsim_rmse,104,0.9062141588422915,21,0.16726863272781994,1.6552545081757977,5000
sciplex3_cell_line_gene5000,leave_context,risk_safeconf_smoke,error_mean_rmse,104,0.9057553918585711,21,0.16745825115996513,1.6546581759542625,5000
sciplex3_cell_line_gene5000,leave_context,risk_safeconf_smoke,error_v0_rmse,104,0.9052752868756081,21,0.16771397377115593,1.6540095289580967,5000
sciplex3_cell_line_gene5000,leave_context,risk_disagreement,error_v0_rmse,104,0.8483674879510253,21,0.17630337111313915,1.7387188989181266,5000
sciplex3_cell_line_gene5000,leave_context,risk_disagreement,error_mean_rmse,104,0.8479300531328002,21,0.1760097155181572,1.7391553584976736,5000
sciplex3_cell_line_gene5000,leave_context,risk_disagreement,error_contextsim_rmse,104,0.8476953320108258,21,0.1757991876810319,1.739671050077721,5000
sciplex3_cell_line_gene5000,leave_context,risk_inverse_context_similarity,error_contextsim_rmse,104,-0.0654563663863488,21,0.09573883792972764,0.9474110029258151,5000
sciplex3_cell_line_gene5000,leave_context,risk_inverse_context_similarity,error_mean_rmse,104,-0.06730763489059076,21,0.09573408510847854,0.9459503222144973,5000
sciplex3_cell_line_gene5000,leave_context,risk_inverse_context_similarity,error_v0_rmse,104,-0.06841839599313593,21,0.09573989983339419,0.944195066548248,5000
sciplex3_cell_line_gene5000,leave_context,risk_inverse_support,error_contextsim_rmse,104,-0.07249118670246822,21,0.09573883792972764,0.9474110029258151,5000
sciplex3_cell_line_gene5000,leave_context,risk_inverse_support,error_mean_rmse,104,-0.07508296260840697,21,0.09573408510847854,0.9459503222144973,5000
sciplex3_cell_line_gene5000,leave_context,risk_inverse_support,error_v0_rmse,104,-0.08063676812113282,21,0.09573989983339419,0.944195066548248,5000
