perturbation,n_guides,max_centroid_rmse,mean_centroid_rmse,max_family_rms_error,max_worst_member_error,finite_sample_rank_one_based,selected_as_conformal_quantile
RBM15,2,0.086628049412650079,0.08098387758740952,0.11360820115077401,0.21807478006386344,1,False
FAM120A,2,0.10880260863354492,0.098903793737848286,0.13084245010640894,0.23576833832660041,2,False
QKI,2,0.11016658973254374,0.096478398102506246,0.13141868587901756,0.22578226524276152,3,False
UPF1,2,0.1114102678982465,0.09603801037003859,0.13442965979003732,0.24276004630207498,4,False
GPKOW,2,0.11343047915987309,0.10367018522160809,0.13514226474097585,0.24125067244226503,5,False
FASTKD2,2,0.11501489922410292,0.11412464743699305,0.13599457831202225,0.24660290460367498,6,False
ZRANB2,2,0.12554740721658705,0.11905411470377919,0.14470721366927158,0.23622841138675266,7,False
CSTF2T,2,0.12761457477801283,0.12647794135581969,0.14639274228396704,0.25223081905557987,8,False
PABPC4,2,0.1308675833250505,0.12831167528621951,0.14940078551112845,0.23464928059359369,9,False
TARDBP,2,0.13198996601952026,0.11056012628580482,0.15054596593307693,0.22784973591703783,10,False
SND1,2,0.13453901691294232,0.12463950698178064,0.15441241075261558,0.26043597600429447,11,False
TIA1,2,0.13667806879305666,0.11916038017533899,0.15539072934330275,0.23350480390774225,12,False
ZC3H10,2,0.14851156571868976,0.1302743469292682,0.16561089936139842,0.24575791751914813,13,False
PABPC3,2,0.15208256410329826,0.1197613868145192,0.16864561846006992,0.24739326567538761,14,False
RBFOX2,2,0.16209437009574176,0.15084781744420267,0.17771256016147075,0.27533416585813592,15,False
KHDRBS2,2,0.16975532953672048,0.15711718133889113,0.18487247314277666,0.26491481568630831,16,False
HNRNPK,2,0.17859860550471859,0.15252096059301684,0.19285978671339332,0.28625148960470514,17,False
LIN28B,2,0.18978567801751686,0.18874126257375645,0.20344843636110416,0.29472768646809538,18,True
SF3B1,2,0.1922572694287405,0.15663720088496522,0.20540197164158805,0.26540279935411376,19,False
