task_id,perturbation,guide_id,target_split,n_guide_cells,centroid_rmse,family_rms_error,family_diversity_lower,family_lower_violation,worst_member_error,worst_member_lower,worst_member_lower_violation,family_radius,family_diameter,hilbert_identity_residual,scGPT_seed3407_rmse,scGPT_seed3408_rmse,scGPT_seed3409_rmse,scGPT_seed3410_rmse,scGPT_seed3411_rmse,GEARS_seed3407_rmse,GEARS_seed3408_rmse,GEARS_seed3409_rmse,GEARS_seed3410_rmse,GEARS_seed3411_rmse
E182::CSTF2T::CSTF2T_1,CSTF2T,CSTF2T_1,conformal_calibration,15,0.12761457477801283,0.14639274228396704,0.071731131997529202,False,0.23071932554383839,0.1092834526028999,False,0.18159915685009501,0.2185669052057998,6.0715321659188248e-18,0.12848327380890481,0.13876271341678276,0.23071932554383839,0.14195797949985009,0.12408626451106353,0.13106567182271825,0.13537050222286981,0.13949331056262673,0.13199264689946927,0.13183552540079119
E182::CSTF2T::CSTF2T_2,CSTF2T,CSTF2T_2,conformal_calibration,21,0.12534130793362652,0.14441536889181547,0.071731131997529202,False,0.25223081905557987,0.1092834526028999,False,0.18159915685009501,0.2185669052057998,-8.6736173798840355e-19,0.13170391098049911,0.12721334097914413,0.25223081905557987,0.12960598176544574,0.15066180628364781,0.12055006387832973,0.11960644829219771,0.11922990444133136,0.12173361556819319,0.11848583595069
E182::FAM120A::FAM120A_1,FAM120A,FAM120A_1,conformal_calibration,46,0.089004978842151652,0.11487372112491194,0.072622899600554194,False,0.23098185710774916,0.10932961479287159,False,0.18282498570410149,0.2186592295857433,2.6020852139652106e-18,0.09527762305489422,0.091960775046480675,0.23098185710774916,0.094807089996974708,0.11719732939646405,0.087406726923752745,0.087731600851207472,0.088484591125032722,0.088203728142739565,0.086038953852987168
E182::FAM120A::FAM120A_2,FAM120A,FAM120A_2,conformal_calibration,28,0.10880260863354492,0.13084245010640894,0.072675574331296205,False,0.23576833832660041,0.10932961479287159,False,0.18282214541999631,0.2186592295857433,9.540979117872439e-18,0.1178709327444499,0.113441984562383,0.23576833832660041,0.11256341754138408,0.1416615208869659,0.10599590777206708,0.10602734084319212,0.10624565989927116,0.10740802157629065,0.10396179686800537
E182::FASTKD2::FASTKD2_1,FASTKD2,FASTKD2_1,conformal_calibration,19,0.11323439564988318,0.13449210625508279,0.072567887434692405,False,0.22783779588296058,0.1092569283339526,False,0.18013136879960151,0.21851385666790521,7.8062556418956319e-18,0.11778559614164458,0.12489627032705251,0.22783779588296058,0.12705618304772789,0.1218994883741176,0.11871146454273969,0.11847267641080012,0.11567305554613211,0.11459267998387643,0.11771149623045774
E182::FASTKD2::FASTKD2_2,FASTKD2,FASTKD2_2,conformal_calibration,30,0.11501489922410292,0.13599457831202225,0.072567887434692405,False,0.24660290460367498,0.1092569283339526,False,0.18013136879960151,0.21851385666790521,1.3010426069826053e-17,0.12026662040706904,0.11029221465796685,0.24660290460367498,0.11034327408983116,0.14959208143810679,0.12007937723335235,0.10996763487204617,0.10964028858668176,0.11313755145806464,0.10778387259759194
E182::GPKOW::GPKOW_1,GPKOW,GPKOW_1,conformal_calibration,36,0.09390989128334308,0.1192309766702048,0.073463991974855203,False,0.20728111836759036,0.1093581803495037,False,0.1800716014041549,0.21871636069900749,1.3877787807814457e-17,0.10196792398465798,0.11546162475011702,0.20728111836759036,0.11574666672642228,0.10041351348324236,0.10299248574836263,0.10415202309413701,0.10661438965430335,0.097578840149552717,0.098195890566080662
E182::GPKOW::GPKOW_2,GPKOW,GPKOW_2,conformal_calibration,26,0.11343047915987309,0.13514226474097585,0.073463991974855203,False,0.24125067244226503,0.1093581803495037,False,0.1800716014041549,0.21871636069900749,1.0408340855860843e-17,0.11767938390122774,0.11211560486270004,0.24125067244226503,0.11286580065869423,0.14125370368027346,0.10901150415006837,0.11037056922652956,0.1133135734127593,0.11096026656315183,0.12690732431482327
E182::HNRNPK::HNRNPK_1,HNRNPK,HNRNPK_1,conformal_calibration,17,0.12644331568131509,0.14585344257827396,0.072700169404542297,False,0.22019656936224125,0.10928489450782029,False,0.1799430373339618,0.2185697890156407,7.8062556418956319e-18,0.13324103934819265,0.14450584843895098,0.22019656936224125,0.14422685415375322,0.13141004611626558,0.132764606282256,0.1381144959033897,0.13412807417708467,0.12718396921945083,0.12912195983885102
E182::HNRNPK::HNRNPK_2,HNRNPK,HNRNPK_2,conformal_calibration,9,0.17859860550471859,0.19285978671339332,0.072783483311156999,False,0.28625148960470514,0.10928489450782029,False,0.1799586593885116,0.2185697890156407,-4.3368086899420177e-18,0.18176237674454665,0.18248932560668704,0.28625148960470514,0.18772960725430754,0.18575715589982031,0.17567596812532513,0.17802715026592655,0.1744018228070173,0.17330391451006241,0.1758267938935591
