record_type,removed_gene,removed_tasks,remaining_tasks,mean_delta_rmse_cellweighted_minus_matching,positive_favors_matching,n_component_genes,logo_min,logo_median,logo_max,logo_fraction_positive
per_gene,DOT1L,7,41,0.031633181029841917,True,,,,,
per_gene,EP300,2,46,0.027496198440386581,True,,,,,
per_gene,FLI1,7,41,0.029006545366678477,True,,,,,
per_gene,GATA2,5,43,0.028560094863659343,True,,,,,
per_gene,GFI1,4,44,0.026992316477054922,True,,,,,
per_gene,GSE1,6,42,0.027107806232974849,True,,,,,
per_gene,HDAC3,4,44,0.029265435121484051,True,,,,,
per_gene,IKZF1,7,41,0.028285782732686848,True,,,,,
per_gene,INTS1,7,41,0.02572910640150455,True,,,,,
per_gene,KDM1A,7,41,0.025938041004419991,True,,,,,
per_gene,MED13L,3,45,0.027154882389211366,True,,,,,
per_gene,MED14,2,46,0.027379357895411668,True,,,,,
per_gene,MED16,2,46,0.027894711028243112,True,,,,,
per_gene,MED19,2,46,0.027911602896461642,True,,,,,
per_gene,MED22,2,46,0.027197119711927321,True,,,,,
per_gene,MED24,7,41,0.02754710931821501,True,,,,,
per_gene,MYB,1,47,0.027494721935745436,True,,,,,
per_gene,RCOR1,5,43,0.028815309538334524,True,,,,,
per_gene,RING1,4,44,0.029607376732941271,True,,,,,
per_gene,SMARCD1,7,41,0.028778267802503064,True,,,,,
per_gene,SSRP1,4,44,0.029244777534977041,True,,,,,
per_gene,SUPT6H,1,47,0.028419050345215812,True,,,,,
summary,__ALL_COMPONENT_GENES__,,,,True,22,0.02572910640150455,0.027903156962352377,0.031633181029841917,1
