unit,study,objective,tau,n_units,n_true_high,n_certified_high,n_certified_true_high,n_false_certificates,certified_high_coverage,certified_high_recall,certified_high_precision,n_conformal_low,n_correct_conformal_low,n_false_conformal_low,conformal_low_coverage,conformal_low_empirical_precision,false_low_population_rate,n_unknown,unknown_fraction,decision_partition_complete,upper_empirical_coverage,guarantee_scope
target_cluster,E176_primary_CD4,family_rms,0.01,640,640,640,640,0,1,1,1,0,0,0,0,,0,0,0,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.014999999999999999,640,640,640,640,0,1,1,1,0,0,0,0,,0,0,0,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.02,640,640,531,531,0,0.82968750000000002,0.82968750000000002,1,0,0,0,0,,0,109,0.17031250000000001,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.025000000000000001,640,640,245,245,0,0.3828125,0.3828125,1,0,0,0,0,,0,395,0.6171875,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.029999999999999999,640,640,52,52,0,0.081250000000000003,0.081250000000000003,1,0,0,0,0,,0,588,0.91874999999999996,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.040000000000000001,640,640,5,5,0,0.0078125,0.0078125,1,0,0,0,0,,0,635,0.9921875,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.050000000000000003,640,640,1,1,0,0.0015625000000000001,0.0015625000000000001,1,0,0,0,0,,0,639,0.99843749999999998,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.059999999999999998,640,639,1,1,0,0.0015625000000000001,0.0015649452269170579,1,0,0,0,0,,0,639,0.99843749999999998,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.070000000000000007,640,619,0,0,0,0,0,,0,0,0,0,,0,640,1,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.080000000000000002,640,561,0,0,0,0,0,,0,0,0,0,,0,640,1,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.10000000000000001,640,408,0,0,0,0,0,,0,0,0,0,,0,640,1,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.14999999999999999,640,160,0,0,0,0,0,,32,30,2,0.050000000000000003,0.9375,0.0031250000000000002,608,0.94999999999999996,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.20000000000000001,640,76,0,0,0,0,0,,320,307,13,0.5,0.95937499999999998,0.020312500000000001,320,0.5,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E176_primary_CD4,family_rms,0.29999999999999999,640,22,0,0,0,0,0,,640,618,22,1,0.96562499999999996,0.034375000000000003,0,0,True,0.90468749999999998,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.01,50,50,50,50,0,1,1,1,0,0,0,0,,0,0,0,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.014999999999999999,50,50,50,50,0,1,1,1,0,0,0,0,,0,0,0,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.02,50,50,50,50,0,1,1,1,0,0,0,0,,0,0,0,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.025000000000000001,50,50,50,50,0,1,1,1,0,0,0,0,,0,0,0,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.029999999999999999,50,50,49,49,0,0.97999999999999998,0.97999999999999998,1,0,0,0,0,,0,1,0.02,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.040000000000000001,50,50,18,18,0,0.35999999999999999,0.35999999999999999,1,0,0,0,0,,0,32,0.64000000000000001,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.050000000000000003,50,50,1,1,0,0.02,0.02,1,0,0,0,0,,0,49,0.97999999999999998,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.059999999999999998,50,50,0,0,0,0,0,,0,0,0,0,,0,50,1,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.070000000000000007,50,50,0,0,0,0,0,,0,0,0,0,,0,50,1,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.080000000000000002,50,50,0,0,0,0,0,,0,0,0,0,,0,50,1,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.10000000000000001,50,50,0,0,0,0,0,,0,0,0,0,,0,50,1,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.14999999999999999,50,50,0,0,0,0,0,,0,0,0,0,,0,50,1,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.20000000000000001,50,50,0,0,0,0,0,,0,0,0,0,,0,50,1,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E177_Sunshine,family_rms,0.29999999999999999,50,27,0,0,0,0,0,,0,0,0,0,,0,50,1,True,0.88,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.01,27,27,27,27,0,1,1,1,0,0,0,0,,0,0,0,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.014999999999999999,27,27,27,27,0,1,1,1,0,0,0,0,,0,0,0,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.02,27,27,27,27,0,1,1,1,0,0,0,0,,0,0,0,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.025000000000000001,27,27,1,1,0,0.037037037037037035,0.037037037037037035,1,0,0,0,0,,0,26,0.96296296296296291,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.029999999999999999,27,27,0,0,0,0,0,,0,0,0,0,,0,27,1,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.040000000000000001,27,27,0,0,0,0,0,,0,0,0,0,,0,27,1,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.050000000000000003,27,27,0,0,0,0,0,,0,0,0,0,,0,27,1,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.059999999999999998,27,27,0,0,0,0,0,,0,0,0,0,,0,27,1,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.070000000000000007,27,23,0,0,0,0,0,,0,0,0,0,,0,27,1,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.080000000000000002,27,22,0,0,0,0,0,,0,0,0,0,,0,27,1,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.10000000000000001,27,14,0,0,0,0,0,,0,0,0,0,,0,27,1,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.14999999999999999,27,4,0,0,0,0,0,,0,0,0,0,,0,27,1,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.20000000000000001,27,0,0,0,0,0,,,0,0,0,0,,0,27,1,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E180_XuCao,family_rms,0.29999999999999999,27,0,0,0,0,0,,,27,27,0,1,1,0,0,0,True,1,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E182_GSE225807,family_rms,0.01,20,20,20,20,0,1,1,1,0,0,0,0,,0,0,0,True,0.80000000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E182_GSE225807,family_rms,0.014999999999999999,20,20,20,20,0,1,1,1,0,0,0,0,,0,0,0,True,0.80000000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E182_GSE225807,family_rms,0.02,20,20,20,20,0,1,1,1,0,0,0,0,,0,0,0,True,0.80000000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E182_GSE225807,family_rms,0.025000000000000001,20,20,20,20,0,1,1,1,0,0,0,0,,0,0,0,True,0.80000000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E182_GSE225807,family_rms,0.029999999999999999,20,20,20,20,0,1,1,1,0,0,0,0,,0,0,0,True,0.80000000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E182_GSE225807,family_rms,0.040000000000000001,20,20,20,20,0,1,1,1,0,0,0,0,,0,0,0,True,0.80000000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E182_GSE225807,family_rms,0.050000000000000003,20,20,20,20,0,1,1,1,0,0,0,0,,0,0,0,True,0.80000000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E182_GSE225807,family_rms,0.059999999999999998,20,20,20,20,0,1,1,1,0,0,0,0,,0,0,0,True,0.80000000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
target_cluster,E182_GSE225807,family_rms,0.070000000000000007,20,20,20,20,0,1,1,1,0,0,0,0,,0,0,0,True,0.80000000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
