study,objective,n_tasks,lower_violations,upper_tasks_covered,upper_task_coverage,lower_tightness_mean,lower_tightness_q10,lower_tightness_median,lower_tightness_q90,interval_width_mean,interval_width_median,interval_width_q90,lower_slack_median,upper_slack_median
E176_primary_CD4,family_rms,1920,0,1829,0.9526041666666667,0.24458047714007161,0.12448106441275461,0.24008973128906125,0.36981137182094309,0.18168227832488465,0.1782494296589,0.22928308276578002,0.074215739684799942,0.09405674748180011
E177_Sunshine,family_rms,400,0,393,0.98250000000000004,0.17246083000918902,0.10008965294974285,0.1695636464189203,0.24668151776234701,0.46472999124876624,0.46561615319970001,0.47526513796371,0.18236836772629997,0.28291399245299997
E180_XuCao,family_rms,73,0,73,1,0.26144298918645364,0.15372633419463549,0.25530643121642776,0.37104919605608838,0.19579383142019727,0.19595938639460012,0.1971509906349001,0.064109766812499899,0.13220620273110012
E182_GSE225807,family_rms,40,0,36,0.90000000000000002,0.5175966916077831,0.4169446589763956,0.51339807142259009,0.64322595456912746,0.13036756703066094,0.13062427263579565,0.13106873238121278,0.070174467824679509,0.059379129347832044
POOLED_DESCRIPTIVE,family_rms,2433,0,2331,0.95807644882860665,0.23771806575731017,0.12054376919216656,0.22503585668109577,0.36859575501291941,0.22779680364084909,0.2141236136095,0.46222901912935993,0.082267903807300008,0.1077495247439999
E176_primary_CD4,worst_member,1920,0,1865,0.97135416666666663,0.2441767490183516,0.13083791313378454,0.24385375729029635,0.35638796165914532,0.21566470755533274,0.23327348015720001,0.26504128732706,0.079023500268300101,0.12249848119700001
E177_Sunshine,worst_member,400,0,395,0.98750000000000004,0.21087841719395198,0.12582782315413807,0.20588249535444417,0.29898232428707588,0.51331290665450102,0.51385400705569995,0.52264104537954015,0.19070287246565004,0.32168465950250003
E180_XuCao,worst_member,73,0,73,1,0.2653275868947092,0.16597006655186861,0.26176458131351132,0.37019814384223826,0.22602948834366438,0.22610874151190002,0.22870173473249999,0.067076956614399996,0.15841564822240012
E182_GSE225807,worst_member,40,0,39,0.97499999999999998,0.45909802666047722,0.4149415427173882,0.46742884177021904,0.50581654315814728,0.26010043981377268,0.2599250098642108,0.26123634342376834,0.12451790840665619,0.13556318200324424
POOLED_DESCRIPTIVE,worst_member,2433,0,2372,0.97492807233867651,0.24287034932287244,0.13086133980843778,0.23667518429166781,0.35842578564181315,0.26564141858186507,0.24216149304909998,0.51015901923892004,0.088516318037799996,0.13741435959050011
