record_id,dataset_name,dataset_family,fold_id,split,context,perturbation,predictor_name,score_name,score_type,score_value,true_error_rmse,uncertainty_status
GEARS::adamson::seed1::single::UFM1+ctrl,adamson,gears_supplement,1,test,GEARS_single_heldout,UFM1+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.0056175249628722,0.0229922570288181,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::adamson::seed2::single::UFM1+ctrl,adamson,gears_supplement,2,test,GEARS_single_heldout,UFM1+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.0074768252670764,0.0230501722544431,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::adamson::seed3::single::UFM1+ctrl,adamson,gears_supplement,3,test,GEARS_single_heldout,UFM1+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.0077013876289129,0.0248090885579586,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::adamson::seed1::single::YIPF5+ctrl,adamson,gears_supplement,1,test,GEARS_single_heldout,YIPF5+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.006901619490236,0.0273095723241567,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::adamson::seed2::single::YIPF5+ctrl,adamson,gears_supplement,2,test,GEARS_single_heldout,YIPF5+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.006901619490236,0.0337443575263023,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::dixit::seed2::single::NR2C2+ctrl,dixit,gears_supplement,2,test,GEARS_single_heldout,NR2C2+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.0372987575829029,0.3556548357009887,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::dixit::seed3::single::NR2C2+ctrl,dixit,gears_supplement,3,test,GEARS_single_heldout,NR2C2+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.0372987575829029,0.3719817996025085,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::norman::seed1::single::PTPN12+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,PTPN12+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.0252412315458059,0.0633028596639633,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::norman::seed2::single::PTPN12+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,PTPN12+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.0183095652610063,0.0348319597542285,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::norman::seed3::single::PTPN12+ctrl,norman,gears_supplement,3,test,GEARS_single_heldout,PTPN12+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.0145532879978418,0.0406532660126686,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::norman::seed1::single::RHOXF2+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,RHOXF2+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.0312886275351047,0.0891274809837341,PROXY_NOT_NATIVE_UNCERTAINTY
GEARS::norman::seed2::single::RHOXF2+ctrl,norman,gears_supplement,2,test,GEARS_single_heldout,RHOXF2+ctrl,GEARS,gears_seed_ensemble_disagreement_risk,risk,0.0312886275351047,0.0614761114120483,PROXY_NOT_NATIVE_UNCERTAINTY
