n,aligned_rho,partial_rho_control_magnitude,normalized_rmse_rho,mean_rmse,median_rmse,removed_dose_value,removed_n
2042,-0.0125209537268122,0.010747893484946,-0.0645710561660872,1.6038412240411557,1.2424020782750969,2.5,284
1610,-0.0278794033314837,-0.0351872759860582,-0.0508423881930423,1.2484652876696671,1.017736129896673,0.1,716
1942,-0.0878244099252326,-0.1155969896115594,-0.1783219846077596,1.6179683202481745,1.2658177678033824,0.0,384
2132,-0.0966058879908522,-0.0662878960428698,-0.1274906973639434,1.5656936327065312,1.2102326443211575,5.0,194
2138,-0.098635944417209,-0.0664003615774782,-0.1165415541810629,1.563576714366239,1.1969404793891374,10.0,188
2138,-0.1133206029023546,-0.0721860795459995,-0.1164629129339607,1.5807815949853834,1.21758875958932,0.5,188
1954,-0.1198420600940306,-0.0819056787193858,-0.1438994406882159,1.544519411793793,1.1366193307617336,1.0,372
