perturbation,mse,pearson,mse_de,pearson_de
ACSL3+ctrl,0.002064533531665802,0.9938817901485554,0.01810382679104805,0.9505151105880397
AGA+ctrl,0.0010673191864043474,0.9968678668917547,0.004427074454724789,0.9761903999596123
CCND2+ctrl,0.0011297691380605102,0.9966815134845098,0.001920507987961173,0.9948054213707952
CTSA+ctrl,0.0013927221298217773,0.9959314732093179,0.022961996495723724,0.9482386339156728
DAG1+ctrl,0.0012894785031676292,0.9962159696667653,0.0021493055392056704,0.9797561972073399
EVA1A+ctrl,0.0011697373120114207,0.9965577170354816,0.0015917939599603415,0.9841189284263373
HLA-DRB5+ctrl,0.0009610116248950362,0.9971806116520133,0.0013203499838709831,0.9950487336538162
HLA-E+ctrl,0.0013958232011646032,0.9959063479087424,0.015035316348075867,0.9686503136987183
IDH2+ctrl,0.0012818606337532401,0.996346642540838,0.0016779142897576094,0.9948845307831815
LAMP2+ctrl,0.0013876787852495909,0.995914462074651,0.008134339936077595,0.9809525793194541
LGALS3+ctrl,0.001390493125654757,0.9958931726575757,0.005983657203614712,0.9841911892856626
NDUFA13+ctrl,0.001889243139885366,0.9944215515295143,0.0032740223687142134,0.9937360390269852
NGFR+ctrl,0.0014584235614165664,0.9957041470727735,0.001985689625144005,0.9931775960673542
NMRK1+ctrl,0.0010929206619039178,0.9968017482351385,0.0021057543344795704,0.9932195432831561
PFDN4+ctrl,0.0011165468022227287,0.9967024426661132,0.0023866526316851377,0.9939967423632313
PFN1+ctrl,0.0022727891337126493,0.9935364970975131,0.008149507455527782,0.9816964015418389
RNASEH2A+ctrl,0.0024136120919138193,0.9929635310854908,0.002060822444036603,0.2920346466747824
SEC11C+ctrl,0.0011143441079184413,0.9967803580341443,0.009672099724411964,0.970062381656425
SGK1+ctrl,0.0011643270263448358,0.9966273023006742,0.0038227078039199114,0.9841594782046839
SMAD3+ctrl,0.0010613250778988004,0.9968897016145122,0.0013023370411247015,0.9918677277440843
TM4SF1+ctrl,0.0010513500310480595,0.996892874438704,0.00670879939571023,0.9775996999810486
TRIM22+ctrl,0.001304220175370574,0.996186690527389,0.0009374668006785214,0.9162528060152813
TXNDC17+ctrl,0.0018626677338033915,0.9945401450948698,0.018658244982361794,0.9700101588261069
UCN2+ctrl,0.0014729112153872848,0.9958080014215354,0.0035913388710469007,0.9920818118794797
