culture_condition,predictor_name,n_tasks,all_finite,n_unique_vectors,max_repeat_fraction,max_coordinate_std,passed
Rest,scGPT_seed3407,200,True,200,0.0050000000000000001,0.0011465396316780187,True
Rest,scGPT_seed3408,200,True,200,0.0050000000000000001,0.00060807686436470105,True
Rest,scGPT_seed3409,200,True,200,0.0050000000000000001,3.9222656022524665e-05,True
Rest,GEARS_seed3407,200,True,200,0.0050000000000000001,0.081430313841936344,True
Rest,GEARS_seed3408,200,True,200,0.0050000000000000001,0.1927049263286891,True
Rest,GEARS_seed3409,200,True,200,0.0050000000000000001,0.076394039157653276,True
Rest,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00043797635188999443,True
Rest,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.07332523409255691,True
Stim8hr,scGPT_seed3407,200,True,200,0.0050000000000000001,0.0010186499067535984,True
Stim8hr,scGPT_seed3408,200,True,200,0.0050000000000000001,0.00039926067634803012,True
Stim8hr,scGPT_seed3409,200,True,200,0.0050000000000000001,3.6956412991127174e-05,True
Stim8hr,GEARS_seed3407,200,True,200,0.0050000000000000001,0.081555356927504263,True
Stim8hr,GEARS_seed3408,200,True,200,0.0050000000000000001,0.19271115241801998,True
Stim8hr,GEARS_seed3409,200,True,200,0.0050000000000000001,0.076409628776872962,True
Stim8hr,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00034485292448353696,True
Stim8hr,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.073320460402730506,True
Stim48hr,scGPT_seed3407,200,True,200,0.0050000000000000001,0.0011599458060373542,True
Stim48hr,scGPT_seed3408,200,True,200,0.0050000000000000001,0.00042837886587366811,True
Stim48hr,scGPT_seed3409,200,True,200,0.0050000000000000001,3.6351137753910388e-05,True
Stim48hr,GEARS_seed3407,200,True,200,0.0050000000000000001,0.081667964511670035,True
Stim48hr,GEARS_seed3408,200,True,200,0.0050000000000000001,0.19268283467521063,True
Stim48hr,GEARS_seed3409,200,True,200,0.0050000000000000001,0.076413101278219486,True
Stim48hr,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00041184905866828382,True
Stim48hr,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.073309250836345374,True
